Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
AAAS,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
AAGAB,90,0.7,10,10,0.6,2,NA,NA,0,13,0.92,2
AAK1,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
AAMP,44,0.73,5,63,0.89,8,NA,NA,0,5,1,1
AARS,528,0.8,35,432,0.84,29,16,0.94,2,71,0.94,6
AARS2,38,0.87,4,260,0.84,21,NA,NA,0,8,1.25,1
AARSD1,17,1.18,1,NA,NA,0,NA,NA,0,NA,NA,0
AASDH,14,0.64,2,18,0.56,3,NA,NA,0,NA,NA,0
AASDHPPT,19,0.42,3,18,0.83,3,NA,NA,0,29,0.97,4
AASS,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
AATF,278,0.82,28,182,0.91,16,NA,NA,0,7,1,1
AATK,7,0.57,1,31,0.81,5,NA,NA,0,NA,NA,0
ABAT,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ABCA13,NA,NA,0,71,1.44,2,NA,NA,0,NA,NA,0
ABCA2,25,0.84,2,58,0.71,9,18,0.06,1,NA,NA,0
ABCA3,29,0.48,3,237,0.78,21,NA,NA,0,20,0.85,3
ABCA4,NA,NA,0,19,0.05,1,NA,NA,0,NA,NA,0
ABCA5,NA,NA,0,12,1,2,NA,NA,0,NA,NA,0
ABCB1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ABCB10,289,0.87,25,183,0.78,13,24,0.96,6,43,1.05,6
ABCB7,5,0.4,1,NA,NA,0,NA,NA,0,15,0.47,2
ABCC1,NA,NA,0,45,0.78,8,NA,NA,0,NA,NA,0
ABCC10,NA,NA,0,10,0.9,2,NA,NA,0,NA,NA,0
ABCC2,NA,NA,0,NA,NA,0,NA,NA,0,5,1.2,1
ABCC3,NA,NA,0,61,1.46,1,NA,NA,0,NA,NA,0
ABCC4,68,0.57,8,37,0.95,6,9,1,2,6,1,1
ABCC5,7,0.86,1,53,0.92,4,NA,NA,0,NA,NA,0
ABCD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ABCD3,32,0.81,5,11,1.09,2,NA,NA,0,NA,NA,0
ABCD4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ABCE1,121,0.85,14,33,0.73,4,7,0.86,2,59,0.93,5
ABCF1,370,0.8,27,329,0.76,21,NA,NA,0,48,0.81,7
ABCF2,191,0.73,20,253,0.86,17,NA,NA,0,22,1.05,3
ABCF3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
