Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
ARTN,0.327294388,3.15E-03,0.029015644,TRUE,FALSE
CDK6,-0.48231523,0.000246316,0.008556605,TRUE,FALSE
CIT,0.446258586,0.000703906,0.013779121,TRUE,FALSE
FARP2,0.483885955,0.000236795,0.008412793,TRUE,FALSE
NRCAM,0.404830169,0.001591663,0.020759064,TRUE,TRUE
NRXN3,0.466154452,9.87E-06,0.001739518,TRUE,TRUE
OTX2,0.284312534,0.007740359,0.046082305,TRUE,FALSE
POU4F1,0.473615634,0.000322628,0.009778601,TRUE,FALSE
RACGAP1,-0.382343797,0.003720724,0.03148818,TRUE,FALSE
ROBO1,0.517235536,6.83E-06,0.001540776,TRUE,TRUE
SLIT2,0.389064231,0.003195246,0.029234231,TRUE,FALSE
TRAPPC4,-0.367371151,0.005307958,0.038086952,TRUE,FALSE
UBB,-0.465588145,0.000397314,0.010814992,TRUE,FALSE
SEPTIN6,0.336304415,0.005138514,0.037503152,FALSE,FALSE
SEPTIN9,-0.462652331,0.000450952,0.011164182,FALSE,FALSE
ACADS,-0.520170189,7.50E-05,0.005099782,FALSE,FALSE
ACLY,0.576286711,1.11E-05,0.001879153,FALSE,FALSE
ACN9,-0.395005709,0.002716152,0.026765566,FALSE,FALSE
ACO2,-0.542004529,3.60E-05,0.003201033,FALSE,FALSE
ACOT11,0.411995113,0.000364072,0.010347736,FALSE,FALSE
ACTG1,-0.556682947,2.32E-05,0.002664272,FALSE,FALSE
ACTRT1,0.431718659,0.001080701,0.016942157,FALSE,FALSE
ADAM17,0.457629003,0.000511998,0.011664469,FALSE,FALSE
ADAM23,0.401070135,0.00261612,0.02637313,FALSE,FALSE
ADARB1,0.448149975,3.71E-05,0.003271372,FALSE,FALSE
ADCK4,0.393870771,0.002837784,0.027383245,FALSE,FALSE
ADH4,0.558730859,2.12E-05,0.002608761,FALSE,FALSE
ADIPOR1,-0.348768111,8.33E-03,4.79E-02,FALSE,FALSE
ADIPOR2,-0.4120077,1.75E-03,2.19E-02,FALSE,FALSE
ADM2,0.347096442,8.71E-03,4.90E-02,FALSE,FALSE
ADPGK,0.545049545,3.34E-05,0.003127726,FALSE,FALSE
ADRA2A,0.430053765,1.10E-03,0.017137013,FALSE,FALSE
AFF1,-0.43896977,8.63E-04,0.015426059,FALSE,FALSE
AK1,0.469869355,3.54E-04,0.010224269,FALSE,FALSE
AKAP11,0.394891729,2.57E-04,0.008644496,FALSE,FALSE
AKAP7,0.320552781,3.48E-03,0.03050216,FALSE,FALSE
AKNA,0.38995927,3.16E-03,0.029132947,FALSE,FALSE
AKR7A2,-0.424115895,1.28E-03,0.018172789,FALSE,FALSE
AKT1S1,0.357211499,6.86E-03,0.043124245,FALSE,FALSE
ALDH8A1,0.400944013,9.96E-04,0.016441296,FALSE,FALSE
ALDOB,0.436907593,8.99E-04,0.015663523,FALSE,FALSE
ALKBH,-0.399057227,2.45E-03,0.025927545,FALSE,FALSE
ALKBH2,0.392722867,2.88E-03,0.02768281,FALSE,FALSE
ALKBH3,-0.373780613,4.60E-03,0.03524059,FALSE,FALSE
ALOX5AP,-0.412568413,1.73E-03,0.021757146,FALSE,TRUE
ALPP,0.413904249,1.67E-03,0.021362665,FALSE,FALSE
ALS2CR16,0.506283384,1.21E-04,0.006006013,FALSE,FALSE
AMT,0.367333708,5.35E-03,0.03827772,FALSE,FALSE
ANAPC1,-0.401620889,2.34E-03,0.025659748,FALSE,FALSE
ANAPC10,-0.496972036,1.53E-04,0.006780369,FALSE,FALSE
ANAPC13,-0.426253343,1.21E-03,0.01784925,FALSE,FALSE
ANG,-0.37764417,4.23E-03,0.033471457,FALSE,FALSE
ANGPT2,0.360846277,6.34E-03,0.041357415,FALSE,FALSE
ANGPTL2,-0.401400559,2.38E-03,0.025747122,FALSE,FALSE
ANGPTL6,0.445063594,7.16E-04,0.013944089,FALSE,FALSE
ANKMY1,0.446636352,9.77E-05,0.005590696,FALSE,FALSE
ANKRD13B,0.354477786,7.27E-03,0.044483254,FALSE,FALSE
ANKRD33,0.382415015,3.80E-03,0.031659129,FALSE,FALSE
ANKRD41,0.443754674,7.59E-04,0.014355843,FALSE,FALSE
ANKRD44,0.511575726,9.94E-05,0.005590696,FALSE,FALSE
ANKRD6,0.461539656,4.61E-04,0.011289617,FALSE,FALSE
ANKS3,0.445698909,7.02E-04,0.013779121,FALSE,FALSE
ANTXR2,-0.428590378,1.15E-03,0.017477535,FALSE,FALSE
ANXA6,-0.423659362,9.89E-04,0.016441296,FALSE,FALSE
AP1S1,-0.399776717,9.77E-04,0.016328559,FALSE,FALSE
