Num,ProbeID,p-Value,Gene,Cytoband,Fold-Change
37,ILMN_1767556,0.0178242,C10orf10,10q11.21c,2.283901423
18,ILMN_1702296,0.0091403,CARTPT,5q13.2b,2.093626699
3,ILMN_2415157,0.0024493,ARID5A,2q11.2a,2.073438838
10,ILMN_1782050,0.0056193,CEBPD,8q11.21a,1.841181227
2,ILMN_2286379,0.0017495,HYDIN,16q22.1f-q22.3a,1.769483623
39,ILMN_1740426,0.0184694,RASD1,17p11.2g,1.747239056
34,ILMN_1652185,0.0166762,IL4R,16p12.1a,1.74636822
9,ILMN_1763587,0.0051548,TNMD,Xq22.1b,1.742366729
97,ILMN_1721774,0.0470183,MPP7,10p11.23c,1.711712913
14,ILMN_2409167,0.0075977,ANXA2,15q22.2a,1.692925858
65,ILMN_1710514,0.0294053,BCL3,19q13.31b,1.669903233
22,ILMN_1692332,0.0125032,ALOX12B,17p13.1c,1.657099882
87,ILMN_2391912,0.0393724,SEC14L1,17q25.2b,1.64442072
31,ILMN_2282019,0.0164827,SYN3,22q12.3a,1.626937071
59,ILMN_1761309,0.0266007,ADCK5,8q24.3h,1.595471013
76,ILMN_1694913,0.0340732,LMO3,12p12.3d,1.593570791
33,ILMN_2113728,0.0166613,FLJ31568,22q11.23a,1.580422773
12,ILMN_2114422,0.0071293,NOD1,7p15.1b,1.554913981
85,ILMN_1655713,0.0388536,OR2M7,1q44f,1.540474863
86,ILMN_1653826,0.0389161,FGF13,Xq26.3d,1.538524147
56,ILMN_2089616,0.0248697,FBXO10,9p13.2a,1.529865637
60,ILMN_1773914,0.0266055,POU6F2,7p14.1d,1.525413123
32,ILMN_2086612,0.0165765,CMAH,6p21.32,1.510486073
49,ILMN_1773271,0.0218208,SCN7A,2q24.3d,1.496558223
7,ILMN_1808810,0.0045008,CERKL,2q31.3b,1.492776302
38,ILMN_1725175,0.0180504,FOSL2,2p23.2b,1.476985004
95,ILMN_1664170,0.0452175,CUGBP2,10p14Bp14a,1.47148914
81,ILMN_1687495,0.0364861,SLC37A1,21q22.3b,1.461054692
54,ILMN_1753111,0.0233274,NAMPT,7q22.2c,1.453358726
67,ILMN_1811608,0.0296929,FLJ14107,8p21.3,1.443912079
82,ILMN_2365111,0.0376773,MAP4K1,19q13.2a,1.443153441
55,ILMN_2319077,0.0243218,FAS,10q23.31b,1.429930875
5,ILMN_1803593,0.002886,WNT3,17q21.32a,1.418587714
66,ILMN_1792094,0.0294248,TMEM63C,14q24.3c,1.418420387
75,ILMN_1687967,0.0340483,NTRK3,15q25.3d,1.405410192
90,ILMN_2351241,0.0404107,RNF14,5q31.3c,1.363125044
88,ILMN_1692742,0.0397669,DENND3,8q24.3c,1.34144919
96,ILMN_1756705,0.0453123,CHTF18,16p13.3f,1.330898774
24,ILMN_1720181,0.0135588,CLSTN1,1p36.22d,1.32232156
102,ILMN_1742968,0.0492937,NMNAT2,1q25.3d,1.31346127
44,ILMN_1741465,0.0199732,PTPRH,19q13.42b,-1.361593416
41,ILMN_1695631,0.0190538,CHP2,16p12.1b,-1.415551164
17,ILMN_1795673,0.0089112,LOC441476,9q34.3f,-1.418359605
64,ILMN_1815165,0.0293862,SLC28A1,15q25.3a,-1.420135748
84,ILMN_1695036,0.0383753,TPPP3,16q22.1b,-1.421260234
1,ILMN_2178994,0.0016877,TUBB8,10p15.3d,-1.434781489
77,ILMN_1775136,0.0347722,C3orf45,3p21.31b,-1.47778267
94,ILMN_1726210,0.0444314,GPIHBP1,8q24.3f,-1.502684371
36,ILMN_1785413,0.0174033,ATP2C2,16q24.1a,-1.517927532
35,ILMN_2277334,0.0167047,KCNK2,1q41a,-1.523586114
63,ILMN_1712537,0.0279818,NODAL,10q22.1b,-1.537181567
74,ILMN_1684742,0.0335874,TCEA2,20q13.33e,-1.547607636
50,ILMN_1754132,0.0220576,FLJ45079,17q25.3a,-1.550516956
57,ILMN_1663390,0.0258167,CDC20,1p34.2a,-1.567522565
69,ILMN_1673605,0.0303997,PRSSL1,19p13.3j,-1.579873391
52,ILMN_1665311,0.0231118,STH,17q21.31e,-1.580142072
98,ILMN_2102422,0.0470686,ABCB8,7q36.1d,-1.581219165
61,ILMN_1738539,0.0271168,OPLAH,8q24.3g,-1.586292139
