Probe.ID , Gene.Symbol
ILMN_1799848,ANKRD22
ILMN_2114568,GBP5
ILMN_2132599,ANKRD22
ILMN_1743145,L-RAP
ILMN_1694548,ANXA3
ILMN_1708934,ADM
ILMN_1745242,PLSCR1
ILMN_1753111,NAMPT
ILMN_1720771,STX11
ILMN_1795336,PTER
ILMN_1689734,IL1RN
ILMN_1771385,BC050625
ILMN_2050911,SLC22A4
ILMN_1748915,S100A12
ILMN_1756806,DQ893795
ILMN_1653871,NAMPT
ILMN_1721116,USP10
ILMN_1679826,CST7
ILMN_2335813,GCH1
ILMN_1851599,BX110640
ILMN_1696419,STOM
ILMN_2224486,C3orf14
ILMN_1685057,SLC22A4
ILMN_2126706,LMNB1
ILMN_1810289,MYOF
ILMN_1666742,C9orf72
ILMN_1684585,ACSL1
ILMN_2393296,DQ894773
ILMN_1725471,DQ894773
ILMN_2109197,EPB41L3
ILMN_2219712,HMGB2
ILMN_1798270,C11orf75
ILMN_1741727,QPCT
ILMN_1772036,STEAP4
ILMN_1845037,TRIM69
ILMN_1741881,C9orf72
ILMN_1795715,DPYD
ILMN_1737964,HIATL1
ILMN_1780546,OSM
ILMN_1674574,VNN1
ILMN_2186061,IPFK-2
ILMN_1672124,C4orf18
ILMN_1788002,MAPK14
ILMN_1652680,NCF1B
ILMN_1705663,DMXL2
ILMN_1804735,CBS
ILMN_1674789,Unknown
ILMN_1701914,CD274
ILMN_1713058,PSTPIP2
ILMN_1683250,LOC440731
ILMN_1659255,RP2
ILMN_1667711,DQ895783
ILMN_1801767,ABHD3
ILMN_1776649,LRRK2
ILMN_1781700,IL18R1
ILMN_2078264,C3orf38
ILMN_1654268,HMGB2
ILMN_1761941,C4orf18
ILMN_2226015,LRRK2
ILMN_1729115,UBE2S
ILMN_2230862,GYG1
ILMN_1707286,PLBD1
ILMN_1736327,CDC42EP3
ILMN_2189037,WDR52
ILMN_1691104,PGAM4
ILMN_1745686,MFHAS1
ILMN_2074860,KRT4
ILMN_1795639,MGMT
ILMN_1713731,ALOX12
ILMN_1658624,UBXN6
ILMN_1727183,ZNF763
ILMN_1772876,ZNF395
ILMN_1658957,MGC13005
ILMN_1662587,PNPLA7
ILMN_1676042,Unknown
ILMN_2337928,CXCR5
ILMN_1753782,ZNF266
ILMN_2409384,SIGLEC7
ILMN_1762764,SH3BGRL2
ILMN_1666089,OLIG1
ILMN_2374352,DBNDD1
ILMN_2307025,RBM12
ILMN_1735712,KRT1
ILMN_1657996,AK098012
ILMN_2143314,SPIB
ILMN_1695812,KRT72
ILMN_1752755,VWF
ILMN_1703326,GPR44
ILMN_1814397,EPB42
ILMN_1763322,CCR3
ILMN_1804350,LOC644852
ILMN_1792323,HDC
ILMN_1654875,CLC
ILMN_1796216,VASH1
ILMN_1696512,ERAF
