Gene.Symbol,GENBANK.num
ATP2B2,AI421602
ATRN,N80619
BCL7A,H90147
C16ORF44,AA973009
C21ORF34,AI291693
CCDC102B,AA932364
CD9,AA412053
COL24A1,N51674
COMMD4,AA458486
CXCR4,T62491
FGD6,AA410291
GATA3,AA025380
GOT2,AA487739
GPR175,AA884151
HIST1H1A,AI283902
HKR1,AA007370
HMBOX1,AA984306
IER5L,AA609471
KCTD12,AA115054
LIFR,H10192
LITAF,AA625666
LMO4,AA644559
LOC388335,R83847
MIRH1,AA256157
NFKBIZ,H69786
PDE4DIP,H15535
PRKCZ,AI221690
RNU12P,AI198213
SCARB1,AA443899
SCN5A,AA044664
SDC4,AA148736
SRD5A1,R36874
SVIL,AI291307
TRIM25,N73575
WASF2,AA429572
unknown,R28287
unknown,AI061421
unknown,R32996
unknown,H20826
unknown,AI217709
unknown,R12679
unknown,AA424531
unknown,AI141767
unknown,AI122714
unknown,AA939238
