GenBank,Associated.gene,Map.region,log2(L/C),log2(M/C),log2(S/C),log2(A/C),Adj.p.value
T65857,Unknown,Intergenic,_0.878,_0.510,_0.745,_0.825,2.21E_04
N47010,KIAA1432,Intronic,_0.802,_0.486,_0.747,_0.763,4.52E_03
AI076295,MEMO1,Intronic,_0.547,_0.555,_0.634,_0.627,1.54E_03
H97875,DENND5B,Intronic,_0.361,_0.488,_0.465,_0.477,9.43E_04
AA704941,LARP5,Intergenic,_0.507,_0.304,_0.411,_0.470,2.60E_04
AA907052,SMA4,Intronic,_0.307,_0.462,_0.496,_0.438,3.04E_04
AA907052,GUSBP1,Intronic,_0.307,_0.462,_0.496,_0.438,3.04E_04
H56961,JMJD2C,Intronic,_0.456,_0.289,_0.430,_0.436,2.30E_04
AA995108,CUL3,Intronic,_0.373,_0.386,_0.351,_0.422,3.67E_04
H73587,XTP2,Intronic,_0.383,_0.336,_0.329,_0.390,2.16E_03
H73587,BAT2D1,Intronic,_0.383,_0.336,_0.329,_0.390,2.16E_03
H63175,USP47,Intronic,_0.232,_0.302,_0.370,_0.357,6.94E_04
H25019,ZZZ3,Intronic,_0.239,_0.285,_0.444,_0.349,4.04E_03
AA406078,ZEB1,Intronic,_0.268,_0.279,_0.363,_0.342,9.01E_03
AA906454,MUDENG,Intronic,_0.346,_0.230,_0.304,_0.340,2.42E_04
AA026388,SENP6,Intronic,_0.224,_0.230,_0.460,_0.320,1.46E_04
N73227,PARG,Intronic,_0.256,_0.249,_0.332,_0.317,5.24E_03
AI276056,ATP13A3,Intronic,_0.206,_0.261,_0.280,_0.284,2.08E_03
R11217,FBXW7,Intronic,_0.218,_0.250,_0.272,_0.262,4.89E_04
N26823,RBBP6,,_0.259,_0.185,_0.206,_0.249,2.27E_05
AA700707,ATP11B,Intergenic,_0.206,_0.216,_0.272,_0.245,3.37E_03
H85885,KIAA0999,Intronic,_0.171,_0.225,_0.238,_0.232,5.47E_03
