Probe,Symbol,Definition,Chromo-some,,Log Ratio,p-value,Brain Expressed
ILMN_1740010,PCNX, pecanex homolog ,,14,-0.372,0.00233,_
ILMN_1706531,ABCC5," ATP-binding cassette, sub-family C, member 5 ",,3,-0.323,0.00171,_
ILMN_1651385,MFN2, mitofusin 2 ,,1,-0.312,0.0048,_
ILMN_1657348,LOC650909,PREDICTED:  similar to activating signal cointegrator 1 complex subunit 3-like 1 ,,,-0.298,0.00038,
ILMN_1784737,S1PR4, sphingosine-1-phosphate receptor 4 ,,19,-0.277,0.0044,_
ILMN_1696828,RGS14, regulator of G-protein signaling 14 ,,5,-0.252,0.00115,_
ILMN_1732967,KIAA1949, KIAA1949 ,,6,-0.249,0.00464,_
ILMN_1705266,RELA, v-rel reticuloendotheliosis viral oncogene homolog A ,,11,-0.242,0.00374,_
ILMN_1808590,GUCY1A3," guanylate cyclase 1, soluble, alpha 3 ",,4,-0.23,0.00493,_
ILMN_1757827,ECOP, EGFR-coamplified and overexpressed protein ,,7,-0.224,0.00246,
ILMN_1767573,CRLF2,PREDICTED:  cytokine receptor-like factor 2 ,,,-0.218,0.00244,
ILMN_1746846,TTLL4," tubulin tyrosine ligase-like family, member 4 ",,2,-0.217,0.00195,_
ILMN_1902278,,"xe08f12.x1 Soares_NFL_T_GBC_S1  cDNA clone IMAGE:2606543 3, mRNA sequence",,7,-0.217,0.00199,
ILMN_2064694,STIM1, stromal interaction molecule 1 ,,11,-0.205,0.00338,
ILMN_2152402,BAT5, HLA-B associated transcript 5 ,,6,-0.202,0.00216,
ILMN_1668825,DKFZp686I15217, hypothetical protein DKFZp686I15217 ,,6,-0.199,0.00319,
ILMN_1752088,ZC4H2," zinc finger, C4H2 domain containing",,X,-0.196,0.00142,_
ILMN_1872568,,"EST379810 MAGE resequences, MAGJ  cDNA, mRNA sequence",,,-0.195,0.00121,
ILMN_1708983,CASC1, cancer susceptibility candidate 1 ,,12,-0.19,0.00438,_
ILMN_2194158,ADAM29, ADAM metallopeptidase domain 29 ,,4,-0.187,0.0017,
ILMN_1657163,LOC641741,PREDICTED:  hypothetical protein LOC641741,,,-0.187,0.00244,
ILMN_2415157,ARID5A, AT rich interactive domain 5A (MRF1-like),,2,-0.187,0.00301,_
ILMN_1651936,SETD8, SET domain containing (lysine methyltransferase) 8 ,,12,-0.185,0.00219,_
ILMN_1836570,,"BX112170 Soares_fetal_heart_NbHH19W  cDNA clone IMAGp998O07742, mRNA sequence",,6,-0.185,0.00275,
ILMN_1654165,SLC45A2," solute carrier family 45, member 2 ",,5,-0.185,0.0035,
ILMN_2077504,RNF160, ring finger protein 160 ,,21,-0.183,0.00384,
ILMN_1715417,SELP, selectin P ,,1,-0.182,0.00297,
