Probe,Symbol,Gene Name,Chromo-some,Log Ratio,p-value,Brain Expressed
ILMN_1806651,PARP8," poly (ADP-ribose) polymerase family, member 8 ",5,-0.32,0.00001,_
ILMN_1762436,UBB, ubiquitin B,17,-0.3,0.00226,_
ILMN_1686388,LOC644330,PREDICTED:  similar to tropomyosin 3 isoform 2 ,19,-0.29,0.00163,
ILMN_1761797,CSTB, cystatin B ,21,-0.25,0.00006,_
ILMN_1675386,CES1, carboxylesterase 1 ,16,-0.2,0.00289,
ILMN_1678312,LOC388397,PREDICTED:  hypothetical LOC388397 ,,-0.19,0.00014,
ILMN_1719518,ARF4, ADP-ribosylation factor 4,3,-0.15,0.0044,_
ILMN_1686516,CUGBP1," CUG triplet repeat, RNA binding protein 1",11,-0.15,0.00096,
ILMN_1804845,OR4P4," olfactory receptor, family 4, subfamily P, member 4 ",11,-0.14,0.00014,
ILMN_1775622,DMP1, dentin matrix acidic phosphoprotein ,4,-0.14,0.00105,
ILMN_1682054,SRI, sorcin ,7,-0.14,0.00477,_
ILMN_1719753,VGLL1, vestigial like 1 ,X,-0.13,0.00038,_
ILMN_1777182,AGC1," aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)",15,-0.13,0.00285,
ILMN_2396948,PSMC3IP, PSMC3 interacting protein ,17,-0.13,0.00156,
ILMN_1697412,RHBG," Rh family, B glycoprotein ",1,-0.13,0.00148,_
ILMN_1751289,DERPC, decreased expression in renal and prostate,16,-0.13,0.00479,
ILMN_1798547,FAM71D," family with sequence similarity 71, member D",14,-0.13,0.00157,
ILMN_2288254,UNC45A, unc-45 homolog A,15,-0.13,0.00137,_
ILMN_1667692,PTGIS, prostaglandin I2 (prostacyclin) synthase ,20,-0.12,0.00267,_
ILMN_1653372,ATP8B3," ATPase, class I, type 8B, member 3 ",19,-0.12,0.00467,_
ILMN_1780143,LOC653641,"PREDICTED:  similar to Golgi autoantigen, golgin subfamily A member 6 ",15,-0.12,0.00103,
ILMN_1749675,WNT8B," wingless-type MMTV integration site family, member 8B",10,-0.12,0.00053,_
ILMN_2241750,KALRN," kalirin, RhoGEF kinase ",3,-0.12,0.00133,_
ILMN_1687400,MAGEA4," melanoma antigen family A, 4 ",X,-0.12,0.00488,
ILMN_1737213,LOC653641,PREDICTED:  similar to Golgin subfamily A member 6 ,15,-0.12,0.00101,
ILMN_1673005,C20orf194,PREDICTED:  chromosome 20 open reading frame 194,,-0.11,0.00281,
ILMN_1770260,NFKBIZ," nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta ",3,-0.11,0.00366,_
ILMN_1709075,OLA1, Obg-like ATPase 1,2,-0.11,0.00047,_
ILMN_2335319,KCNG3," potassium voltage-gated channel, subfamily G, member 3",2,-0.11,0.00314,_
ILMN_1752884,AADACL2, arylacetamide deacetylase-like 2 ,3,-0.11,0.00232,
ILMN_1723834,FLJ32011, hypothetical protein FLJ32011 ,1,-0.11,0.0039,
ILMN_1765212,LARP1B," La ribonucleoprotein domain family, member 1B ",4,-0.11,0.00273,_
ILMN_1672765,LOC648827,PREDICTED:  hypothetical protein LOC648827 ,,-0.11,0.00418,
ILMN_2283094,FRMPD2L2, FERM and PDZ domain containing 2 like 2,10,-0.11,0.00133,
ILMN_1707591,TNIP3, TNFAIP3 interacting protein 3,4,-0.11,0.00388,
ILMN_1680732,B4GALT2," UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 ",1,-0.11,0.00163,_
ILMN_2043126,CSAG3A," CSAG family, member 3A",X,-0.11,0.00358,
ILMN_1800711,DEPDC5, DEP domain containing 5 ,22,-0.11,0.00337,_
ILMN_1661903,CYLC2," cylicin, basic protein of sperm head cytoskeleton 2 ",9,-0.1,0.00172,
ILMN_1675992,DST, dystonin,6,-0.1,0.00499,
ILMN_1670707,C17orf46, chromosome 17 open reading frame 46 ,17,-0.1,0.00251,_
ILMN_1727144,BIRC8, baculoviral IAP repeat-containing 8 ,19,-0.1,0.00243,
