Affymetrix ID,Gene,p.value,FDR,p.value.AUTvsControl,FDR.AUTvsControl,p.value.PDDNOSvsControl,FDR.PDDNOSvsControl,p.value.ASPvsControl,FDR.ASPvsControl
8177137,UTY,4.42E-07,1.09E-03,5.67E-06,1.94E-02,1.63E-04,1.63E-01,5.57E-02,1
7931353,PTPRE,5.50E-07,1.09E-03,3.42E-04,5.60E-02,6.40E-05,1.63E-01,4.15E-04,1
8152988,SLA,6.50E-07,1.09E-03,1.01E-04,4.18E-02,1.78E-04,1.63E-01,1.81E-03,1
7975361,KIAA0247,8.96E-07,1.09E-03,5.69E-05,3.60E-02,1.16E-04,1.63E-01,2.97E-02,1
8066822,SULF2,9.25E-07,1.09E-03,1.09E-04,4.18E-02,8.56E-05,1.63E-01,1.43E-02,1
8138116,ZNF12,1.00E-06,1.09E-03,7.49E-07,9.78E-03,3.23E-04,1.76E-01,4.30E-01,1
8051814,ZFP36L2,1.13E-06,1.09E-03,1.07E-05,2.44E-02,2.23E-04,1.63E-01,1.76E-01,1
8151149,ARFGEF1,1.16E-06,1.09E-03,9.84E-06,2.44E-02,1.38E-04,1.63E-01,2.27E-01,1
7995631,RBL2,1.69E-06,1.27E-03,1.43E-06,9.78E-03,1.85E-04,1.63E-01,6.88E-01,1
8059596,TRIP12,1.76E-06,1.27E-03,5.15E-05,3.60E-02,3.80E-04,1.77E-01,3.28E-02,1
7987048,MTMR10,1.85E-06,1.27E-03,1.13E-04,4.18E-02,9.31E-05,1.63E-01,6.82E-02,1
7929719,C10orf28,2.91E-06,1.83E-03,4.62E-05,3.60E-02,1.60E-04,1.63E-01,2.26E-01,1
8115562,RNF145,3.52E-06,1.84E-03,1.54E-05,2.49E-02,2.55E-04,1.63E-01,4.54E-01,1
8093976,TBC1D14,3.88E-06,1.84E-03,1.02E-03,7.69E-02,1.74E-04,1.63E-01,4.69E-03,1
7922889,IVNS1ABP,4.04E-06,1.84E-03,3.11E-05,3.54E-02,3.89E-04,1.77E-01,2.56E-01,1
8138670,HNRNPA2B1,4.09E-06,1.84E-03,1.95E-05,2.50E-02,1.72E-03,2.38E-01,9.82E-02,1
8059770,TIGD1,4.13E-06,1.84E-03,6.86E-05,3.60E-02,1.92E-04,1.63E-01,2.62E-01,1
8120992,ZNF292,4.54E-06,1.90E-03,3.72E-06,1.69E-02,1.93E-03,2.38E-01,3.22E-01,1
8054135,MGAT4A,5.38E-06,2.14E-03,5.58E-05,3.60E-02,2.45E-04,1.63E-01,3.33E-01,1
7957277,ZDHHC17,5.87E-06,2.21E-03,9.91E-05,4.18E-02,8.33E-04,2.23E-01,8.17E-02,1
8043310,RMND5A,6.24E-06,2.24E-03,1.42E-03,8.47E-02,3.59E-05,1.63E-01,7.72E-02,1
8066417,SERINC3,6.57E-06,2.25E-03,6.78E-05,3.60E-02,2.25E-04,1.63E-01,4.12E-01,1
8003263,ZCCHC14,6.93E-06,2.27E-03,8.77E-05,3.99E-02,1.28E-04,1.63E-01,4.91E-01,1
8073733,NUP50,8.27E-06,2.46E-03,7.33E-05,3.65E-02,5.21E-04,2.03E-01,2.90E-01,1
8128394,PNISR,8.89E-06,2.46E-03,2.01E-05,2.50E-02,1.03E-03,2.38E-01,4.73E-01,1
8065776,NCOA6,8.94E-06,2.46E-03,7.50E-05,3.65E-02,7.02E-04,2.21E-01,2.72E-01,1
8060418,SIRPA,9.08E-06,2.46E-03,3.90E-04,5.70E-02,5.63E-04,2.12E-01,6.01E-02,1
8126018,STK38,9.14E-06,2.46E-03,5.75E-05,3.60E-02,1.45E-03,2.38E-01,1.99E-01,1
7969651,DNAJC3,9.53E-06,2.48E-03,1.58E-03,8.81E-02,2.68E-04,1.63E-01,1.54E-02,1
7989224,ADAM10,1.03E-05,2.52E-03,1.14E-04,4.18E-02,1.43E-03,2.38E-01,1.25E-01,1
8068238,IFNAR2,1.06E-05,2.52E-03,3.66E-04,5.60E-02,4.41E-04,1.82E-01,1.16E-01,1
8155898,PCSK5,1.10E-05,2.52E-03,4.53E-05,3.60E-02,7.14E-04,2.21E-01,4.96E-01,1
8144082,C7orf13,1.10E-05,2.52E-03,4.56E-04,5.81E-02,1.35E-04,1.63E-01,2.82E-01,1
8112687,COL4A3BP,1.23E-05,2.73E-03,3.67E-04,5.60E-02,7.46E-04,2.21E-01,8.82E-02,1
8009205,DDX42,1.43E-05,2.86E-03,1.64E-05,2.49E-02,2.24E-03,2.41E-01,5.26E-01,1
8171762,RPS6KA3,1.43E-05,2.86E-03,3.77E-04,5.60E-02,4.17E-04,1.80E-01,1.99E-01,1
8143988,MLL3,1.43E-05,2.86E-03,1.97E-04,5.20E-02,1.82E-03,2.38E-01,9.31E-02,1
7988921,MYO5A,1.44E-05,2.86E-03,2.86E-04,5.50E-02,6.79E-04,2.21E-01,1.71E-01,1
8022441,ROCK1,1.48E-05,2.86E-03,6.60E-05,3.60E-02,3.80E-03,2.71E-01,1.21E-01,1
8048980,CAB39,1.66E-05,3.07E-03,8.72E-05,3.99E-02,1.56E-03,2.38E-01,3.34E-01,1
8090893,MSL2,1.67E-05,3.07E-03,1.51E-03,8.67E-02,3.69E-04,1.77E-01,5.29E-02,1
7974066,PNN,1.82E-05,3.11E-03,1.63E-05,2.49E-02,3.17E-03,2.56E-01,5.27E-01,1
8157534,CNTRL,1.87E-05,3.11E-03,1.07E-04,4.18E-02,1.22E-03,2.38E-01,3.61E-01,1
8079140,SNRK,1.90E-05,3.11E-03,4.34E-04,5.74E-02,9.35E-04,2.38E-01,1.36E-01,1
8144317,KBTBD11,1.93E-05,3.11E-03,2.46E-04,5.31E-02,1.28E-04,1.63E-01,7.56E-01,1
8079462,NBEAL2,1.97E-05,3.11E-03,3.08E-03,1.11E-01,1.48E-03,2.38E-01,1.16E-03,1
8050128,KIDINS220,1.99E-05,3.11E-03,3.28E-04,5.60E-02,2.78E-03,2.52E-01,6.12E-02,1
7911038,ZNF238,2.00E-05,3.11E-03,4.17E-05,3.60E-02,1.56E-03,2.38E-01,6.20E-01,1
8119408,NFYA,2.06E-05,3.11E-03,9.08E-04,7.36E-02,2.49E-04,1.63E-01,2.32E-01,1
8119529,UBR2,2.10E-05,3.11E-03,8.66E-04,7.32E-02,2.67E-04,1.63E-01,2.38E-01,1
8013965,SSH2,2.13E-05,3.11E-03,5.61E-03,1.40E-01,2.74E-04,1.63E-01,9.31E-03,1
7950409,KCNE3,2.14E-05,3.11E-03,8.80E-04,7.32E-02,1.54E-03,2.38E-01,3.59E-02,1
7924603,LBR,2.27E-05,3.23E-03,3.63E-04,5.60E-02,1.62E-03,2.38E-01,1.34E-01,1
8174119,ZMAT1,2.38E-05,3.32E-03,3.83E-05,3.60E-02,2.39E-03,2.41E-01,5.81E-01,1
8060627,ATRN,2.44E-05,3.34E-03,1.53E-04,4.52E-02,9.55E-04,2.38E-01,4.79E-01,1
8104944,NIPBL,2.55E-05,3.44E-03,1.30E-04,4.35E-02,2.58E-03,2.45E-01,2.78E-01,1
7925622,AHCTF1,2.77E-05,3.65E-03,1.78E-03,9.20E-02,3.37E-04,1.76E-01,1.45E-01,1
7973298,TRAV8-3,2.81E-05,3.65E-03,3.74E-04,5.60E-02,1.70E-03,2.38E-01,1.80E-01,1
7953291,CD9,2.87E-05,3.67E-03,5.35E-04,6.24E-02,9.64E-04,2.38E-01,2.24E-01,1
7939197,HIPK3,2.97E-05,3.74E-03,2.02E-03,9.51E-02,3.48E-04,1.76E-01,1.36E-01,1
8169541,DOCK11,3.20E-05,3.97E-03,6.09E-05,3.60E-02,2.37E-03,2.41E-01,6.12E-01,1
8132188,AVL9,3.39E-05,4.05E-03,2.31E-04,5.31E-02,1.12E-03,2.38E-01,4.84E-01,1
8042337,ACTR2,3.47E-05,4.05E-03,5.06E-04,6.24E-02,4.59E-03,2.78E-01,5.21E-02,1
7999044,CREBBP,3.47E-05,4.05E-03,6.24E-04,6.59E-02,2.04E-03,2.41E-01,1.33E-01,1
8042942,HK2,3.49E-05,4.05E-03,4.23E-04,5.74E-02,6.77E-03,3.02E-01,3.98E-02,1
7968035,SPATA13,3.57E-05,4.07E-03,3.57E-04,5.60E-02,5.89E-03,3.01E-01,6.52E-02,1
8106602,ZFYVE16,3.62E-05,4.07E-03,6.62E-04,6.62E-02,3.51E-03,2.69E-01,6.42E-02,1
7950796,CREBZF,3.75E-05,4.16E-03,4.96E-05,3.60E-02,3.72E-03,2.69E-01,6.08E-01,1
7954711,C12orf35,3.85E-05,4.17E-03,2.19E-03,9.77E-02,3.08E-03,2.56E-01,9.42E-03,1
7963244,TFCP2,3.87E-05,4.17E-03,1.60E-03,8.87E-02,6.66E-04,2.21E-01,1.67E-01,1
8011542,ZZEF1,3.93E-05,4.18E-03,2.34E-04,5.31E-02,1.17E-03,2.38E-01,5.89E-01,1
8111698,RICTOR,4.07E-05,4.26E-03,1.86E-03,9.21E-02,1.96E-03,2.39E-01,3.85E-02,1
7938179,OR10A4,4.26E-05,4.40E-03,7.34E-03,1.57E-01,5.75E-04,2.12E-01,1.60E-02,1
8101260,ANTXR2,4.56E-05,4.57E-03,7.09E-04,6.71E-02,2.07E-03,2.41E-01,1.78E-01,1
8109843,DOCK2,4.58E-05,4.57E-03,1.15E-03,8.11E-02,3.14E-03,2.56E-01,6.04E-02,1
8163775,MEGF9,4.64E-05,4.57E-03,8.91E-03,1.74E-01,1.63E-03,2.38E-01,1.45E-03,1
8023882,ZNF516,4.66E-05,4.57E-03,1.58E-03,8.81E-02,1.27E-03,2.38E-01,1.23E-01,1
8058927,TMBIM1,4.84E-05,4.68E-03,5.95E-04,6.44E-02,1.16E-03,2.38E-01,4.17E-01,1
8031737,ZNF548,4.91E-05,4.70E-03,3.56E-04,5.60E-02,2.14E-03,2.41E-01,3.94E-01,1
8116247,ZNF354A,5.02E-05,4.74E-03,2.90E-04,5.50E-02,3.01E-03,2.54E-01,3.56E-01,1
8117663,NKAPL,5.22E-05,4.84E-03,8.71E-03,1.72E-01,2.98E-04,1.69E-01,5.36E-02,1
8045398,RAB3GAP1,5.28E-05,4.84E-03,2.75E-03,1.07E-01,4.19E-03,2.73E-01,9.28E-03,1
8122464,UTRN,5.32E-05,4.84E-03,9.70E-04,7.56E-02,5.97E-03,3.01E-01,4.18E-02,1
8161701,TMEM2,5.39E-05,4.84E-03,1.61E-03,8.89E-02,2.63E-03,2.46E-01,6.63E-02,1
8152148,UBR5,5.72E-05,5.00E-03,5.70E-04,6.44E-02,1.46E-03,2.38E-01,4.44E-01,1
7970301,TMCO3,5.82E-05,5.00E-03,4.45E-04,5.74E-02,2.85E-03,2.52E-01,3.27E-01,1
7927389,MAPK8,5.96E-05,5.00E-03,1.63E-04,4.63E-02,1.94E-03,2.38E-01,7.48E-01,1
8167971,MIR223,5.97E-05,5.00E-03,3.74E-03,1.20E-01,5.03E-03,2.89E-01,4.06E-03,1
7965123,PPP1R12A,5.99E-05,5.00E-03,2.52E-04,5.31E-02,6.40E-03,3.01E-01,2.64E-01,1
8127637,TMEM30A,6.02E-05,5.00E-03,1.34E-04,4.35E-02,7.26E-03,3.06E-01,3.97E-01,1
8097148,KIAA1109,6.03E-05,5.00E-03,6.42E-04,6.62E-02,7.06E-03,3.05E-01,8.55E-02,1
7916592,MYSM1,6.31E-05,5.17E-03,3.50E-04,5.60E-02,3.49E-03,2.69E-01,3.88E-01,1
8117106,RNF144B,6.42E-05,5.21E-03,6.13E-03,1.46E-01,1.91E-03,2.38E-01,1.22E-02,1
8025978,ZNF763,6.53E-05,5.25E-03,1.88E-03,9.21E-02,1.90E-03,2.38E-01,1.36E-01,1
8040695,KCNK3,6.74E-05,5.27E-03,5.17E-03,1.36E-01,2.19E-03,2.41E-01,1.79E-02,1
7930682,FAM160B1,6.78E-05,5.27E-03,1.38E-03,8.46E-02,1.80E-03,2.38E-01,2.10E-01,1
8077528,SETD5,6.91E-05,5.27E-03,1.83E-03,9.21E-02,2.09E-03,2.41E-01,1.34E-01,1
8053775,ZNF514,6.92E-05,5.27E-03,3.35E-03,1.14E-01,2.45E-03,2.44E-01,3.87E-02,1
8059783,NGEF,7.07E-05,5.27E-03,1.44E-03,8.47E-02,1.05E-03,2.38E-01,3.49E-01,1
7986132,MAN2A2,7.21E-05,5.27E-03,1.36E-03,8.46E-02,7.96E-04,2.23E-01,4.67E-01,1
7933877,JMJD1C,7.26E-05,5.27E-03,9.22E-04,7.36E-02,3.53E-03,2.69E-01,2.09E-01,1
7927062,ZNF33A,7.33E-05,5.27E-03,1.04E-04,4.18E-02,1.89E-03,2.38E-01,9.72E-01,1
8070826,ITGB2,7.38E-05,5.27E-03,2.87E-03,1.07E-01,4.94E-03,2.89E-01,2.16E-02,1
8007023,MSL1,7.51E-05,5.27E-03,8.40E-03,1.70E-01,1.38E-03,2.38E-01,1.89E-02,1
7905789,IL6R,7.51E-05,5.27E-03,2.26E-03,9.94E-02,4.82E-03,2.89E-01,3.58E-02,1
7957806,SCYL2,7.53E-05,5.27E-03,1.22E-03,8.19E-02,3.11E-03,2.56E-01,1.72E-01,1
8021496,KIAA1468,7.53E-05,5.27E-03,3.05E-04,5.60E-02,4.30E-03,2.73E-01,4.42E-01,1
8091009,PIK3CB,7.54E-05,5.27E-03,1.24E-03,8.19E-02,1.75E-03,2.38E-01,3.10E-01,1
7968274,PAN3,7.89E-05,5.43E-03,2.23E-04,5.31E-02,4.14E-03,2.73E-01,5.83E-01,1
8008834,CLTC,8.06E-05,5.43E-03,1.82E-04,4.96E-02,4.09E-03,2.73E-01,6.52E-01,1
7948667,AHNAK,8.22E-05,5.43E-03,3.77E-04,5.60E-02,1.25E-02,3.65E-01,1.31E-01,1
8122343,HECA,8.31E-05,5.43E-03,1.47E-04,4.46E-02,4.19E-03,2.73E-01,7.27E-01,1
8132531,SPDYE1,8.32E-05,5.43E-03,4.12E-03,1.24E-01,1.45E-03,2.38E-01,9.95E-02,1
7969796,TM9SF2,8.35E-05,5.43E-03,1.02E-02,1.83E-01,1.49E-03,2.38E-01,1.41E-02,1
8067113,ZNF217,8.39E-05,5.43E-03,2.84E-03,1.07E-01,2.52E-03,2.45E-01,9.01E-02,1
7983953,RNF111,8.48E-05,5.43E-03,3.95E-04,5.70E-02,1.58E-03,2.38E-01,7.61E-01,1
8164398,GOLGA2,8.49E-05,5.43E-03,1.80E-03,9.20E-02,6.95E-04,2.21E-01,4.91E-01,1
8124059,NUP153,8.49E-05,5.43E-03,6.79E-04,6.62E-02,2.37E-03,2.41E-01,4.70E-01,1
8171248,KAL1,8.79E-05,5.58E-03,3.56E-04,5.60E-02,1.02E-02,3.40E-01,2.13E-01,1
8152962,LRRC6,8.87E-05,5.58E-03,1.85E-03,9.21E-02,1.71E-03,2.38E-01,2.66E-01,1
8115927,RNF44,9.05E-05,5.64E-03,5.91E-05,3.60E-02,3.65E-03,2.69E-01,9.75E-01,1
8110546,MAML1,9.12E-05,5.64E-03,2.12E-04,5.31E-02,3.93E-03,2.71E-01,6.94E-01,1
8074791,MAPK1,9.71E-05,5.92E-03,1.28E-03,8.29E-02,2.21E-03,2.41E-01,3.53E-01,1
7971422,ZC3H13,9.73E-05,5.92E-03,1.21E-03,8.19E-02,1.74E-03,2.38E-01,4.36E-01,1
8158597,GPR107,9.90E-05,5.98E-03,1.68E-03,9.04E-02,8.14E-04,2.23E-01,5.60E-01,1
8011945,KIAA0753,1.02E-04,6.12E-03,3.65E-04,5.60E-02,1.32E-03,2.38E-01,9.05E-01,1
8041713,PPM1B,1.03E-04,6.14E-03,4.17E-04,5.74E-02,6.69E-03,3.02E-01,3.85E-01,1
7897482,PIK3CD,1.05E-04,6.17E-03,1.64E-03,8.99E-02,2.48E-03,2.45E-01,2.95E-01,1
