ProbeID,Gene Symbol,Gene,Fold change,p-value (Dx),p-value (Sex),p-value (Age),p-value (familyID),False Discovery Rate (Dx)
7931899,IL15RA,"interleukin 15 receptor, alpha",-2.16,0.000017,0.310213,0.021721,0.023763,0.043
7894611,--,--,-2.57,0.000047,0.926191,0.904586,0.687649,0.099
7991602,PCSK6,proprotein convertase subtilisin/kexin type 6,-2.11,0.000088,0.50609,0.118864,0.056974,0.157
7894584,--,--,-2.65,0.000096,0.901791,0.907958,0.966256,0.162
8165705,ND6,NADH-ubiquinone oxidoreductase chain 6,-2.21,0.000116,0.646885,0.405567,0.158138,0.187
7895139,--,--,-2.4,0.000305,0.964142,0.948376,0.812158,0.382
8045848,UPP2,uridine phosphorylase 2,-2.1,0.000314,0.08213,0.30493,0.221452,0.382
7899898,HMGB4,high-mobility group box 4,-2.07,0.000341,0.903927,0.569997,0.127613,0.386
7893504,SLC39A9,"solute carrier family 39 (zinc transporter), member 9",2.11,0.000342,0.517077,0.635006,0.192391,0.386
7893306,--,--,-2.44,0.00036,0.851382,0.451857,0.934117,0.391
7973403,CMTM5,CKLF-like MARVEL transmembrane domain containing 5,-1.96,0.000379,0.012896,0.546004,0.093557,0.398
8159848,RNU2-2,"RNA, U2 small nuclear 1; RNA, U2 small nuclear 2",2.21,0.00045,0.717706,0.239975,0.532294,0.45
8177096,RBMY1F,"RNA binding motif protein, Y-linked, family 1, member F",2.11,0.000473,0.391124,0.156195,0.3207,0.45
7894403,--,--,2.08,0.000487,0.347256,0.268091,0.245462,0.45
7892925,--,--,-1.94,0.000535,0.134518,0.897353,0.063763,0.464
7928514,--,--,2.14,0.000547,0.410595,0.072199,0.511049,0.464
7899905,HMGB4,high-mobility group box 4,-1.97,0.000548,0.213792,0.532377,0.088382,0.464
7895706,--,--,1.77,0.00071,0.75471,0.144999,0.010172,0.585
8032608,C19ORF28,chromosome 19 open reading frame 28,-2.01,0.001056,0.454643,0.13434,0.301907,0.748
7896148,SLC25A3,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3",1.92,0.001171,0.354122,0.351546,0.134763,0.793
7893331,--,--,2.12,0.001227,0.306148,0.362846,0.662427,0.8
7894843,--,--,1.77,0.001236,0.308097,0.93568,0.018699,0.8
7896366,--,--,-1.86,0.001277,0.982021,0.324102,0.071766,0.8
8149849,GNRH1,gonadotropin-releasing hormone 1 (luteinizing-releasing hormone),1.88,0.001354,0.395082,0.646159,0.090076,0.8
7894176,--,--,2.12,0.001376,0.272693,0.838382,0.654494,0.8
8044258,LIMS1,LIM and senescent cell antigen-like domains 1,-2.08,0.001389,0.461613,0.783379,0.512213,0.8
7893130,--,--,-1.88,0.001476,0.329923,0.347666,0.118788,0.8
7948249,SLC43A1,"solute carrier family 43, member 1",-1.74,0.00155,0.989137,0.091267,0.020714,0.814
7896160,--,--,-1.78,0.001647,0.469501,0.905713,0.03336,0.851
7945663,--,--,1.85,0.001751,0.293636,0.216909,0.111235,0.858
