geneID.day11,log2FC.day11,FDR.day11,geneID.day31,log2FC.day31,FDR.day31
DLX6-AS1,4.72,1.70E-75,MUC2,-5.71,3.61E-43
REN,-4.83,2.35E-59,AC107385.1,-5.20,6.55E-40
TMEM132C,5.26,7.47E-37,FGA,-5.25,6.76E-40
FOXG1,2.93,1.92E-30,SERPINA1,-4.89,8.61E-38
ISLR2,2.64,1.27E-26,CLCA1,-5.02,3.14E-37
C14orf23,3.29,2.00E-26,DLX6-AS1,4.61,7.03E-37
HAND1,-2.89,5.73E-24,FGG,-5.09,2.21E-32
SP6,-2.68,6.27E-23,CEACAM6,-5.63,2.94E-32
GAD2,5.02,5.44E-22,CEACAM5,-6.00,3.18E-31
CHL1,4.32,5.96E-22,LAMC2,-3.96,6.19E-27
APOA1,-3.12,7.72E-22,FGB,-5.64,3.62E-26
CDH1,-2.37,9.08E-22,MUC13,-5.24,3.98E-26
RP11-267L5.1,-4.87,1.56E-21,FOXG1,3.60,5.53E-26
NCRNA00261,-4.19,9.57E-21,ST14,-3.60,2.31E-25
KLHDC8A,2.09,7.88E-20,TMEM132C,4.55,1.00E-23
MEG3,2.35,9.25E-19,AFP,-4.03,4.17E-23
PITX1,-2.82,9.25E-19,PLA2G2A,-4.22,5.65E-23
TBX3,-2.24,1.26E-18,NEUROD6,4.60,1.70E-22
CTD-2306M5.1,-2.85,3.37E-18,MEP1A,-4.51,9.08E-22
AC092057.1,-3.46,6.38E-18,AGR2,-4.26,4.37E-21
COL22A1,5.18,1.31E-17,RP11-510N19.5,-3.50,4.55E-21
EOMES,2.96,1.85E-17,KLHDC8A,3.10,1.30E-20
C1orf61,2.01,4.48E-17,ELF3,-3.29,1.30E-20
LHX2,1.97,5.68E-17,DUOX2,-3.07,1.41E-20
TBR1,2.70,7.55E-17,MMP1,-2.91,8.87E-20
GATA6,-2.32,1.28E-15,APOA1,-4.51,2.27E-19
CNTN4,3.40,7.21E-15,EPCAM,-3.46,4.25E-19
HAS2,-1.88,8.16E-15,SOX3,2.94,9.46E-19
RP11-1144P22.1,-4.79,8.44E-15,C1orf61,3.00,1.82E-18
CTC-547D20.1,1.88,1.99E-14,APOB,-4.46,6.36E-18
RP11-471J12.1,-2.67,2.00E-14,TACSTD2,-3.87,7.13E-18
GABRP,-3.45,3.01E-14,CDH17,-4.21,7.72E-18
HAND2,-2.59,4.47E-14,LHX2,2.78,2.83E-17
NR2E1,3.25,5.06E-14,SPINK1,-3.89,2.88E-17
FGB,-3.08,7.16E-14,C14orf23,3.65,6.30E-17
ALPPL2,-2.96,1.12E-13,CDX2,-3.91,7.16E-17
RP11-530I17.1,-1.87,1.12E-13,KRT19,-3.04,8.35E-17
MIR675,-2.19,1.15E-13,NEUROD2,3.93,8.35E-17
FLT1,-2.08,1.96E-13,CGA,-3.13,1.09E-16
AC104304.1,-4.41,2.73E-13,LRRC3B,3.04,1.21E-16
KDR,-1.91,2.73E-13,MUC16,-3.38,2.24E-16
APOB,-2.31,2.75E-13,PRSS8,-2.54,3.76E-16
AC018730.1,1.97,2.93E-13,CLDN7,-2.49,5.65E-16
POU3F3,2.14,3.01E-13,CEACAM1,-2.89,7.48E-16
AC011333.1,1.94,3.43E-13,APOA2,-4.21,8.46E-16
AC132217.4,-1.92,6.49E-13,PKP3,-3.19,9.43E-16
ADAMTS1,-1.67,1.21E-12,MYO7B,-3.97,9.64E-16
RP11-509I21.1,-4.39,2.83E-12,FXYD3,-3.63,1.06E-15
AC009487.5,2.69,4.74E-12,HPN,-2.73,1.47E-15
CGA,-2.83,1.25E-11,HECW1,2.39,1.72E-15
RP11-889I17.1,-1.91,1.38E-11,GRIA1,2.59,1.72E-15
DLX1,2.14,1.38E-11,FABP1,-4.27,1.86E-15
RP11-219G10.3,-3.68,1.38E-11,PRSS1,-5.57,2.33E-15
SIX3,1.82,1.87E-11,MEG3,3.10,5.17E-15
PODXL,-1.85,2.42E-11,AC020907.3,-2.82,5.17E-15
RP11-357H14.7,-1.68,6.04E-11,TBR1,2.72,5.17E-15
EPCAM,-1.97,6.90E-11,POU3F3,2.83,5.71E-15
H19,-2.34,7.18E-11,LAMB3,-2.66,7.94E-15
AC011609.3,4.12,7.61E-11,TSPAN8,-3.66,1.16E-14
ZFP42,-3.60,9.08E-11,NEUROG2,3.37,1.16E-14
CTD-3118D11.2,-3.30,1.22E-10,HNF4A,-3.65,1.77E-14
GPM6A,1.56,1.51E-10,GDF15,-2.36,2.67E-14
AC022002.4,3.35,2.06E-10,CSF3R,-2.62,2.80E-14
PITX2,-2.26,2.96E-10,RASGRP1,2.39,2.80E-14
RP11-216C10.1,-2.96,3.69E-10,MIR675,-2.37,4.30E-14
ESRP1,-2.49,3.76E-10,AC018730.1,2.84,6.43E-14
CST1,-3.78,4.84E-10,HAVCR1,-3.66,7.30E-14
LCP1,-2.57,8.20E-10,KRT20,-4.08,7.97E-14
