symbol,GeneName,ProbeName,RefSeq,FC,RP rank
X57802,,A_24_P519504,b,0.4865,1
ECAT11,hypothetical protein FLJ10884,A_23_P137484,NM_019079,NA,2
KIAA1914,KIAA1914,A_23_P406341,NM_001001936,1.6635,3
AF035042,,A_24_P24053,b,0.5213,4
AF063695,,A_24_P465799,b,0.5222,5
U21252,,A_24_P608268,b,0.5439,6
CMKOR1,chemokine orphan receptor 1,A_23_P131676,NM_020311,1.5748,7
CCL17,chemokine (C-C motif) ligand 17,A_23_P26325,NM_002987,1.5839,8
ENST00000360592,,A_24_P100684,ns,0.5463,9
X01147,,A_24_P76868,b,0.5681,10
A_23_P72252,,A_23_P72252,0,0.5725,11
A_23_P435390,,A_23_P435390,0,0.5569,12
IGLV2-14,immunoglobulin lambda variable 2-14,A_24_P510357,b,0.5806,13
A_24_P110487,,A_24_P110487,0,NA,14
MARLIN1,multiple coiled-coil GABABR1-binding protein,A_23_P144274,NM_144720,1.5221,15
GCET2,germinal center expressed transcript 2,A_24_P182947,NM_001008756,1.5225,16
NRG2,neuregulin 2,A_23_P213699,NM_013982,1.5744,17
AK126405,,A_24_P766716,b,1.565,18
AY172962,,A_24_P605563,b,0.5777,19
AY998685,,A_23_P96191,b,0.5899,20
ENST00000283657,,A_32_P157927,ns,0.5959,21
X72459,,A_24_P494425,b,0.5984,22
RP11-506K6.1,"tubulin, beta polypeptide paralog",A_24_P314477,NM_178012,1.5721,23
ENST00000216649,,A_24_P813550,ns,0.6272,24
ENST00000342919,,A_24_P144346,ns,0.5941,25
ENST00000359714,,A_24_P110242,ns,0.5885,26
ENST00000355807,,A_24_P384119,ns,0.5853,27
Z18824,,A_24_P204727,b,0.6117,28
AB063751,,A_23_P21249,b,0.6062,29
AJ399872,,A_24_P484904,b,0.6096,30
ENST00000216649,,A_24_P315854,ns,0.6374,31
IL13RA1,"interleukin 13 receptor, alpha 1",A_24_P280113,NM_001560,1.5291,32
ENST00000359488,,A_23_P21260,ns,0.6103,33
IGLL1,immunoglobulin lambda-like polypeptide 1,A_24_P83102,NM_020070,0.6031,34
TIAM2,T-cell lymphoma invasion and metastasis 2,A_24_P303454,NM_012454,1.4808,35
AF471454,,A_24_P702749,b,0.6145,36
AJ519285,,A_24_P488083,b,0.603,37
ENST00000322032,,A_24_P169873,ns,0.6227,38
AF471475,,A_23_P259763,b,NA,39
EDNRB,endothelin receptor type B,A_23_P2831,NM_003991,NA,40
ENST00000259219,,A_24_P212024,ns,0.626,41
G2,G2 protein,A_24_P727884,b,1.503,42
KCNMB1,"potassium large conductance calcium-activated channel, subfamily M, beta member 1",A_23_P19142,NM_004137,1.4683,43
LOC91353,similar to omega protein,A_24_P239076,NM_001013618,0.6198,44
LOC390712,similar to immunoglobulin M chain,A_24_P101642,XM_372630,0.6162,45
FLJ10157,hypothetical protein FLJ10157,A_23_P63541,b,1.462,46
ENST00000331195,,A_24_P472081,ns,0.6219,47
TBX15,T-box 15,A_24_P128442,NM_152380,0.5888,48
BC024289,,A_24_P15388,b,0.6129,49
PRKCH,"protein kinase C, eta",A_23_P205567,NM_006255,1.4727,50
TCF7,"transcription factor 7 (T-cell specific, HMG-box)",A_23_P7582,NM_003202,1.4429,51
X57818,,A_24_P173566,b,0.6631,52
BC012876,,A_24_P318990,b,0.64,53
MGC35033,hypothetical protein MGC35033,A_23_P405878,NM_152319,1.4555,54
ENST00000359714,,A_24_P229447,ns,0.6337,55
LEPREL1,leprecan-like 1,A_23_P69179,NM_018192,1.4058,56
A_23_P84791,,A_23_P84791,0,0.6582,57
THC2279377,,A_32_P40433,hc,1.3576,58
GCET2,germinal center expressed transcript 2,A_23_P253250,NM_001008756,1.4257,59
TUBB2,"tubulin, beta 2",A_23_P19291,NM_001069,1.4113,60
SASH1,SAM and SH3 domain containing 1,A_23_P93442,NM_015278,0.604,61
SV2B,synaptic vesicle glycoprotein 2B,A_23_P100022,NM_014848,1.4185,62
CCL22,chemokine (C-C motif) ligand 22,A_24_P313418,NM_002990,1.4161,63
IGKC,immunoglobulin kappa constant,A_23_P361654,b,0.6521,64
MGC27165,hypothetical protein MGC27165,A_24_P590547,b,0.6755,65
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P66473,NM_181671,1.4084,66
AK128476,,A_24_P92683,b,0.6657,67
DAPK2,death-associated protein kinase 2,A_24_P10233,NM_014326,1.4277,68
ENST00000310579,,A_24_P66578,ns,0.6687,69
A_23_P112957,,A_23_P112957,0,0.6449,70
A_23_P44053,,A_23_P44053,0,0.6556,71
GAL3ST1,galactose-3-O-sulfotransferase 1,A_23_P120863,NM_004861,NA,72
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,A_24_P234214,NM_138394,1.3737,73
LAMB1,"laminin, beta 1",A_23_P94030,NM_002291,NA,74
AUTS2,autism susceptibility candidate 2,A_23_P122906,NM_015570,1.4203,75
ENST00000328419,,A_24_P204374,ns,0.6411,76
KLHL6,kelch-like 6 (Drosophila),A_23_P212655,NM_130446,1.4309,77
TMEM2,transmembrane protein 2,A_23_P94552,NM_013390,0.6765,78
ATP10A,"ATPase, Class V, type 10A",A_24_P215765,NM_024490,NA,79
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_24_P295590,NM_032023,1.3922,80
ENST00000354201,,A_24_P161853,ns,0.6736,81
ENST00000295410,,A_24_P626951,ns,0.6672,82
A_24_P204574,,A_24_P204574,0,0.6727,83
GIMAP5,"GTPase, IMAP family member 5",A_23_P42588,NM_018384,1.4258,84
TIMD4,T-cell immunoglobulin and mucin domain containing 4,A_23_P7503,NM_138379,0.6739,85
C8orf13,chromosome 8 open reading frame 13,A_23_P334955,NM_053279,NA,86
AK128476,,A_23_P136026,b,0.6804,87
ZD52F10,dermokine,A_23_P320261,NM_033317,1.4059,88
AJ245002,,A_24_P750327,b,0.6784,89
ARG99,ARG99 protein,A_23_P203957,NM_031920,0.6526,90
PTK2,PTK2 protein tyrosine kinase 2,A_23_P22096,NM_153831,NA,91
P4HA2,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II",A_23_P30363,NM_004199,1.3952,92
A_32_P184039,,A_32_P184039,0,1.3794,93
GIMAP7,"GTPase, IMAP family member 7",A_24_P274831,NM_153236,1.3955,94
IGKC,immunoglobulin kappa constant,A_32_P148122,b,0.6878,95
ENST00000260323,,A_23_P88576,ns,1.3239,96
AF343666,,A_24_P395415,b,0.7137,97
AF076205,,A_24_P538459,b,0.6718,98
KCNMA1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",A_24_P156490,NM_002247,1.4091,99
HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",A_23_P50974,NM_020760,1.425,100
FAM82A,"family with sequence similarity 82, member A",A_23_P102160,b,1.3514,101
FXYD2,FXYD domain containing ion transport regulator 2,A_24_P196562,NM_021603,0.6651,102
IL1R2,"interleukin 1 receptor, type II",A_23_P79398,NM_004633,1.4233,103
MT1K,metallothionein 1K,A_23_P66241,NM_176870,0.6821,104
ENST00000359714,,A_24_P33341,ns,0.6874,105
