Symbol,GeneName,ProbeName,RefSeq,SAM rank
FMR1,fragile X mental retardation 1,A_24_P40417,NM_002024,1
KALRN,"kalirin, RhoGEF kinase",A_24_P410797,b,2
MBTPS1,"membrane-bound transcription factor protease, site 1",A_23_P14948,NM_003791,3
MARLIN1,multiple coiled-coil GABABR1-binding protein,A_23_P144274,NM_144720,4
RSNL2,restin-like 2,A_23_P417363,b,5
CST3,cystatin C (amyloid angiopathy and cerebral hemorrhage),A_24_P216294,NM_000099,6
CST5,cystatin D,A_23_P170453,NM_001900,7
CHST12,carbohydrate (chondroitin 4) sulfotransferase 12,A_23_P310421,NM_018641,8
AREG,amphiregulin (schwannoma-derived growth factor),A_23_P259071,NM_001657,9
ENST00000324691,,A_24_P212834,ns,10
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_32_P31945,NM_001609,11
MIA,melanoma inhibitory activity,A_23_P4714,NM_006533,12
KLF7,Kruppel-like factor 7 (ubiquitous),A_23_P67980,NM_003709,13
HIG2,hypoxia-inducible protein 2,A_23_P20022,NM_013332,14
FLJ10980,hypothetical protein FLJ10980,A_24_P357576,NM_019600,15
SCARB2,"scavenger receptor class B, member 2",A_24_P54879,NM_005506,16
NID67,putative small membrane protein NID67,A_23_P414273,NM_032947,17
RPL29,ribosomal protein L29,A_32_P204019,NM_000992,18
FMR1,fragile X mental retardation 1,A_24_P93967,NM_002024,19
A_24_P345290,,A_24_P345290,,20
THC2363099,,A_24_P920207,hc,21
FTL,"ferritin, light polypeptide",A_23_P50498,NM_000146,22
ALPK1,alpha-kinase 1,A_23_P133133,NM_025144,23
DNAJC18,"DnaJ (Hsp40) homolog, subfamily C, member 18",A_32_P149251,NM_152686,24
EFTUD1,elongation factor Tu GTP binding domain containing 1,A_23_P152055,NM_024580,25
BID,BH3 interacting domain death agonist,A_24_P187948,NM_197966,26
A_24_P50057,,A_24_P50057,,27
CCL21,chemokine (C-C motif) ligand 21,A_23_P112470,NM_002989,28
MT1F,metallothionein 1F (functional),A_23_P15174,NM_005949,29
GCET2,germinal center expressed transcript 2,A_24_P182947,NM_001008756,30
PHACTR1,phosphatase and actin regulator 1,A_32_P52018,NM_030948,31
LCMT1,leucine carboxyl methyltransferase 1,A_23_P112825,NM_016015,32
ATP8B2,"ATPase, Class I, type 8B, member 2",A_32_P185229,NM_020452,33
SELL,selectin L (lymphocyte adhesion molecule 1),A_23_P103522,NM_000655,34
STAG3,stromal antigen 3,A_23_P145657,NM_012447,35
SEL1L,sel-1 suppressor of lin-12-like (C. elegans),A_24_P219114,NM_005065,36
EDG1,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1",A_23_P404481,NM_001400,37
TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)",A_23_P211957,NM_001024847,38
SV2B,synaptic vesicle glycoprotein 2B,A_23_P100022,NM_014848,39
THC2386267,,A_32_P120726,hc,40
HIST1H3D,"histone 1, H3d",A_23_P219045,NM_003530,41
SLC7A11,"solute carrier family 7, (cationic amino acid transporter, y+ system) member 11",A_32_P165477,b,42
NR1I3,"nuclear receptor subfamily 1, group I, member 3",A_23_P319572,NM_005122,43
MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,A_23_P200930,NM_000254,44
KIF1B,kinesin family member 1B,A_24_P145066,NM_183416,45
SLC20A1,"solute carrier family 20 (phosphate transporter), member 1",A_23_P165657,NM_005415,46
HSPBP1,hsp70-interacting protein,A_23_P170687,NM_012267,47
BIRC3,baculoviral IAP repeat-containing 3,A_23_P98350,NM_001165,48
CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",A_23_P89941,NM_001800,49
SNN,stannin,A_23_P152160,NM_003498,50
TRIM14,tripartite motif-containing 14,A_24_P197964,NM_014788,51
NIFIE14,seven transmembrane domain protein,A_23_P79043,NM_032635,52
SNN,stannin,A_24_P30923,NM_003498,53
AK2,adenylate kinase 2,A_24_P500891,NM_013411,54
ARMC5,armadillo repeat containing 5,A_32_P512500,NM_024742,55
MGC10986,hypothetical protein MGC10986,A_23_P26824,NM_030576,56
KIAA0649,KIAA0649,A_23_P146497,NM_014811,57
BRP44,brain protein 44,A_23_P114929,NM_015415,58
LRRC8D,"leucine rich repeat containing 8 family, member D",A_23_P97365,NM_018103,59
NS3TP2,HCV NS3-transactivated protein 2,A_23_P22350,NM_023927,60
OSM,oncostatin M,A_23_P166408,NM_020530,61
PTPLA,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a",A_23_P161352,NM_014241,62
STAR,steroidogenic acute regulator,A_23_P8981,NM_000349,63
CR596214,,A_24_P303193,b,64
WDR7,WD repeat domain 7,A_23_P164528,NM_015285,65
RAD52B,RAD52 homolog B (S. cerevisiae),A_23_P141447,NM_145654,66
CCT6B,"chaperonin containing TCP1, subunit 6B (zeta 2)",A_23_P4082,NM_006584,67
AK125077,,A_24_P817209,b,68
NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",A_24_P214754,NM_000176,69
FAM82A,"family with sequence similarity 82, member A",A_23_P102160,b,70
ENST00000307507,,A_32_P68533,ns,71
FXYD5,FXYD domain containing ion transport regulator 5,A_23_P130995,NM_144779,72
HLA-DOA,"major histocompatibility complex, class II, DO alpha",A_32_P356316,NM_002119,73
NDFIP1,Nedd4 family interacting protein 1,A_23_P81247,NM_030571,74
FLJ10980,hypothetical protein FLJ10980,A_23_P99853,NM_019600,75
THC2304444,,A_32_P16462,hc,76
CHMP4B,chromatin modifying protein 4B,A_23_P301732,NM_176812,77
DOLPP1,dolichyl pyrophosphate phosphatase 1,A_23_P386764,NM_020438,78
MT1H,metallothionein 1H,A_23_P163782,NM_005951,79
AF086442,,A_23_P156996,b,80
BE091362,,A_32_P132276,b,81
CLDN23,claudin 23,A_23_P134854,NM_194284,82
ENST00000356177,,A_23_P8004,ns,83
GANAB,"glucosidase, alpha; neutral AB",A_23_P203406,NM_198334,84
A_32_P56726,,A_32_P56726,,85
ACTN1,"actinin, alpha 1",A_24_P107695,NM_001102,86
SRPR,signal recognition particle receptor ('docking protein'),A_23_P86943,NM_003139,87
TPARL,TPA regulated locus,A_24_P43391,NM_018475,88
PSEN2,presenilin 2 (Alzheimer disease 4),A_24_P62521,NM_000447,89
FLJ39441,hypothetical protein FLJ39441,A_23_P328237,NM_194285,90
ZFP36,"zinc finger protein 36, C3H type, homolog (mouse)",A_23_P39237,NM_003407,91
A_24_P289884,,A_24_P289884,,92
DAAM1,dishevelled associated activator of morphogenesis 1,A_23_P54116,NM_014992,93
SLC1A1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",A_23_P216468,NM_004170,94
JAZF1,juxtaposed with another zinc finger gene 1,A_32_P36694,NM_175061,95
TRIT1,tRNA isopentenyltransferase 1,A_23_P12062,NM_017646,96
HIST2H3C,"histone 2, H3c",A_23_P435029,b,97
FLJ35773,hypothetical protein FLJ35773,A_23_P340218,NM_152599,98
LGALS3,"lectin, galactoside-binding, soluble, 3 (galectin 3)",A_23_P128919,NM_002306,99
APPL,"adaptor protein containing pH domain, PTB domain and leucine zipper motif 1",A_23_P166663,NM_012096,100
SSR4,"signal sequence receptor, delta (translocon-associated protein delta)",A_23_P259172,NM_006280,101
RBMS1,"RNA binding motif, single stranded interacting protein 1",A_23_P36496,NM_016836,102
ACTG1,"actin, gamma 1",A_32_P156963,NM_001614,103
THC2269190,,A_32_P2883,hc,104
ACTN1,"actinin, alpha 1",A_23_P105957,NM_001102,105
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_23_P75260,NM_032023,106
GPR155,G protein-coupled receptor 155,A_23_P335958,NM_152529,107
PCNXL3,pecanex-like 3 (Drosophila),A_24_P333123,b,108
A_24_P144314,,A_24_P144314,,109
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_24_P731648,NM_004694,110
ID2,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",A_23_P143143,NM_002166,111
MHC2TA,MHC class II transactivator,A_32_P209960,NM_000246,112
TM9SF1,transmembrane 9 superfamily member 1,A_23_P151586,NM_006405,113
C22orf5,chromosome 22 open reading frame 5,A_23_P17870,NM_012264,114
ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative function),A_23_P79999,NM_001247,115
ENST00000292562,,A_24_P49517,ns,116
SELS,selenoprotein S,A_24_P912889,NM_203472,117
MAN2A1,"mannosidase, alpha, class 2A, member 1",A_23_P360769,NM_002372,118
HIST1H1D,"histone 1, H1d",A_24_P260639,NM_005320,119
HIST1H2AG,"histone 1, H2ag",A_24_P303354,NM_021064,120
ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c",A_24_P279220,NM_001694,121
PLP2,proteolipid protein 2 (colonic epithelium-enriched),A_24_P74932,NM_002668,122
LCP2,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa),A_23_P30547,NM_005565,123
FXYD2,FXYD domain containing ion transport regulator 2,A_23_P161769,NM_021603,124
CSF1R,"colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog",A_23_P110791,NM_005211,125
C20orf35,chromosome 20 open reading frame 35,A_23_P369456,NM_033542,126
PHF3,PHD finger protein 3,A_23_P70371,NM_015153,127
LOC255809,similar to HIDE1,A_23_P142055,b,128
BGLAP,bone gamma-carboxyglutamate (gla) protein (osteocalcin),A_23_P160638,NM_199173,129
KIAA1666,KIAA1666 protein,A_23_P154962,b,130
UBN1,ubinuclein 1,A_23_P54900,NM_016936,131
ENST00000358081,,A_32_P168431,ns,132
BQ189193,,A_23_P166280,b,133
THC2406192,,A_32_P6442,hc,134
CA2,carbonic anhydrase II,A_23_P8913,NM_000067,135
RIMS3,regulating synaptic membrane exocytosis 3,A_23_P319583,NM_014747,136
BC065260,,A_23_P320478,b,137
LMLN,leishmanolysin-like (metallopeptidase M8 family),A_23_P43786,b,138
PRICKLE1,prickle-like 1 (Drosophila),A_23_P408285,NM_153026,139
A_24_P127051,,A_24_P127051,,140
IVL,involucrin,A_23_P353524,NM_005547,141
AK126405,,A_24_P766716,b,142
IL21R,interleukin 21 receptor,A_24_P227927,NM_181078,143
HIST1H2AK,"histone 1, H2ak",A_24_P217848,NM_003510,144
DKFZp434O0213,hypothetical protein DKFZp434O0213,A_24_P387514,NM_182492,145
THC2309459,,A_32_P111852,hc,146
TPARL,TPA regulated locus,A_23_P133174,NM_018475,147
FLJ13910,hypothetical protein FLJ13910,A_23_P257755,NM_022780,148
FAM82A,"family with sequence similarity 82, member A",A_24_P131392,NM_144713,149
HIST1H2AH,"histone 1, H2ah",A_23_P81859,NM_080596,150
FLJ42342,hypothetical gene supported by AK124333,A_32_P132860,b,151
CDC40,cell division cycle 40 homolog (yeast),A_23_P351320,NM_015891,152
ZNF567,zinc finger protein 567,A_23_P354894,NM_152603,153
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_23_P128887,NM_182910,154
CYP2J2,"cytochrome P450, family 2, subfamily J, polypeptide 2",A_23_P103486,NM_000775,155
LGP1,homolog of mouse LGP1,A_23_P207387,NM_032484,156
MGC2803,hypothetical protein MGC2803,A_23_P164821,NM_024038,157
HIST1H3B,"histone 1, H3b",A_24_P174924,NM_003537,158
TXNDC5,thioredoxin domain containing 5,A_23_P168229,NM_022085,159
ZD52F10,dermokine,A_23_P320261,NM_033317,160
POLR2L,"polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa",A_24_P330009,NM_021128,161
DOM3Z,dom-3 homolog Z (C. elegans),A_32_P181020,NM_005510,162
AMICA1,"adhesion molecule, interacts with CXADR antigen 1",A_24_P192914,NM_153206,163
A_23_P207049,,A_23_P207049,,164
BC017937,,A_24_P350708,b,165
EDNRB,endothelin receptor type B,A_23_P2831,NM_003991,166
EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),A_24_P307002,NM_032378,167
TNFSF11,"tumor necrosis factor (ligand) superfamily, member 11",A_23_P99386,NM_003701,168
CAMLG,calcium modulating ligand,A_24_P234856,NM_001745,169
HIST1H1E,"histone 1, H1e",A_23_P7976,NM_005321,170
BMP2K,BMP2 inducible kinase,A_23_P213126,b,171
