Symbol,GeneName,ProbeName,RefSeq,FC,RP rank
MARLIN1,multiple coiled-coil GABABR1-binding protein,A_23_P144274,NM_144720,1.98,1
FMR1,fragile X mental retardation 1,A_24_P93967,NM_002024,NA,2
FMR1,fragile X mental retardation 1,A_24_P40417,NM_002024,0.54,3
AK126405,,A_24_P766716,b,1.62,4
GALNT14,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14),A_23_P67847,NM_024572,0.56,5
KIAA1914,KIAA1914,A_23_P406341,NM_001001936,1.58,6
SV2B,synaptic vesicle glycoprotein 2B,A_23_P100022,NM_014848,1.51,7
LAMB1,"laminin, beta 1",A_23_P94030,NM_002291,NA,8
GCET2,germinal center expressed transcript 2,A_24_P182947,NM_001008756,1.50,9
GAL3ST1,galactose-3-O-sulfotransferase 1,A_23_P120863,NM_004861,NA,10
TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),A_24_P20954,NM_003221,0.60,11
RGS13,regulator of G-protein signalling 13,A_23_P500093,NM_002927,NA,12
ZD52F10,dermokine,A_23_P320261,NM_033317,1.48,13
FAM82A,"family with sequence similarity 82, member A",A_23_P102160,b,1.47,14
IGHM,immunoglobulin heavy constant mu,A_24_P417352,b,0.63,15
FXYD2,FXYD domain containing ion transport regulator 2,A_24_P196562,NM_021603,0.63,16
SUCNR1,succinate receptor 1,A_23_P69171,NM_033050,0.63,17
C8orf13,chromosome 8 open reading frame 13,A_23_P334955,NM_053279,NA,18
FLJ10157,hypothetical protein FLJ10157,A_23_P63541,b,1.48,19
KALRN,"kalirin, RhoGEF kinase",A_24_P410797,b,NA,20
BAMBI,BMP and activin membrane-bound inhibitor homolog (Xenopus laevis),A_23_P52207,NM_012342,0.65,21
A_23_P112957,,A_23_P112957,0,0.65,22
VIM,vimentin,A_23_P161194,NM_003380,0.65,23
AF471475,,A_23_P259763,b,0.62,24
ENST00000342919,,A_24_P144346,ns,0.62,25
KIAA0649,KIAA0649,A_23_P146497,NM_014811,0.66,26
A_24_P110487,,A_24_P110487,0,0.62,27
ARG99,ARG99 protein,A_23_P203957,NM_031920,0.63,28
GIMAP4,"GTPase, IMAP family member 4",A_24_P209455,NM_018326,NA,29
AF035042,,A_24_P24053,b,0.63,30
GCET2,germinal center expressed transcript 2,A_23_P253250,NM_001008756,1.42,31
AF471454,,A_24_P702749,b,0.62,32
EDNRB,endothelin receptor type B,A_23_P2831,NM_003991,0.67,33
LEPREL1,leprecan-like 1,A_23_P69179,NM_018192,1.44,34
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",A_24_P326084,b,1.38,35
ENST00000354201,,A_24_P161853,ns,0.64,36
AK128476,,A_24_P92683,b,0.65,37
CMKOR1,chemokine orphan receptor 1,A_23_P131676,NM_020311,1.40,38
RIMS3,regulating synaptic membrane exocytosis 3,A_23_P319583,NM_014747,0.66,39
IRF5,interferon regulatory factor 5,A_23_P500271,NM_002200,0.69,40
STAG3,stromal antigen 3,A_23_P145657,NM_012447,1.39,41
CCL22,chemokine (C-C motif) ligand 22,A_24_P313418,NM_002990,1.41,42
WFDC2,WAP four-disulfide core domain 2,A_24_P14464,NM_080736,0.67,43
A_24_P596251,,A_24_P596251,0,0.67,44
Z18824,,A_24_P204727,b,0.65,45
ENST00000359714,,A_24_P110242,ns,0.64,46
IL13RA1,"interleukin 13 receptor, alpha 1",A_24_P280113,NM_001560,1.42,47
FXYD2,FXYD domain containing ion transport regulator 2,A_23_P161769,NM_021603,0.67,48
CCL17,chemokine (C-C motif) ligand 17,A_23_P26325,NM_002987,1.38,49
VIM,vimentin,A_23_P161190,NM_003380,0.67,50
NOTCH2,Notch homolog 2 (Drosophila),A_23_P200792,NM_024408,1.42,51
FARP1,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)",A_23_P308763,NM_005766,0.67,52
ENST00000360102,,A_32_P51988,ns,0.64,53
A_24_P50057,,A_24_P50057,0,1.37,54
AB063751,,A_23_P21249,b,0.64,55
THC2374165,,A_32_P221429,hc,0.64,56
SELL,selectin L (lymphocyte adhesion molecule 1),A_23_P103522,NM_000655,0.70,57
FLRT3,fibronectin leucine rich transmembrane protein 3,A_23_P166109,NM_198391,0.68,58
ENST00000355807,,A_24_P384119,ns,0.64,59
AK001357,,A_24_P926783,b,0.70,60
A_24_P323298,,A_24_P323298,0,0.65,61
LMO2,LIM domain only 2 (rhombotin-like 1),A_23_P53126,NM_005574,1.41,62
CR617033,,A_32_P29618,b,0.68,63
CNN3,"calponin 3, acidic",A_23_P138168,NM_001839,0.69,64
ENST00000359714,,A_24_P229447,ns,0.65,65
MIA,melanoma inhibitory activity,A_23_P4714,NM_006533,1.36,66
BX640947,,A_24_P852001,b,0.67,67
GIMAP7,"GTPase, IMAP family member 7",A_24_P274831,NM_153236,1.41,68
AF076205,,A_24_P538459,b,0.68,69
BC073935,,A_32_P221305,b,0.69,70
TBX15,T-box 15,A_24_P128442,NM_152380,0.63,71
DKFZp434E2321,hypothetical protein DKFZp434E2321,A_23_P401718,NM_207310,1.38,72
THC2279377,,A_32_P40433,hc,1.39,73
THC2363099,,A_24_P920207,hc,0.71,74
HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",A_23_P59167,b,NA,75
FLJ20366,hypothetical protein FLJ20366,A_23_P134734,NM_017786,1.38,76
FAM79B,"family with sequence similarity 79, member B",A_24_P586712,NM_198485,1.38,77
THC2437757,,A_32_P158181,hc,0.69,78
IL2RA,"interleukin 2 receptor, alpha",A_23_P127288,NM_000417,1.38,79
KIAA0672,KIAA0672 gene product,A_23_P26854,NM_014859,1.40,80
HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",A_23_P50974,NM_020760,1.39,81
RHOU,"ras homolog gene family, member U",A_24_P62530,NM_021205,NA,82
ARG99,ARG99 protein,A_23_P371495,b,NA,83
RP11-506K6.1,"tubulin, beta polypeptide paralog",A_24_P314477,NM_178012,1.36,84
BC024289,,A_24_P15388,b,0.66,85
ACTN1,"actinin, alpha 1",A_24_P107695,NM_001102,0.70,86
CLIC2,chloride intracellular channel 2,A_23_P45456,NM_001289,1.35,87
AF103312,,A_24_P604784,b,0.69,88
ENST00000331195,,A_24_P472081,ns,0.70,89
MT1K,metallothionein 1K,A_23_P66241,NM_176870,0.67,90
STAR,steroidogenic acute regulator,A_23_P8981,NM_000349,1.32,91
X01147,,A_24_P76868,b,0.70,92
ENST00000360592,,A_24_P100684,ns,0.65,93
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_23_P31453,NM_012449,0.66,94
AJ519285,,A_24_P488083,b,0.66,95
AMICA1,"adhesion molecule, interacts with CXADR antigen 1",A_24_P192914,NM_153206,0.71,96
MYO10,myosin X,A_23_P7596,NM_012334,0.70,97
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_32_P69149,NM_012449,0.67,98
CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",A_23_P206359,NM_004360,1.34,99
ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",A_23_P301530,NM_020987,NA,100
ZDHHC14,"zinc finger, DHHC-type containing 14",A_23_P250619,NM_153746,0.69,101
NPNT,likely ortholog of mouse nephronectin,A_23_P253896,NM_198278,1.38,102
MGC27165,hypothetical protein MGC27165,A_24_P590547,b,0.67,103
THC2453346,,A_32_P226801,hc,NA,104
DKFZp434E2321,hypothetical protein DKFZp434E2321,A_23_P381102,NM_207310,1.36,105
ENST00000359714,,A_24_P33341,ns,0.66,106
ACTN1,"actinin, alpha 1",A_23_P105957,NM_001102,0.71,107
IGLV2-14,immunoglobulin lambda variable 2-14,A_24_P510357,b,0.73,108
BCNP1,B-cell novel protein 1,A_24_P940348,NM_173544,1.37,109
NRG2,neuregulin 2,A_23_P213699,NM_013982,1.36,110
P4HA2,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II",A_23_P30363,NM_004199,1.38,111
BX115350,,A_32_P228886,b,NA,112
A_24_P204574,,A_24_P204574,0,0.71,113
A_23_P360114,,A_23_P360114,0,0.71,114
X72459,,A_24_P494425,b,0.73,115
MLC1,megalencephalic leukoencephalopathy with subcortical cysts 1,A_23_P211680,NM_015166,0.71,116
CA2,carbonic anhydrase II,A_23_P8913,NM_000067,0.72,117
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,A_24_P234214,NM_138394,1.35,118
AF063695,,A_24_P465799,b,0.72,119
DNAPTP6,DNA polymerase-transactivated protein 6,A_23_P131255,NM_015535,0.69,120
CNKSR3,CNKSR family member 3,A_23_P134085,NM_173515,0.69,121
JAM2,junctional adhesion molecule 2,A_23_P120667,NM_021219,1.34,122
ACPP,"acid phosphatase, prostate",A_24_P46130,NM_001099,NA,123
D83692,,A_24_P315941,b,NA,124
LOC390712,similar to immunoglobulin M chain,A_24_P101642,XM_372630,0.68,125
PLEKHA1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",A_24_P269814,NM_001001974,1.34,126
MCTP1,multiple C2-domains with two transmembrane regions 1,A_23_P133293,b,0.73,127
A_23_P207049,,A_23_P207049,0,1.33,128
PTPLA,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a",A_23_P161352,NM_014241,0.72,129
ASB2,ankyrin repeat and SOCS box-containing 2,A_23_P205370,NM_016150,1.33,130
MT1E,metallothionein 1E (functional),A_23_P206724,NM_175617,0.70,131
BLR1,"Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)",A_24_P252945,NM_032966,1.33,132
A_24_P144314,,A_24_P144314,0,0.73,133
