PROBE_ID,ENTREZ_GENE_ID,SYMBOL,Raw_pvalue,adjpval,FC>1.2,FC<1.2,Average FC
ILMN_1792473,199,AIF1,9.79E-08,4.71E-04,13,2,1.25
ILMN_2128967,64776,C11orf1,6.47E-06,6.23E-03,1,12,-1.16
ILMN_2331544,4155,MBP,9.18E-06,7.37E-03,12,2,1.18
ILMN_2296422,10592,SMC2,1.02E-05,7.57E-03,1,12,-1.29
ILMN_1659688,3959,LGALS3BP,2.23E-05,1.07E-02,17,5,1.43
ILMN_1804735,875,CBS,2.34E-05,1.07E-02,2,13,-1.38
ILMN_1801833,83478,ARHGAP24,2.60E-05,1.09E-02,14,6,1.47
ILMN_1742824,221178,SPATA13,3.34E-05,1.23E-02,12,2,1.17
ILMN_1805750,10410,IFITM3,6.48E-05,1.50E-02,17,4,1.60
ILMN_1806754,2731,GLDC,6.70E-05,1.50E-02,5,15,-1.42
ILMN_1714418,359845,FAM101B,7.52E-05,1.57E-02,13,2,1.22
ILMN_1814247,10732,TCFL5,7.90E-05,1.58E-02,12,4,1.35
ILMN_1788203,23462,HEY1,8.55E-05,1.65E-02,15,2,1.80
ILMN_1805449,55080,TAPBPL,8.59E-05,1.65E-02,12,1,1.17
ILMN_1795715,1806,DPYD,1.05E-04,1.82E-02,16,3,1.32
ILMN_2184966,22882,ZHX2,1.27E-04,2.10E-02,12,0,1.26
ILMN_1808391,1846,DUSP4,1.74E-04,2.19E-02,3,12,-1.18
ILMN_2214144,57045,TWSG1,1.78E-04,2.20E-02,2,13,-1.23
ILMN_1783798,2622,GAS8,2.27E-04,2.45E-02,14,1,1.27
ILMN_1669833,10603,APS,2.58E-04,2.52E-02,2,14,-1.35
ILMN_1717163,2162,F13A1,2.85E-04,2.60E-02,14,5,1.94
ILMN_1736828,9486,CHST10,3.04E-04,2.66E-02,1,12,-1.20
ILMN_1661646,55024,BANK1,3.22E-04,2.72E-02,14,4,1.27
ILMN_1672596,9564,BCAR1,4.79E-04,3.27E-02,12,4,1.22
ILMN_1805466,6662,SOX9,5.48E-04,3.47E-02,15,6,1.61
ILMN_1771385,115361,GBP4,5.54E-04,3.49E-02,18,3,1.97
ILMN_2384561,9414,TJP2,6.71E-04,3.82E-02,12,2,1.17
ILMN_1815086,4814,NINJ1,6.97E-04,3.89E-02,3,14,-1.23
ILMN_2414027,51192,CKLF,8.33E-04,4.00E-02,5,14,-1.36
ILMN_1676575,10320,ZNFN1A1,8.12E-04,4.00E-02,4,14,-1.28
ILMN_1780799,5168,ENPP2,9.34E-04,4.11E-02,12,5,1.21
ILMN_1757631,79007,MGC3101,1.02E-03,4.31E-02,13,4,1.48
ILMN_1654639,55008,HERC6,1.11E-03,4.42E-02,13,4,1.24
ILMN_2374352,79007,DBNDD1,1.19E-03,4.55E-02,13,4,1.48
ILMN_1775537,140691,RNF36,1.23E-03,4.59E-02,2,12,-1.15
ILMN_1798360,57007,CMKOR1,1.30E-03,4.71E-02,14,5,1.47
ILMN_1726222,2319,FLOT2,1.32E-03,4.74E-02,5,13,-1.25
ILMN_1712389,51192,CKLF,1.35E-03,4.81E-02,5,14,-1.34
ILMN_2197365,5997,RGS2,1.46E-03,5.02E-02,5,13,-1.28
ILMN_1660806,1466,CSRP2,1.51E-03,5.12E-02,14,4,1.40
ILMN_1789196,7169,TPM2,1.55E-03,5.17E-02,16,6,1.36
ILMN_1800078,4005,LMO2,1.58E-03,5.19E-02,4,12,-1.38
ILMN_2157709,280655,C14orf19,1.59E-03,5.20E-02,2,13,-1.16
ILMN_1740170,400916,C22orf16,1.68E-03,5.34E-02,2,13,-1.22
ILMN_2111932,347735,SERINC2,1.72E-03,5.38E-02,14,3,1.65
ILMN_1705686,4900,NRGN,1.85E-03,5.54E-02,15,2,1.25
ILMN_1742382,9783,RIMS3,1.91E-03,5.59E-02,16,3,1.42
ILMN_2371458,57007,CXCR7,2.00E-03,5.68E-02,14,5,1.52
ILMN_1670193,91703,ACY3,2.07E-03,5.80E-02,3,16,-1.56
ILMN_1692938,29968,PSAT1,2.08E-03,5.82E-02,4,12,-1.19
ILMN_2148785,2633,GBP1,2.12E-03,5.84E-02,12,1,1.26
ILMN_1784661,23670,TMEM2,2.21E-03,5.96E-02,16,3,1.31
ILMN_1757604,7169,TPM2,2.23E-03,5.98E-02,15,4,1.36
ILMN_1790533,9749,PHACTR2,2.40E-03,6.09E-02,12,4,1.22
ILMN_1726913,3516,RBPSUH,2.43E-03,6.10E-02,2,12,-1.17
ILMN_1703593,55971,BAIAP2L1,2.54E-03,6.18E-02,5,15,-1.51
ILMN_1715169,3123,HLA-DRB1,2.54E-03,6.18E-02,4,15,-1.32
ILMN_2196588,497661,LOC497661,2.76E-03,6.41E-02,3,12,-1.16
ILMN_1733690,9465,AKAP7,2.83E-03,6.47E-02,17,5,1.96
ILMN_1804929,5021,OXTR,2.91E-03,6.52E-02,15,5,1.36
ILMN_2279844,3932,LCK,2.97E-03,6.57E-02,3,12,-1.18
ILMN_1678841,10537,UBD,3.30E-03,6.96E-02,12,8,1.92
ILMN_2060413,934,CD24,3.57E-03,7.20E-02,12,5,1.31
ILMN_1802205,388,RHOB,3.61E-03,7.21E-02,12,4,1.52
ILMN_2398572,486,FXYD2,3.64E-03,7.22E-02,15,2,1.39
ILMN_1794190,9236,CCPG1,3.66E-03,7.23E-02,2,12,-1.15
ILMN_2405324,163702,IL28RA,3.92E-03,7.62E-02,4,14,-1.18
ILMN_1711988,56660,KCNK12,4.27E-03,8.06E-02,6,14,-1.36
ILMN_1682761,388325,UNQ5783,4.33E-03,8.14E-02,3,15,-1.39
ILMN_1777397,4487,MSX1,4.67E-03,8.44E-02,13,4,1.62
ILMN_1672503,1808,DPYSL2,4.66E-03,8.44E-02,4,12,-1.16
ILMN_2358540,5937,RBMS1,5.00E-03,8.55E-02,17,6,1.24
ILMN_1749327,5603,MAPK13,4.83E-03,8.55E-02,6,13,-1.39
ILMN_2123743,2207,FCER1G,5.31E-03,8.70E-02,12,3,1.62
ILMN_1745242,5359,PLSCR1,5.47E-03,8.78E-02,12,3,1.18
ILMN_1738517,83417,FCRL4,5.73E-03,9.00E-02,14,7,1.30
ILMN_1782050,1052,CEBPD,5.71E-03,9.00E-02,12,7,1.19
ILMN_2202637,1407,CRY1,5.74E-03,9.00E-02,12,3,1.25
ILMN_2381834,140691,TRIM69,5.84E-03,9.06E-02,3,12,-1.17
ILMN_1743373,28514,DLL1,5.93E-03,9.11E-02,12,7,1.19
ILMN_1691156,4489,MT1A,6.05E-03,9.22E-02,14,5,1.30
ILMN_1719696,5337,PLD1,6.12E-03,9.22E-02,14,5,1.50
ILMN_1798256,7378,UPP1,6.12E-03,9.22E-02,14,5,1.26
ILMN_1686664,4502,MT2A,6.37E-03,9.36E-02,13,4,1.32
ILMN_2096719,2869,GRK5,6.43E-03,9.41E-02,13,4,1.19
ILMN_2136089,644314,MTE,6.50E-03,9.43E-02,14,6,1.28
ILMN_1701613,5920,RARRES3,6.49E-03,9.43E-02,12,6,1.21
ILMN_2073289,9788,MTSS1,6.60E-03,9.47E-02,7,14,-1.22
ILMN_1679133,1992,SERPINB1,6.84E-03,9.58E-02,14,7,1.13
ILMN_2415786,10225,CD96,7.35E-03,9.91E-02,13,4,1.30
ILMN_1783621,129607,LOC129607,7.65E-03,1.00E-01,12,4,1.22
ILMN_1802192,387695,C10orf99,7.65E-03,1.00E-01,9,12,-1.18
ILMN_1784608,9976,CLEC2B,8.08E-03,1.02E-01,13,5,1.20
ILMN_2347798,2537,IFI6,8.11E-03,1.02E-01,13,4,1.19
ILMN_2368530,9235,IL32,8.03E-03,1.02E-01,6,15,-1.46
ILMN_1666902,221188,GPR114,8.15E-03,1.02E-01,5,12,-1.28
ILMN_1685045,1117,CHI3L2,8.19E-03,1.02E-01,7,14,-1.35
ILMN_1802780,283316,M160,8.27E-03,1.03E-01,14,4,2.32
ILMN_1687442,23043,TNIK,8.55E-03,1.04E-01,5,12,-1.17
ILMN_1667711,11145,HRASLS3,8.64E-03,1.05E-01,12,5,1.19
ILMN_1663793,116449,MIST,8.66E-03,1.05E-01,14,5,1.37
ILMN_1733998,10170,DHRS9,8.82E-03,1.06E-01,5,16,-1.55
ILMN_2360415,5621,PRNP,9.39E-03,1.09E-01,4,12,-1.13
ILMN_1679797,104,ADARB1,9.92E-03,1.12E-01,4,15,-1.39
ILMN_1778337,6928,TCF2,1.03E-02,1.13E-01,12,4,1.19
ILMN_2233366,50807,DDEF1,1.03E-02,1.13E-01,3,12,-1.22
ILMN_2098013,1071,CETP,1.07E-02,1.14E-01,12,6,1.29
ILMN_1770505,638,BIK,1.11E-02,1.15E-01,7,12,-1.31
ILMN_2114568,115362,GBP5,1.16E-02,1.17E-01,13,4,1.44
ILMN_1731107,80212,FLJ22471,1.16E-02,1.17E-01,12,2,1.17
ILMN_1792072,2526,FUT4,1.19E-02,1.19E-01,13,5,1.25
ILMN_1757845,56907,SPIRE1,1.19E-02,1.19E-01,4,12,-1.23
ILMN_2370091,27018,NGFRAP1,1.23E-02,1.20E-01,6,16,-1.41
ILMN_1781045,486,FXYD2,1.24E-02,1.20E-01,12,6,1.28
ILMN_1675640,4938,OAS1,1.26E-02,1.22E-01,12,4,1.14
ILMN_1791759,3627,CXCL10,1.33E-02,1.25E-01,12,7,1.83
ILMN_1795181,55601,FLJ20035,1.37E-02,1.27E-01,14,6,1.18
ILMN_1661197,23529,CLCF1,1.37E-02,1.27E-01,12,3,1.13
ILMN_1804339,57172,CAMK1G,1.39E-02,1.27E-01,7,15,-1.38
ILMN_1652065,3779,KCNMB1,1.40E-02,1.27E-01,12,11,2.08
ILMN_1656415,1031,CDKN2C,1.42E-02,1.28E-01,12,4,1.19
ILMN_2046611,55283,MCOLN3,1.45E-02,1.28E-01,12,2,1.18
ILMN_1716733,9172,MYOM2,1.50E-02,1.29E-01,12,5,1.18
ILMN_1662038,9215,LARGE,1.51E-02,1.29E-01,7,13,-1.35
ILMN_2239754,3437,IFIT3,1.52E-02,1.29E-01,14,6,1.21
ILMN_1707088,79961,DENND2D,1.61E-02,1.31E-01,13,6,1.14
ILMN_1666444,648293,LOC648293,1.66E-02,1.34E-01,16,6,1.22
ILMN_1653466,57801,HES4,1.67E-02,1.34E-01,13,5,1.19
ILMN_1808238,348093,RBPMS2,1.68E-02,1.34E-01,14,4,1.35
ILMN_2134974,23682,RAB38,1.70E-02,1.35E-01,12,6,1.23
ILMN_1673548,29094,HSPC159,1.73E-02,1.37E-01,2,12,-1.20
ILMN_2404065,351,APP,1.75E-02,1.37E-01,12,5,1.17
ILMN_1699071,56911,C21orf7,1.77E-02,1.37E-01,4,12,-1.22
ILMN_1703279,55086,FLJ10178,1.83E-02,1.39E-01,5,12,-1.29
ILMN_1709747,9941,ENDOGL1,1.86E-02,1.40E-01,13,5,1.21
ILMN_1789338,10174,SORBS3,1.86E-02,1.40E-01,12,6,1.22
ILMN_1768110,51776,ZAK,1.89E-02,1.41E-01,12,3,1.15
ILMN_1815527,3045,HBD,1.90E-02,1.41E-01,13,5,1.41
ILMN_2181892,84707,BEX2,1.93E-02,1.42E-01,4,12,-1.35
ILMN_1772131,7850,IL1R2,2.01E-02,1.44E-01,13,4,1.22
ILMN_1657871,91543,RSAD2,2.03E-02,1.45E-01,13,6,1.26
ILMN_2287157,667,DST,2.07E-02,1.46E-01,5,12,-1.12
ILMN_1778010,9235,IL32,2.12E-02,1.48E-01,5,14,-1.38
ILMN_1738558,8601,RGS20,2.12E-02,1.48E-01,6,12,-1.72
ILMN_1730291,481,ATP1B1,2.19E-02,1.51E-01,12,3,1.23
ILMN_2374865,467,ATF3,2.23E-02,1.52E-01,4,13,-1.15
ILMN_2370208,123920,CMTM3,2.28E-02,1.54E-01,6,12,-1.23
ILMN_1774077,2634,GBP2,2.40E-02,1.58E-01,12,4,1.23
ILMN_1658494,28984,RGC32,2.40E-02,1.58E-01,5,12,-1.13
