ProbeID,Gene.Symbol,Cortex_AutismvsControls_FC,Cortex_AutismvsControls_qvalue,Temporal_AutismvsControls_FC,Temporal_AutismvsControls_qvalue,Frontal_AutismvsControls_FC,Frontal_AutismvsControls_qvalue,Controls_TemporalvsFrontal_FC,Controls_TemporalvsFrontal_qvalue,Autism_TemporalvsFrontal_FC,Autism_TemporalvsFrontal_qvalue
ILMN_1651496,HIST1H2BD,1.427546661,0,1.584193623,0,1.311748964,10.0808616,0.843790908,0,0.978526995,87.71360358
ILMN_1651498,GADD45G,1.59911241,0,1.624366595,4.665331396,1.578882772,5.2493094,1.036588943,60.08046511,1.010754259,83.71437422
ILMN_1651745,TMEM25,0.735822073,0.527719854,0.715682348,23.61611185,0.752602182,12.25380584,1.07619923,39.93271816,1.001020548,84.99838073
ILMN_1651964,ABCC5,0.974895704,59.05802175,0.900339401,50.5423564,1.039995778,60.58268913,1.159315491,4.262975054,1.010112413,83.71437422
ILMN_1652017,PPEF1,0.813898832,4.169819759,0.812379762,25.3412319,0.815135168,23.43184088,0.696179611,0,0.650404442,0
ILMN_1652244,POPDC3,0.747964426,0,0.736849791,8.192938106,0.757118398,1.885200899,0.994156905,82.37279342,0.915839066,66.77548413
ILMN_1652540,C5orf16,0.664060869,0,0.606377154,0,0.714946016,1.108677672,1.185446606,6.645480601,0.96397951,87.71360358
ILMN_1652549,DTNA,1.542206535,0,1.508977051,9.898854899,1.569743564,14.02653071,0.943392498,52.48750418,0.996553691,87.71360358
ILMN_1653028,COL4A1,1.404711523,0.709608591,1.350185961,36.73647133,1.450630854,15.21977382,1.043710513,60.08046511,1.034351092,80.11496587
ILMN_1653133,SH3D19,0.924630292,17.50146859,0.995300798,82.19370975,0.87092208,16.42716775,0.840036666,3.453148463,1.022598513,81.78631868
ILMN_1653319,MC1R,1.115403773,15.83282288,1.028363439,83.24252425,1.191520621,19.0534016,1.228676451,0,1.056281035,70.8066929
ILMN_1653856,STS-1,0.679758078,0,0.639325167,9.898854899,0.714485379,5.931490226,1.116294396,31.73717516,1.007800167,83.71437422
ILMN_1654289,ELK1,1.334923332,0.349477547,1.316691644,19.32169054,1.349922302,16.42716775,1.227596306,0,1.104616544,63.55849863
ILMN_1654385,ASB13,0.765798174,0,0.740699338,4.665331396,0.7868159,0,1.196517862,1.007015723,1.071500301,70.8066929
ILMN_1654545,CPSF1,0.997425014,68.885396,0.952513456,74.86888414,1.035470376,61.76881861,1.172492944,3.453148463,1.056479468,70.8066929
ILMN_1654639,HERC6,0.72054581,0.183255197,0.737836018,22.1882172,0.706796296,5.2493094,1.116198883,20.82742426,1.046176251,74.50960982
ILMN_1654966,SCARA3,1.317149318,2.19156825,1.423638292,26.65776416,1.236520253,32.67270256,1.031839654,67.25826127,1.157046614,63.55849863
ILMN_1655117,WDR19,0.936971976,34.58998179,0.897843462,52.48654607,0.970016134,71.02000616,1.154809944,0.534492961,0.99732507,87.71360358
ILMN_1655563,KIAA0427,0.893781848,11.68008294,0.8562517,36.73647133,0.925483058,51.4451061,1.203865692,0,1.058654473,66.77548413
ILMN_1655577,TIAM1,1.101412134,20.8010786,1.133932061,38.2627673,1.07567766,54.63706501,1.156653432,1.212813119,1.148564438,48.28587764
ILMN_1655611,ZNF218,0.939442275,42.87033342,0.899183378,59.46271462,0.973476195,73.40526225,1.226030717,0.911266687,1.091438727,74.50960982
ILMN_1656111,MYLIP,1.0468518,44.51568498,1.050132542,72.80522074,1.044193745,61.76881861,0.845430888,1.212813119,0.935454017,62.15390356
ILMN_1656129,SLC39A10,0.736522521,0.183255197,0.751554279,31.75119287,0.724530872,1.521714451,0.826223109,12.47940328,0.795381154,29.81596341
ILMN_1656300,GFRA2,0.73647511,0,0.688179538,3.068190918,0.778200191,1.511833188,1.122500962,5.235545003,0.939477394,87.08940036
ILMN_1656368,ALDH4A1,1.300608591,1.945343008,1.343539186,33.5751134,1.266739596,23.43184088,1.019298669,77.05976736,1.070489321,76.65604666
ILMN_1656501,DUSP5,1.213386797,11.68008294,1.121425383,70.03820234,1.293630458,31.26180745,1.150134378,1.007015723,1.001238005,84.99838073
ILMN_1656560,DKFZP564O0823,0.72619823,0.454369608,0.69908388,31.75119287,0.749001138,3.242086141,0.996847013,82.43665296,0.877105477,83.71437422
