Probe ID,Gene Symbol,FC_AllAutismCasesvsControls,pvalue_AllAutismCasesvsControls,FC_IndependentAutismCasesvsControls,pvalue_IndependentAutismCasesvsControls
ILMN_1801302,SCN1B,0.410856794,0.011763693,0.304359535,0.006465757
ILMN_1785202,STAT4,0.454518176,0.013125292,0.49461183,0.027007093
ILMN_1779343,SNCB,0.673861949,0.026121314,0.527382001,0.000713185
ILMN_1656560,DKFZP564O0823,0.705264329,0.035362896,0.578461394,0.014009615
ILMN_1682799,STAMBPL1,0.660885706,0.010711911,0.586769874,0.013940786
ILMN_2381938,ATP2B2,0.724714377,0.045554202,0.593405635,0.027578653
ILMN_1803036,TARBP1,0.634811733,0.003693312,0.598472683,0.008683996
ILMN_1695947,SCN4B,0.617961073,0.020207813,0.598765385,0.047004565
ILMN_1808765,ZNF25,0.690720236,0.002110046,0.616745086,0.001024218
ILMN_1731507,A2BP1,0.694897464,0.033364715,0.635449397,0.028654509
ILMN_1803045,TUBGCP5,0.725175067,0.009776117,0.645806429,0.007892007
ILMN_1731783,ATP1A1,0.741190541,0.018118156,0.650146369,0.005944973
ILMN_1767365,PAK1,0.75846827,0.036120446,0.655604943,0.001989997
ILMN_1723837,SLC6A17,0.721567216,0.012135006,0.668275976,0.022595656
ILMN_1772627,D4S234E,0.74669848,0.031924667,0.673083153,0.013946444
ILMN_1814316,A2BP1,0.695144853,0.015840163,0.694362005,0.031371894
ILMN_1658094,ZNF365,0.662120421,0.008922134,0.70137795,0.027635592
ILMN_2359168,A2BP1,0.714607454,0.038668654,0.720764334,0.036537236
ILMN_1736015,PHF17,0.707683739,0.007538416,0.732938592,0.049284537
ILMN_2345319,PREPL,0.764974522,0.016567292,0.73496924,0.012932894
ILMN_2120210,DSCR1L1,0.705526054,0.009062658,0.737933032,0.031469636
ILMN_1673704,INA,0.733266337,0.006275962,0.742212773,0.011341223
ILMN_2376625,VHL,1.335000678,0.010098544,1.406951029,0.009382857
ILMN_2255310,RPS15A,1.602564131,0.001043596,1.455028872,0.030646947
ILMN_1673769,KCNG1,1.725509615,0.007433251,1.54776936,0.041702516
ILMN_1682034,HEY2,1.438319718,0.033797153,1.571052065,0.026908439
ILMN_2124769,YBX1,1.497805513,0.00893084,1.590020876,0.013499364
ILMN_2085862,SLC15A3,1.726750367,0.009673761,1.593271157,0.028292064
ILMN_2302118,CCDC50,1.658284431,0.00566535,1.642864094,0.014954032
ILMN_1668374,ITGB5,1.571422458,0.010666746,1.673973932,0.025334709
ILMN_2200659,SNHG5,1.700974686,0.005168648,1.789879707,0.011702948
ILMN_2364022,SLC16A3,2.007822175,0.018309776,1.833608727,0.045327493
ILMN_2046730,S100A10,1.682244601,0.032792441,1.837559967,0.017178981
ILMN_1765446,EMP3,1.528627121,0.022745011,1.856241726,0.004627871
ILMN_1723480,BST2,1.963004311,0.018071586,1.921590941,0.020405559
ILMN_1801246,IFITM1,1.907295675,0.030683817,2.003885564,0.018914804
ILMN_1682717,IER3,1.838606476,0.00651195,2.00512889,0.000525012
ILMN_1651496,HIST1H2BD,1.894207253,0.0000787,2.02685796,0.000926911
ILMN_1732296,ID3,1.831761806,0.01447819,2.14973211,0.02824145
ILMN_2190084,VAMP8,1.927691928,0.017762364,2.218491313,0.016964298
ILMN_1736178,AEBP1,1.818697169,0.008586591,2.222746571,0.009467445
ILMN_1724533,LY96,2.099292057,0.026283383,2.239950609,0.00215253
ILMN_1756982,CLIC1,1.966875303,0.019916391,2.296411437,0.009136073
ILMN_2169152,SRGN,2.197179202,0.028061881,2.400620118,0.025371373
ILMN_1789007,APOC1,3.032778552,0.016589097,2.521937622,0.023309482
ILMN_1789074,HSPA1A,2.194320764,0.037517863,2.55666306,0.040861921
ILMN_1708934,ADM,2.217962718,0.037762736,2.901801904,0.010907755
ILMN_1654385,ASB13,0.705885534,0.018605271,0.643212007,0.040499008
ILMN_1771622,DRD1IP,0.762682187,0.046528713,0.727409815,0.03924914
ILMN_1789266,CCDC25,0.739115136,0.002012248,0.742504055,0.013126504
ILMN_1695821,ACTR1B,0.760011252,0.021180881,0.76374079,0.046959447
ILMN_2165463,HAPLN4,0.368665117,0.027073034,0.569728774,0.164624703
ILMN_2405756,VAMP1,0.552982295,0.028778746,0.570915803,0.05505904
ILMN_1652540,C5orf16,0.620258472,0.043230658,0.609376853,0.070831496
ILMN_1737611,VAMP1,0.527103064,0.023109369,0.620844249,0.091192863
ILMN_2365569,ICA1,0.729707101,0.03102905,0.68391404,0.059821064
ILMN_2081813,PCSK1,0.519214317,0.017990788,0.69974836,0.193236941
ILMN_1788053,SLC25A12,0.660269761,0.013674087,0.709715994,0.110907277
ILMN_1814787,ICA1,0.719476206,0.029251977,0.72074801,0.104416363
ILMN_1684461,CADPS2,0.63868025,0.027110708,0.726817303,0.079782107
ILMN_1707137,LOC400566,0.770502653,0.037173647,0.726883763,0.080354031
ILMN_1804339,CAMK1G,0.693085093,0.024137605,0.727995057,0.06559167
ILMN_2065254,ELAVL4,0.720170706,0.038793858,0.728900045,0.055362375
ILMN_1800270,GABRG2,0.699533163,0.028878949,0.732521117,0.102965189
ILMN_1797950,EXTL2,0.71385472,0.024916709,0.737730735,0.125929772
ILMN_1719998,C9orf45,0.664938691,0.025817131,0.740566201,0.189206293
