Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
CHD8,-0.481604931,8.15754235,1090.355715,4.12E-239,0.002064151,0.001761466,8855,7793,6522,6631,5996,5855,4615
KIF5B,-0.185946888,9.640564377,465.1228035,3.69E-103,0.000888849,0.000944596,25094,19234,18159,15864,21958,16321,13853
PTP4A1,-0.231148623,8.9854525,457.313809,1.85E-101,0.001361845,0.002243123,15889,12887,11217,10125,13815,9738,9105
TMX3,-0.387131517,7.50554768,457.207692,1.95E-101,0.00259597,0.002390923,6095,4967,4128,3574,4701,3621,2707
MDC1,0.252544242,8.240267047,322.6084234,3.92E-72,0.001992479,0.001650174,7329,6179,6513,5905,8227,7500,7110
ZYX,0.168222259,9.192340347,280.70648,5.27E-63,0.001201705,0.002292017,17077,11244,12678,10917,16679,14818,11960
KDM5B,-0.207476621,8.545031153,273.3157891,2.15E-61,0.001728417,0.00165574,11864,9802,8083,6945,9844,8247,6342
DYNC1LI2,-0.212269207,8.428468894,265.0714771,1.35E-59,0.001829058,0.001530934,10580,8946,7036,7019,8854,7778,5975
MYBL2,0.232267849,8.19243219,262.8406649,4.12E-59,0.002033959,0.001871912,7133,5733,6480,5966,7906,7228,6707
SRSF6,-0.160954752,9.078790652,235.4737631,3.82E-53,0.001288425,0.001304624,15808,12764,11819,11723,13813,10949,10788
CCSER2,-0.285925562,7.347671218,228.5809177,1.22E-51,0.002707634,0.002410833,5213,4519,3214,3212,4195,3549,2729
PKD1,0.162696195,8.810261333,202.4247247,6.18E-46,0.001504209,0.003334063,12400,9115,9350,8779,12712,12230,8513
CCNG2,-0.316210946,6.88336178,201.6833872,8.96E-46,0.002969325,0.004056679,3726,3369,2357,2342,3064,2332,2080
GDAP1,-0.477337422,5.747764797,200.3361233,1.76E-45,0.003221694,0.002837031,1724,1455,1292,1169,1142,1109,832
FAM210B,-0.232796231,7.644832181,183.2110805,9.65E-42,0.002490325,0.004152332,5919,5516,4283,3927,5120,3992,3788
PTRF,0.278887658,7.099889574,182.7208413,1.23E-41,0.002861344,0.006205628,4076,2497,2782,2368,3949,3954,2791
SLC38A1,0.177279905,8.379529319,180.7303048,3.36E-41,0.001871509,0.001567377,9403,7323,6503,5949,10317,8350,6606
NREP,-0.136447451,9.169557427,180.3041865,4.16E-41,0.001218865,0.001509245,17117,13855,13000,11610,15650,11726,10813
EAF1,-0.347132825,6.482307444,177.4428885,1.75E-40,0.003094019,0.002720657,2756,2228,2156,1979,2116,1829,1455
CDC25B,0.293362132,6.935858925,175.7702868,4.06E-40,0.002945669,0.004901175,3313,1991,2801,2432,3657,3061,2623
MTRNR2L8,-0.318757449,6.66875625,169.4374678,9.82E-39,0.003047631,0.00256434,3447,2094,2585,2279,2662,1614,1891
DAZAP1,0.205294623,7.892833489,166.7311439,3.83E-38,0.002289646,0.002671598,6104,4506,5427,4830,6547,5889,5128
FAM195B,0.225597579,7.626625354,166.2058132,4.99E-38,0.002504467,0.004149137,4827,3873,4595,3946,4925,5514,4174
RPS27L,-0.190465621,8.079528599,165.8280004,6.03E-38,0.002131374,0.003691805,8530,6608,5913,5347,7248,5015,5424
DAZAP2,-0.265095765,7.139486535,160.4697352,8.93E-37,0.00283878,0.0024351,4104,3093,3624,3296,3148,2775,2693
CHAMP1,-0.204384074,7.836797545,156.863573,5.48E-36,0.002336132,0.002147222,6468,5032,5437,5398,5394,4172,4903
SLC29A1,0.302217749,6.706222098,156.1256446,7.95E-36,0.003036102,0.005681471,2603,1610,2534,2239,2934,2552,2359
MLL5,-0.204143555,7.780590835,155.7049788,9.82E-36,0.002382153,0.002475623,6308,6139,4526,4355,5473,4948,3984
MVD,0.205566688,7.782942071,154.2073223,2.09E-35,0.002380241,0.004532619,5629,4124,5157,4484,5804,5900,4504
ZNF24,-0.166645534,8.355846838,153.2767761,3.33E-35,0.001892075,0.002519483,9261,8400,7092,6850,8546,6719,6284
PTPRF,0.163080144,8.375739333,151.1868241,9.54E-35,0.0018748,0.002902891,9976,6529,6970,6026,9849,8630,6377
PON2,-0.161160257,8.414035689,150.5998207,1.28E-34,0.001841569,0.002067809,10539,8732,7356,6443,9286,7256,6129
CIRBP,-0.144580152,8.707172539,147.7174112,5.47E-34,0.001590325,0.001824575,12584,9783,9028,8778,10456,9791,7553
SUMF1,-0.680998395,4.216300929,143.2968902,5.06E-33,0.005017878,0.004712604,711,592,404,337,391,418,200
ACACA,0.137886207,8.77310848,141.2513195,1.42E-32,0.001535068,0.001324686,11685,9612,9165,8388,12507,10673,9044
PIM1,0.304548204,6.486581985,139.3567666,3.68E-32,0.003093129,0.00280247,1953,1737,1729,1968,2172,2313,2427
SHROOM3,0.120230461,9.113155554,136.9993362,1.21E-31,0.001261867,0.00191675,16742,10768,11610,10625,16656,13362,10803
NCOR1,-0.126509367,8.926490681,132.1732487,1.37E-30,0.001409135,0.001222239,14698,11934,10503,9543,12789,11293,8606
RAB1B,0.161293779,8.204492675,128.3417016,9.45E-30,0.002023509,0.001862,7896,5864,6732,5796,8372,7018,6176
TUG1,-0.11133657,9.249938164,128.1127536,1.06E-29,0.001158866,0.001201483,18104,14715,13000,12223,16472,13047,11597
MFSD10,0.264664205,6.784302747,127.8644015,1.20E-29,0.003009217,0.006223912,2734,2133,2563,2106,2790,3312,2177
NGFRAP1,-0.163046797,8.177154665,127.7303839,1.29E-29,0.002047187,0.001797167,8464,6581,6792,6267,7017,6240,5524
DDHD2,-0.241799135,7.035685363,127.6236025,1.36E-29,0.002896156,0.002520752,3792,3217,2987,2941,3235,2622,2446
SLC2A4RG,0.189796842,7.716331386,127.3802871,1.53E-29,0.002433922,0.003993727,5424,4230,4549,4215,5546,5827,4250
C14orf132,-0.168298814,8.030724388,126.6661618,2.20E-29,0.00217316,0.001765894,8023,6850,5407,5000,6869,6127,4452
STK24,-0.167516112,8.075549386,124.0607952,8.17E-29,0.002134789,0.001813971,7585,5980,6676,6078,6665,5250,5337
