Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,G0,G1,G2,G3
CHD8,-0.569272912,8.077794071,1821.677495,0,0.001391795,0.001822795,8855,7793,6522,6631,4783,5418,3744,4737
MDC1,0.300092554,8.294830332,595.1902795,1.86E-131,0.001280301,0.001032003,7329,6179,6513,5905,7617,8011,6225,7638
CIRBP,-0.240883079,8.640772909,493.0341081,3.12E-109,0.00109973,0.001084597,12584,9783,9028,8778,8628,9045,5532,8378
BAX,-0.258567314,7.939549114,346.4518473,2.51E-77,0.001460582,0.001896685,7375,5757,6087,5480,4853,4983,3716,5568
SUMO3,-0.319311296,7.292999526,338.0422014,1.70E-75,0.001734556,0.003068356,4716,3648,4051,3713,3166,3635,2091,3097
USP11,-0.227331754,8.265214571,336.6772368,3.38E-75,0.001295685,0.000994486,9020,7724,7330,6625,6387,7014,4739,6163
GDAP1,-0.5251402,5.690984981,297.5301,1.14E-66,0.001929161,0.002136472,1724,1455,1292,1169,938,1032,708,957
TGOLN2,0.156531266,8.955372441,260.3347575,1.45E-58,0.000939546,0.000791564,13766,11493,9625,8865,12944,13627,8273,10352
SLC38A1,0.184108767,8.382390566,242.0360525,1.42E-54,0.001234641,0.001332647,9403,7323,6503,5949,9255,8952,5746,6647
NGFRAP1,-0.181494153,8.154578235,199.9480711,2.14E-45,0.001352733,0.00244761,8464,6581,6792,6267,6032,6960,3907,6132
H1F0,-0.165582528,8.40719351,198.4126204,4.64E-45,0.001221676,0.002218411,10810,6847,8460,7378,8221,7298,4916,7043
RPL27A,-0.107141507,9.568894988,185.9989251,2.38E-42,0.000658566,0.001327584,22371,16888,17584,16319,17473,17488,10791,17254
SLC25A6,-0.149952704,8.572752068,181.6738302,2.09E-41,0.00113513,0.001572848,11456,7902,9316,8441,8348,7892,5771,8894
PLXND1,-0.117907363,9.245460141,179.7031206,5.63E-41,0.000800577,0.001056918,17970,15694,13394,11607,13743,14377,9937,11963
RPS27L,-0.175801394,8.057091294,176.388991,2.98E-40,0.001402233,0.002234246,8530,6608,5913,5347,6536,5846,3504,5784
FAT4,0.163695434,8.159607542,164.3307647,1.28E-37,0.001350157,0.002704885,8824,6354,4969,5101,8243,7061,5032,5747
ATP5A1,-0.111669801,9.236611893,159.4644628,1.48E-36,0.000804657,0.00072547,17190,13003,14368,13371,13377,13132,9579,13495
ZNF512B,-0.23422324,7.067949271,155.8596161,9.09E-36,0.00180145,0.00169369,4269,3002,3220,2964,2872,2904,2132,2640
WDR6,-0.145698895,8.438029273,155.7104741,9.79E-36,0.001205547,0.001322909,9613,8675,7938,7352,7190,7790,5757,7413
NCS1,-0.192945673,7.566352663,151.1043035,9.94E-35,0.001630941,0.001302679,5750,5426,3943,3698,4074,5154,2601,3542
KDM5B,-0.135773324,8.550455738,148.0315763,4.67E-34,0.001146764,0.001146269,11864,9802,8083,6945,9352,8808,5696,7004
ZBTB40,0.2121095,7.276434771,147.4061911,6.40E-34,0.001740097,0.001466422,3737,3424,3208,2876,3677,4107,2984,3427
FAM210B,-0.185152588,7.637080484,145.3318499,1.82E-33,0.001600842,0.002081004,5919,5516,4283,3927,4386,4605,2976,4101
CHD6,-0.171088001,7.847188522,144.0828985,3.41E-33,0.001505122,0.001445707,7222,6200,4787,4507,5251,5724,3472,4284
SMC1A,0.109649669,9.12656913,142.4692943,7.68E-33,0.000856261,0.000723852,14317,12030,11981,11308,13184,13767,9905,12736
CENPE,0.150376681,8.1314381,135.4340881,2.65E-31,0.001364558,0.001117687,7998,5836,6180,4839,7827,6817,4981,5665
ZNF146,0.142556572,8.275166772,134.3433837,4.60E-31,0.00129052,0.001029687,8254,7047,6324,5731,7771,8417,5225,6574
NREP,-0.102787894,9.17273016,130.1360753,3.83E-30,0.000834419,0.000713619,17117,13855,13000,11610,13536,13662,8756,11972
DZIP1,-0.172943979,7.675674798,129.381201,5.60E-30,0.001583931,0.001302173,6099,4468,5031,4466,4471,4406,3370,4147
SRSF6,-0.104858558,9.085340588,127.0917482,1.77E-29,0.000876002,0.000828954,15808,12764,11819,11723,12279,12124,8271,12335
FKBP3,-0.170381563,7.693278081,126.8090493,2.05E-29,0.001576109,0.002258719,5659,4318,5392,4827,4191,4566,3168,4682
FLJ22184,0.307749291,5.997563553,126.428173,2.48E-29,0.001888996,0.00305456,1425,1191,1354,1245,1260,1715,1346,1660
ACACA,0.115866238,8.769679319,124.6461544,6.08E-29,0.001033234,0.000986681,11685,9612,9165,8388,11003,10896,7714,9279
GDF15,-0.40495571,5.164686031,123.9082484,8.82E-29,0.002169734,0.004869211,1299,835,987,697,801,584,520,729
NIN,0.118823346,8.667257042,121.7218712,2.66E-28,0.001085997,0.001221808,11039,8200,8458,8362,10174,9344,7426,9186
CD248,-0.289957292,6.035461206,118.6827583,1.23E-27,0.001886865,0.002989603,2545,1588,1462,1222,1576,1600,848,1114
COPZ1,0.150909652,7.91541391,117.2146474,2.58E-27,0.001472343,0.001161023,6462,5106,4962,4702,6117,6142,3951,5647
ALDH16A1,0.247702848,6.497048369,116.498414,3.70E-27,0.001877305,0.0014128,2109,1697,1956,1821,2071,2234,1753,2267
BEX1,-0.697857963,3.55203924,114.8692268,8.41E-27,0.00607468,0.0036035,305,290,368,346,158,206,162,223
CTSD,-0.172640921,7.459950569,112.3584168,2.98E-26,0.001673835,0.001629908,5430,4790,3874,3300,3886,4532,2476,3453
ANKRD52,0.110231096,8.753980855,112.3086759,3.06E-26,0.00104128,0.001683227,12685,9842,8292,7911,11162,11623,7465,8401
LRP10,-0.224709914,6.635934281,107.7693977,3.02E-25,0.001870861,0.001735987,3395,2748,2093,1808,2344,2413,1382,1827
TP53I3,-0.217586223,6.738047827,107.3578192,3.72E-25,0.001862009,0.001885251,2906,3063,2545,2097,2087,2770,1505,2151
KIAA0141,-0.210695502,6.827824559,106.1978289,6.67E-25,0.001850409,0.001457052,3178,2549,2869,2622,2240,2488,1824,2417
GABPB1,0.215460409,6.720559142,103.7821008,2.26E-24,0.00186383,0.001271149,2715,2075,2173,2067,2705,2586,1888,2512
PRMT2,-0.125378623,8.224778886,100.7448309,1.05E-23,0.001316621,0.001011233,8926,8137,6172,5822,6849,7953,4325,5682
C6orf48,-0.22608307,6.510754222,99.66914143,1.80E-23,0.001876887,0.003316141,2873,2287,2175,1838,2042,2186,1144,1910
HEXIM1,-0.233612364,6.400938865,97.90926649,4.38E-23,0.001879329,0.001860756,2560,2078,1990,1832,1752,1918,1187,1828
EIF3D,0.140493464,7.830461442,95.60796877,1.40E-22,0.001513045,0.001343779,6019,4678,4943,4443,5781,5520,3791,5379
STK11IP,0.280045648,5.844823917,95.20073616,1.72E-22,0.001903073,0.001862073,1482,1132,1194,994,1403,1475,1142,1350
PNRC1,-0.337266197,5.254612896,93.44227549,4.18E-22,0.002106714,0.002720803,1330,1222,746,703,928,951,400,682
GABPA,0.175865817,7.137763897,93.24118747,4.63E-22,0.001782711,0.001514057,4031,3135,2633,2546,3978,3591,2369,2952
USP34,0.100707361,8.699614616,90.20196171,2.15E-21,0.001069263,0.001647504,11840,9987,8005,7543,11190,10096,6955,8846
GPX1,-0.142056418,7.706722142,89.11111746,3.73E-21,0.001570091,0.002638487,5667,4438,5349,4735,4115,4650,3145,5060
CROCC,0.266591668,5.905352214,88.96487748,4.02E-21,0.001896309,0.002289232,1320,1206,1233,1202,1263,1444,1260,1563
TMEM209,0.20894264,6.586716661,88.46965951,5.16E-21,0.001873765,0.001907117,2454,1879,1979,1907,2413,2151,1902,2285
CAPNS1,-0.107342085,8.455120386,87.19383436,9.84E-21,0.001196606,0.001965932,11601,8454,7611,6526,8829,8800,4654,7112
