Illumina.Probe.ID,Gene.Abbreviation,Cytogenetic Location,Immune Function,p-value,Beta coefficient,FDR,p-value,Beta coefficient,FDR
ILMN_1771385,GBP4,1p22.2,no,3.63E-05,0.16,1.71E-02,2.50E-03,-0.141,3.02E-02
ILMN_1774077,GBP2,1p22.2,no,9.29E-07,0.197,3.39E-03,6.85E-02,-0.088,2.37E-01
ILMN_3307791,FAM69A,1p22.1,no,1.91E-06,-0.18,3.48E-03,6.89E-01,-0.018,8.50E-01
ILMN_1695435,LOC653610,1q21.2,NA,6.42E-05,-0.156,2.28E-02,1.52E-04,-0.181,5.09E-03
ILMN_1659047,HIST2H2AA3,1q21.2,no,1.05E-04,-0.151,2.68E-02,8.72E-06,-0.211,6.23E-04
ILMN_1796712,S100A10,1q21.3,no,5.14E-05,-0.161,2.08E-02,3.08E-03,-0.149,3.43E-02
ILMN_2046730,S100A10,1q21.3,no,3.85E-05,-0.166,1.76E-02,2.30E-02,-0.111,1.23E-01
ILMN_1717934,SYT11,1q22,no,1.11E-04,0.155,2.79E-02,8.53E-02,0.086,2.70E-01
ILMN_1761363,VAMP4,1q24.3,no,3.84E-06,-0.179,5.60E-03,4.95E-01,0.035,7.24E-01
ILMN_1777915,STX6,1q25.3,no,1.18E-05,0.175,1.23E-02,1.11E-01,0.081,3.16E-01
ILMN_1815308,SDC1,2p24.1,yes,9.97E-05,-0.158,2.64E-02,1.01E-03,0.165,1.70E-02
ILMN_1711988,KCNK12,2p16.3,no,5.86E-06,-0.172,7.12E-03,4.23E-02,0.098,1.78E-01
ILMN_1711102,B3GNT2,2p15,yes,1.02E-04,0.148,2.65E-02,8.66E-01,-0.008,9.42E-01
ILMN_1803348,EHBP1,2p15,no,7.34E-07,0.19,3.57E-03,5.15E-02,0.092,2.01E-01
ILMN_2156982,IMP4,2q21.1,no,1.62E-04,-0.138,3.57E-02,1.01E-03,-0.156,1.70E-02
ILMN_1790881,HNMT,2q22.1,no,1.64E-06,0.194,3.42E-03,1.13E-01,0.077,3.20E-01
ILMN_2403247,CMTM7,3p22.3,no,1.72E-05,0.172,1.25E-02,2.00E-01,0.062,4.46E-01
ILMN_1698934,CMTM7,3p22.3,no,4.93E-06,0.185,6.54E-03,6.26E-02,0.094,2.25E-01
ILMN_1801105,PRKCD,3p21.1,yes,7.45E-05,-0.148,2.31E-02,1.17E-01,-0.073,3.26E-01
ILMN_2324157,UBA3,3p14.1,no,2.72E-04,0.141,4.83E-02,5.67E-02,-0.096,2.12E-01
ILMN_1789702,GBE1,3p12.3-p12.2,no,3.38E-05,0.162,1.90E-02,2.83E-05,0.2,1.56E-03
ILMN_1756501,ST6GAL1,3q27.3-q27.3,yes,3.56E-05,-0.143,1.73E-02,1.07E-01,-0.069,3.10E-01
ILMN_2108357,RPL39L,3q27.3,no,2.88E-04,-0.14,4.94E-02,1.70E-03,-0.148,2.34E-02
ILMN_3224926,RBM47,4p14,no,2.38E-05,-0.16,1.45E-02,2.32E-01,0.056,4.84E-01
ILMN_1691567,GNPDA2,4p13,no,1.91E-04,0.132,3.92E-02,5.12E-01,0.03,7.35E-01
ILMN_1801833,ARHGAP24,4q21.23-q21.3,no,1.53E-04,0.151,3.49E-02,6.45E-02,0.093,2.28E-01
ILMN_1700546,ELOVL6,4q25,no,7.82E-05,0.148,2.33E-02,9.80E-01,0.001,9.91E-01
ILMN_1808590,GUCY1A3,4q32.1,no,2.53E-05,0.16,1.48E-02,2.50E-01,0.057,5.04E-01
ILMN_1708660,RWDD4,4q35.1,no,1.20E-04,0.143,2.97E-02,3.25E-01,0.046,5.77E-01
ILMN_1875342,LNPEP,5q15,no,5.24E-05,0.154,2.07E-02,2.64E-01,0.053,5.19E-01
ILMN_1819494,HS.406106,5q23.1,NA,2.99E-04,-0.133,4.90E-02,3.42E-02,-0.103,1.56E-01
ILMN_2411076,MATR3,5q31.2,no,2.02E-04,0.123,3.99E-02,8.19E-01,-0.01,9.17E-01
ILMN_1758623,HIST1H2BD,6p22.1,no,5.37E-05,-0.155,2.06E-02,1.17E-03,-0.154,1.85E-02
ILMN_1651496,HIST1H2BD,6p22.1,no,2.54E-04,-0.137,4.69E-02,1.77E-03,-0.143,2.40E-02
ILMN_1680937,HIST1H2BC,6p22.1,no,1.42E-04,-0.148,3.40E-02,1.75E-04,-0.185,5.55E-03
ILMN_1688666,HIST1H2BH,6p22.1,no,6.26E-05,-0.154,2.28E-02,6.21E-02,-0.09,2.24E-01
ILMN_1716195,HIST1H2BG,6p22.1,no,2.69E-04,-0.141,4.85E-02,2.00E-06,-0.235,2.02E-04
ILMN_1662359,HIST1H4K,6p22.1,no,8.04E-05,-0.154,2.30E-02,6.79E-01,0.02,8.44E-01
ILMN_1839750,LOC729776,6p21.31,NA,1.91E-05,-0.166,1.27E-02,1.13E-01,0.077,3.19E-01
ILMN_2115005,FGD2,6p21.2,no,1.44E-04,-0.151,3.33E-02,4.97E-01,-0.034,7.25E-01
ILMN_1702177,GLO1,6p21.2,no,7.12E-05,0.149,2.26E-02,1.99E-02,-0.114,1.13E-01
ILMN_1813277,SUPT3H,6p21.1-p12.3,no,7.75E-05,0.151,2.36E-02,1.47E-07,-0.255,2.82E-05
ILMN_1687501,MOXD1,6q23.2,no,5.49E-08,0.214,8.01E-04,1.74E-03,0.155,2.37E-02
ILMN_3305938,SGK1,6q23.2,no,3.07E-04,-0.138,4.97E-02,3.00E-03,0.135,3.38E-02
ILMN_1790533,PHACTR2,6q24.2,no,6.44E-05,0.158,2.24E-02,8.08E-02,0.086,2.61E-01
ILMN_1676575,IKZF1,7p12.2,yes,2.97E-04,-0.147,4.93E-02,2.85E-03,0.151,3.28E-02
ILMN_1793474,INSIG1,7q36.3,no,6.94E-05,0.162,2.30E-02,3.46E-01,-0.046,5.96E-01
ILMN_1757732,OSGIN2,8q21.3,no,1.77E-04,0.146,3.86E-02,3.15E-01,-0.05,5.69E-01
ILMN_1703955,FBXO32,8q24.13,no,1.94E-04,-0.133,3.87E-02,5.47E-01,0.028,7.61E-01
ILMN_3243961,ZNF252P,8q24.3h,no,1.70E-05,-0.174,1.38E-02,8.54E-01,0.009,9.35E-01
ILMN_1729417,GNE,9p13.3,no,3.17E-04,-0.143,4.87E-02,5.77E-01,0.028,7.80E-01
ILMN_1664978,TJP2,9q21.11,no,9.11E-05,0.149,2.46E-02,2.11E-01,-0.06,4.59E-01
ILMN_1768197,PTBP3,9q32,no,5.95E-05,0.159,2.23E-02,5.57E-01,0.03,7.67E-01
ILMN_1788160,KIF5B,10p11.22,no,1.35E-05,0.153,1.31E-02,7.09E-01,0.017,8.61E-01
ILMN_2410929,PAPSS2,10q23.2,yes,4.73E-05,0.163,1.97E-02,9.84E-02,-0.081,2.93E-01
ILMN_1805750,IFITM3,11p15.5,yes,1.77E-05,0.172,1.23E-02,3.07E-02,-0.106,1.46E-01
ILMN_1670134,FADS1,11q12.2,no,6.95E-05,0.153,2.25E-02,2.28E-04,0.186,6.58E-03
ILMN_2326512,CASP1,11q22.3,yes,3.17E-04,0.143,4.91E-02,4.63E-02,-0.097,1.89E-01
ILMN_1688959,CD27,12p13.31,yes,1.46E-05,-0.159,1.33E-02,7.01E-01,0.017,8.57E-01
ILMN_1724628,RP11-467L13.5,12p11.21,NA,2.65E-04,-0.145,4.83E-02,9.14E-01,0.005,9.64E-01
ILMN_1661695,IRAK3,12q14.3,yes,2.97E-04,0.144,4.98E-02,1.72E-02,-0.117,1.03E-01
ILMN_1740842,SALL2,14q11.2,no,1.78E-04,0.149,3.82E-02,2.94E-03,0.151,3.34E-02
ILMN_1746561,BCL2L2,14q11.2,no,3.01E-06,0.178,4.88E-03,3.17E-05,0.207,1.69E-03
ILMN_1763763,RIPK3,14q12,yes,3.11E-04,-0.142,4.93E-02,5.62E-03,-0.139,5.05E-02
ILMN_1711514,COCH,14q12,no,1.89E-04,-0.148,3.94E-02,1.09E-02,-0.128,7.78E-02
ILMN_1772692,DICER1,14q32.13,yes,2.75E-04,0.126,4.78E-02,8.40E-01,0.009,9.28E-01
ILMN_1813475,HERC2,15q13.1,no,6.50E-05,0.154,2.21E-02,7.15E-01,0.018,8.65E-01
ILMN_2329773,RAB27A,15q21.3,yes,2.18E-04,0.142,4.24E-02,2.18E-02,0.114,1.20E-01
ILMN_1665859,RAB27A,15q21.3,yes,3.11E-04,0.141,4.98E-02,6.18E-03,0.135,5.39E-02
ILMN_1767542,THAP10,15q23,no,1.10E-06,0.185,2.67E-03,5.83E-01,-0.027,7.83E-01
ILMN_2159859,LYSMD4,15q26.3,no,1.80E-04,0.151,3.82E-02,1.37E-01,0.076,3.60E-01
ILMN_2151075,ZNF821,16q22.3,no,7.91E-05,-0.152,2.31E-02,7.11E-01,-0.018,8.62E-01
ILMN_1680774,NLRP1,17p13.2,no,3.43E-05,-0.156,1.79E-02,7.99E-01,0.012,9.08E-01
ILMN_2263466,ACADVL,17p13.1,no,2.34E-04,0.146,4.38E-02,6.89E-01,0.02,8.50E-01
ILMN_1714861,CD68,17p13.1,no,2.21E-04,-0.142,4.24E-02,8.15E-01,-0.011,9.14E-01
ILMN_1704961,ACTG1,17q25.3,no,2.93E-04,0.142,4.97E-02,8.57E-01,0.009,9.36E-01
ILMN_1713058,PSTPIP2,18q21.1,yes,1.71E-05,0.166,1.31E-02,7.80E-01,0.014,8.97E-01
ILMN_1794595,GAMT,19p13.3i,no,1.93E-04,0.149,3.91E-02,1.64E-07,0.265,3.06E-05
ILMN_1728107,GNG7,19p13.3,no,3.12E-04,-0.135,4.89E-02,1.79E-01,-0.063,4.17E-01
ILMN_1662340,ZNF358,19p13.2,no,1.52E-05,0.173,1.30E-02,3.01E-05,0.21,1.62E-03
ILMN_1715555,DBP,19q13.33,no,8.97E-05,-0.156,2.47E-02,7.83E-02,-0.09,2.57E-01
ILMN_1690386,CSRP2BP,20p11.23,no,1.57E-04,-0.135,3.53E-02,2.32E-01,-0.054,4.85E-01
ILMN_1730612,DBNDD2,20q13.12,no,1.22E-04,0.15,2.96E-02,4.20E-01,0.039,6.64E-01
ILMN_1765994,ZBP1,20q13.31,yes,9.44E-07,-0.177,2.75E-03,2.16E-01,-0.056,4.65E-01
ILMN_1673518,BRWD1,21q22.2-q22.2,no,2.53E-07,-0.21,1.85E-03,9.29E-02,-0.083,2.84E-01
ILMN_1751851,CECR1,22q11.1,no,3.49E-05,-0.14,1.76E-02,2.32E-01,-0.053,4.84E-01
ILMN_2365465,XBP1,22q12.1,yes,8.51E-05,-0.146,2.39E-02,4.78E-01,0.033,7.09E-01
ILMN_1770505,BIK,22q13.2,yes,2.35E-05,-0.166,1.49E-02,3.08E-02,-0.104,1.46E-01
ILMN_3307772,PACSIN2,22q13.2,no,1.43E-04,0.148,3.36E-02,2.14E-01,-0.062,4.63E-01
ILMN_1725471,GK,Xp21.2,no,4.33E-05,0.153,1.91E-02,2.00E-02,-0.112,1.14E-01
ILMN_2393296,GK,Xp21.2,no,3.41E-05,0.156,1.84E-02,3.52E-02,-0.099,1.58E-01
ILMN_1682312,CYBB,Xp11.4,yes,7.34E-06,-0.173,8.24E-03,2.89E-04,-0.175,7.66E-03
ILMN_1654289,ELK1,Xp11.23,yes,4.57E-05,0.162,1.96E-02,3.20E-01,0.05,5.73E-01
ILMN_2351638,BEX4,Xq22.1,no,2.72E-04,0.15,4.79E-02,8.37E-02,0.088,2.66E-01
ILMN_1804798,BEX4,Xq22.1,no,2.27E-04,0.151,4.30E-02,5.10E-02,0.097,1.99E-01
"The analyses tabulated here are for the 95 transcripts with differential expression by schizophrenia status from the study of the RUCDR-transformed LCLs (268 RUCDR cases and 446 RUCDR controls) using the 12 measured covariates, and restricted to transcripts detected in 80% or more subjects. To the right of the primary analysis (RUCDR-transformed LCLs using the 12 measured covariates), we also list the differential expression p-values, beta coefficients, and FDR for the Australia-transformed cases (145 Australia cases and 446 RUCDR controls) using the 12 measured covariates.  All FDR values were calculated based on the 14,588 transcripts detected in 80% or more subjects.  Immune-related, i.e., protein-coding gene function containing “immune” from genecards.org, is noted (yes, no, or NA for those unlisted).",,,,,,,,,
