,up,down
1,A1BG,AATK
2,A2LD1,ABCA2
3,A2ML1,ABCC12
4,ABCA1,ADAM28
5,ABHD3,ADAMTS19
6,ACOT1,ADAMTS4
7,ACOX2,ADAMTS7
8,ACRC,ADARB2
9,ACSBG1,ADC
10,ACSL5,ADCK1
11,ACSS3,ADRA1D
12,ADAMTS1,AIF1
13,ADAMTS2,ALPK3
14,ADAMTS9,ANKMY1
15,ADCYAP1R1,ANLN
16,ADORA2B,APBB1IP
17,AEBP1,APOC2
18,AFAP1L1,ARC
19,AFF1,ARSA
20,AGAP9,ASPDH
21,AGT,ATP10B
22,AGXT2L1,AZGP1
23,AHCYL2,BCHE
24,AHNAK,BDNF
25,AK4,BEND4
26,ALDH1L1,BEST1
27,ALDH6A1,BIN2
28,AMOT,BOK
29,ANGPT2,C1QC
30,ANGPTL4,C1QTNF2
31,ANKDD1A,C3
32,ANO2,CA14
33,ANO6,CAPN3
34,ANTXR1,CARNS1
35,ANXA1,CCBL2
36,ANXA2,CD22
37,APCDD1,CD97
38,APOL1,CDC42EP1
39,APOL4,CDC42EP2
40,APOL6,CDH19
41,APOLD1,CDH24
42,AQP4,CDK18
43,ARHGAP29,CDKN1C
44,ARHGAP42,CDR2L
45,ARHGEF26,CECR7
46,ARL4A,CERCAM
47,ARL9,CHADL
48,ARRDC3,CHEK1
49,ARSJ,CLDN11
50,ASB3,CLEC14A
51,ASPM,CLEC2L
52,ATF7IP2,CMKLR1
53,ATL3,CMTM5
54,ATOH8,CNDP1
55,ATP13A4,CNP
56,ATP1A2,CNTN2
57,ATP1B2,COL4A5
58,ATP6V1C2,COL9A2
59,AXL,CORT
60,B4GALT1,CPNE2
61,BAG3,CRHBP
62,BATF2,CRTAC1
63,BBOX1,CSF1R
64,BCAR3,CUEDC1
65,BCL2,CYB5R2
66,BCL3,CYBB
67,BCL6B,CYTH4
68,BCMO1,DBNDD2
69,BHMT2,DENND1C
70,BIRC3,DLL3
71,BMP4,DLX1
72,BMPR1B,DNAH17
73,BNIP2,DNAJB5
74,BOC,DOCK10
75,BRWD3,DOCK8
76,BTBD17,DPYSL5
77,BTG1,DUSP2
78,BTN2A2,DUSP6
79,C1R,EBF4
80,C1RL,EGR1
81,C1S,EGR4
82,C5AR1,ELOVL1
83,C7,ENDOG
84,CACHD1,ENOSF1
85,CALCRL,ENPP2
86,CAPS2,EPHB3
87,CARD16,ERBB3
88,CARTPT,ERMN
89,CASP4,ETV5
90,CASP6,EVI2A
91,CASP7,FAM131C
92,CCDC102A,FAM155B
93,CCDC144C,FLJ27354
94,CCDC151,FLJ35390
95,CCDC164,FLRT1
96,CCDC62,FOLH1
97,CCDC8,FOLR2
98,CCNA2,FOXQ1
99,CCNJL,FREM1
100,CCT6P1,FUT4
101,CD14,GAB3
102,CD302,GAD1
103,CD44,GJA4
104,CD96,GJC2
105,CDC14A,GLDN
106,CDC6,GNG10
107,CDCA4,GPD1
108,CDK2,GPIHBP1
109,CDKN1A,GPR3
110,CDKN2C,GPR34
111,CDR1,GPR37
112,CEBPD,GREB1L
113,CENPC1,GREM1
114,CENPF,GTF2IRD2
115,CEP128,HAPLN2
116,CFB,HCP5
117,CFH,HHIP
118,CFI,HLA-DMB
119,CHDH,HR
120,CHI3L1,HS3ST4
121,CHIC2,HSPA12B
122,CHORDC1,HSPA2
123,CHRDL1,HTR2C
124,CHST14,IL18
125,CHST3,INPP5J
126,CHSY1,ITGA2
127,CLDN10,KCNAB3
128,CLIC2,KCNH8
129,CLSPN,KIAA1024
130,CMYA5,KLK6
131,CNN3,KNCN
132,CNTNAP3,LBH
133,COL1A2,LDB3
134,COL4A2,LGI2
135,COL6A2,LHX6
136,CPAMD8,LIMS2
137,CPXM2,LIPA
138,CRB1,LIPE
139,CRISPLD1,LOC100126784
140,CRISPLD2,LOC100128811
141,CRX,LOC100130950
142,CRYBG3,LOC100499489
143,CSDA,LOC150622
144,CTNNAL1,LOC286186
145,CUBN,LOC339505
146,CXCR7,LOC349196
147,CYBRD1,LOC439949
148,CYP11A1,LOC442421
149,CYP1B1,LOC645431
150,CYP2U1,LOC646627
151,CYP7B1,LOC91149
152,CYR61,LPCAT2
153,DAPP1,LPPR1
154,DARC,LRP2
155,DDIT4,LRRC56
156,DDIT4L,LST1
157,DDR2,LTC4S
158,DDTL,MAG
159,DDX58,MAGIX
160,DDX60,MAL
161,DDX60L,MARCH4
162,DERL2,MBP
163,DHRS3,MCHR1
164,DIAPH2,MDH1B
165,DLEU1,MFNG
166,DLL4,MGAT5
167,DNAH14,MICALL1
168,DNAH5,MOBP
169,DNAJC25-GNG10,MOG
170,DNALI1,MPEG1
171,DNMBP,MS4A7
172,DNMT3B,MSC
173,DOCK7,MYADML2
174,DOK1,MYL3
175,DPY19L3,MYO1D
176,DRAM1,N4BP3
177,DSC2,NACAD
178,DSCC1,NDE1
179,DSE,NEUROD6
180,DSG2,NFE2L3
181,DSP,NFKBIE
182,DTNA,NINJ2
183,DUSP19,NKD1
184,ECM2,NKX6-2
185,EDA,NOG
186,EDN1,NPHS1
187,EDNRB,NPY
188,EFEMP1,NR4A1
189,EFNB1,NSDHL
190,EGFEM1P,NT5C
191,EGFR,NTN5
192,EHF,NXPH3
193,ELK1,OAZ3
194,ELOVL2,OCEL1
195,ELTD1,OLFML3
196,EMILIN1,OPALIN
197,EMP1,P2RY12
198,EMP3,P2RY13
199,EMX2,PACSIN3
200,EMX2OS,PAQR6
201,ENKUR,PARVG
202,ENPEP,PCP4L1
203,ENTPD2,PCSK6
204,EPB41,PDE11A
205,EPHX1,PDE6B
206,ERBB2,PENK
207,ERCC4,PLD5
208,ESRG,PLEKHG3
209,ESRP2,PLEKHH1
210,EYA1,PLLP
211,EYA2,PLP1
212,EZR,PLXNB3
213,F3,PNPLA3
214,FABP5,POLR2J3
215,FAM106CP,PPAP2C
216,FAM109B,PPP1R14A
217,FAM115C,PRIMA1
218,FAM129A,PRINS
219,FAM162B,PRKCQ
220,FAM189A2,PRR18
221,FAM45B,PRR5L
222,FAM95B1,PRSS27
223,FANCE,PTAFR
224,FAT1,PTGS1
225,FAT4,PTPLA
226,FBLN1,PVRL1
227,FBXO30,RASAL1
228,FBXO40,RASGRP3
229,FBXO5,RASSF5
230,FCAR,RBM3
231,FCGBP,RELL2
232,FCGR2A,RELN
233,FCHO2,RENBP
234,FERMT2,RERGL
235,FGD6,RGS10
236,FGF2,RHBDL2
237,FGFR3,RHOG
238,FGFRL1,RNASE1
239,FGL2,RNF125
240,FGR,RNF128
241,FHDC1,RNF212
242,FIGN,RTKN
243,FILIP1L,RUNX2
244,FKBP5,S1PR5
245,FLJ32224,SCD
246,FLJ42875,SDHAF1
247,FLNA,SDHAP3
248,FMO2,SELPLG
249,FMOD,SEMA3E
250,FNDC3B,SEMA3G
251,FOSL2,SEMA4D
252,FOXC1,SEPP1
253,FOXO1,SEPT4
254,FREM2,SH3TC2
255,FSD1L,SLC15A3
256,FSTL1,SLC16A11
257,FXYD5,SLC22A18
258,FZD4,SLC31A2
259,FZD7,SLC32A1
260,GABRE,SLC38A5
261,GABRG1,SLC7A4
262,GADD45A,SLC7A6OS
263,GADD45B,SNORA18
264,GADD45G,SNORA8
265,GALNT12,SNRPN
266,GAN,SOX10
267,GAS1,SPATA2L
268,GBP1,SPHKAP
269,GBP2,SPRY4
270,GBP3,SST
271,GEM,ST18
272,GIMAP5,SYK
273,GJA1,TAC1
274,GJB6,TBC1D2
275,GLI3,TEKT4P2
276,GLIS3,TF
277,GMNN,THOC5
278,GNA13,TLR5
279,GNG12,TMC6
280,GOLGA8B,TMC7
281,GOLIM4,TMC8
282,GPAM,TMCC3
283,GPC5,TMEM119
284,GPC6,TMEM121
285,GPNMB,TMEM125
286,GPR125,TMEM144
287,GPR4,TMEM206
288,GPR56,TMEM63A
289,GPR6,TMEM86A
290,GPR83,TMEM88
291,GPR98,TNFSF10
292,GRAMD1C,TPPP3
293,GRAMD3,TPRN
294,GRIN2C,TRMT61B
295,GSDMB,TRPC3
296,H19,TRPC6
297,H3F3A,TSPAN15
298,HAPLN3,TTYH2
299,HBB,TUBA1A
300,HELQ,TYMS
301,HEPH,USH1C
302,HERC5,VAMP8
303,HIF3A,VAX1
304,HIST1H2BD,VGF
305,HNF1A-AS1,VIP
306,HSPA1A,VRK2
307,HSPA1B,VWC2
308,HSPB1,WAS
309,HSPB3,WDFY4
310,HTR1F,WDR86
311,ICAM1,ZDHHC9
312,ID4,ZNF229
313,IFI44,ZNF385D
314,IFI6,ZNF536
315,IFIH1,ZNF593
316,IFITM1,ZNF833P
317,IFITM2,
318,IFITM3,
319,IGDCC4,
320,IGFBP4,
321,IGFBP5,
322,IGFLR1,
323,IKZF2,
324,IL17RB,
325,IL32,
326,IL33,
327,IL4R,
328,IL6R,
329,IMPA2,
330,IMPG1,
331,INMT,
332,IRAK3,
333,IRF1,
334,IRF7,
335,ISG15,
336,ISG20,
337,ISLR,
338,ITGA1,
339,ITGA10,
340,ITGA11,
341,ITGA5,
342,ITGAV,
343,ITPKB,
344,ITPKC,
345,ITPR2,
346,ITPR3,
347,ITPRIP,
348,JAG1,
349,JAK2,
350,JAK3,
351,KANK2,
352,KATNAL2,
353,KBTBD10,
354,KBTBD8,
355,KCNA5,
356,KCNE4,
357,KCTD14,
358,KIAA0825,
359,KIAA1161,
360,KIAA1199,
361,KLB,
362,KLF15,
363,KLF2,
364,KLF5,
365,KLK5,
366,KRCC1,
367,LAMA1,
368,LATS2,
369,LEPR,
370,LEPREL4,
371,LFNG,
372,LGALS3,
373,LGR4,
374,LMNB1,
375,LOC100129034,
376,LOC100132707,
377,LOC100134259,
378,LOC100272217,
379,LOC100306975,
380,LOC100499183,
381,LOC100499484,
382,LOC144571,
383,LOC158376,
384,LOC284023,
385,LOC284215,
386,LOC400550,
387,LOC441204,
388,LOC644961,
389,LOC728024,
390,LOC728640,
391,LOX,
392,LOXL2,
393,LPIN3,
394,LRIG1,
395,LRP10,
396,LRP4,
397,LRRC16A,
398,LRRC32,
399,LRRC34,
400,LRRC37A2,
401,LRRC39,
402,LRRC48,
403,LRRN4CL,
404,LTBP1,
405,LTBP2,
406,LTBR,
407,LY6G5C,
408,LYN,
409,MAB21L3,
410,MAFF,
411,MALAT1,
412,MALL,
413,MALT1,
414,MAML2,
415,MAP3K2,
416,MAP3K6,
417,MAP3K8,
418,MASP1,
419,MBNL3,
420,MCC,
421,MCL1,
422,MDK,
423,MED30,
424,MERTK,
425,MET,
426,METRNL,
427,METTL7A,
428,MGP,
429,MGST1,
430,MID1,
431,MLANA,
432,MLC1,
