Gene,"P value (EDASeq  normalized gene estimates in a ISV, age sex, site and brain region adjusted model)",Mean Expression (log2),Beta,Standard Error,,
MAL,2.16E-07,9.83,0.46,0.09,,
C11orf30,3.29E-07,5.84,-1.26,0.25,,
TMEM233,8.08E-07,6.37,1.49,0.30,,
PAK3,1.02E-06,9.56,0.86,0.18,,
ZCCHC9,1.04E-06,5.20,-1.43,0.30,,
MIR4485,1.22E-06,16.69,0.00,0.00,,
SLC4A7,1.82E-06,9.67,0.56,0.12,,
EGLN3,4.11E-06,8.34,0.53,0.12,,
NOS1AP,4.55E-06,9.78,0.75,0.15,,
ELAVL3,5.55E-06,12.50,0.39,0.09,,
SCN2B,6.72E-06,9.89,0.33,0.08,,
PCYOX1L,7.11E-06,7.58,0.67,0.14,,
AP5B1,9.20E-06,4.64,-0.90,0.21,,
RP11.434C1.1,1.12E-05,5.58,1.19,0.28,,
MTIF3,1.29E-05,8.97,-0.44,0.11,,
FBXW5,1.46E-05,10.94,-0.17,0.04,,
RUNX1T1,1.69E-05,8.35,0.91,0.21,,
ISLR,1.91E-05,7.48,0.67,0.17,,
GMPR2,2.04E-05,9.04,-0.37,0.09,,
IFI6,2.37E-05,10.97,0.93,0.21,,
SLITRK2,2.57E-05,7.42,0.61,0.15,,
RSL24D1,2.73E-05,10.33,-0.37,0.09,,
HELZ,3.24E-05,8.12,0.76,0.19,,
ZNF827,3.57E-05,8.47,0.51,0.13,,
RUSC1,3.66E-05,8.65,0.45,0.10,,
CELF4,3.74E-05,11.74,0.40,0.10,,
VAMP5,4.09E-05,8.09,0.43,0.10,,
RNASEH2A,4.14E-05,6.44,0.57,0.14,,
HOMER3,4.49E-05,8.33,-0.55,0.13,,
CHN2,4.53E-05,8.50,0.59,0.15,,
CXorf38,4.67E-05,4.36,0.85,0.22,,
GATM,5.54E-05,9.48,0.73,0.19,,
LRRC29,5.60E-05,6.43,-0.59,0.14,,
DYNC1I1,6.31E-05,10.78,0.38,0.10,,
IQCG,6.33E-05,6.90,-0.59,0.15,,
GPM6B,6.45E-05,12.67,0.41,0.10,,
GNAZ,6.72E-05,9.70,0.33,0.07,,
RCC2,6.81E-05,7.70,-0.47,0.13,,
LRRC45,7.12E-05,7.36,-0.41,0.11,,
RP13.258O15.1,7.34E-05,7.91,-0.70,0.17,,
ZNF395,7.57E-05,8.33,0.62,0.15,,
SLITRK4,7.65E-05,9.43,0.68,0.17,,
FAM103A2P,7.96E-05,5.98,-0.88,0.24,,
TMC7,8.23E-05,6.41,-0.73,0.20,,
CREB5,8.43E-05,7.50,1.17,0.28,,
SREK1IP1,8.74E-05,9.40,0.54,0.14,,
YTHDF3,8.82E-05,7.73,0.81,0.21,,
AMPD3,9.06E-05,6.81,-0.47,0.12,,
NEUROD2,9.61E-05,9.66,0.31,0.08,,
TCF15,9.87E-05,3.84,-0.84,0.23,,
RP11.1006G14.4,1.03E-04,7.06,0.90,0.22,,
SRI,1.04E-04,10.59,0.30,0.08,,
NRBP1,1.06E-04,10.01,-0.24,0.06,,
RAB26,1.09E-04,8.72,0.36,0.09,,
ASB8,1.10E-04,9.24,0.44,0.12,,
NQO1,1.10E-04,8.12,0.56,0.15,,
FA2H,1.15E-04,8.19,0.50,0.13,,
USP4,1.17E-04,9.04,0.22,0.06,,
EFCAB7,1.21E-04,7.51,-0.67,0.18,,
RNF11,1.22E-04,10.34,0.48,0.13,,
CSGALNACT1,1.25E-04,8.07,0.64,0.17,,
RILP,1.27E-04,6.71,-0.51,0.13,,
GPM6A,1.38E-04,16.02,0.59,0.15,,
ZNF579,1.38E-04,8.08,0.36,0.10,,
TUBB2A,1.40E-04,10.94,0.40,0.11,,
ZNF219,1.41E-04,7.37,-0.45,0.12,,
TMEM205,1.49E-04,9.47,0.26,0.07,,
EHBP1,1.52E-04,10.25,-0.39,0.10,,
MCTP1,1.75E-04,7.49,0.84,0.24,,
TRABD2A,1.76E-04,7.05,0.55,0.16,,
SUMO2,1.80E-04,9.04,0.40,0.11,,
PINX1,1.80E-04,7.74,-0.69,0.19,,
GPN1,1.82E-04,7.98,-0.57,0.16,,
RTKN,1.85E-04,8.10,0.36,0.09,,
MAPT,1.87E-04,12.52,0.30,0.07,,
PCMTD2,1.87E-04,7.34,0.58,0.17,,
SCOC,1.97E-04,9.19,0.62,0.17,,
CAMSAP3,2.06E-04,8.65,0.24,0.06,,
C12orf23,2.09E-04,7.35,0.91,0.25,,
SHD,2.12E-04,6.58,-0.50,0.14,,
NFIB,2.30E-04,11.01,0.44,0.13,,
WDR16,2.32E-04,5.06,-1.16,0.33,,
YTHDF2,2.34E-04,8.66,0.40,0.12,,
SLC25A41,2.37E-04,6.12,0.67,0.20,,
INIP,2.39E-04,6.25,-0.97,0.28,,
KCNV1,2.43E-04,8.67,0.64,0.19,,
SAP30,2.45E-04,8.16,-0.55,0.16,,
C4orf36,2.46E-04,6.23,0.64,0.19,,
