GeneInfo,GeneID,Chr,Start,Stop,permPval_Dup,FoldChange
CDIPT/chr16:29869677-29874578,CDIPT,chr16,29869677,29874578,0,1.467320364
TAOK2/chr16:29985187-30003582,TAOK2,chr16,29985187,30003582,0,1.452947842
SPN/chr16:29674299-29681823,SPN,chr16,29674299,29681823,2.00E-06,1.668456928
FAM101B/chr17:289770-295731,FAM101B,chr17,289770,295731,5.00E-06,2.530802089
TMEM219/chr16:29973350-29984373,TMEM219,chr16,29973350,29984373,1.10E-05,1.506029537
MAP4K2/chr11:64556608-64570713,MAP4K2,chr11,64556608,64570713,2.70E-05,1.266278344
KSR1/chr17:25799035-25950718,KSR1,chr17,25799035,25950718,2.70E-05,2.727551481
PPP4C/chr16:30087383-30096695,PPP4C,chr16,30087383,30096695,6.00E-05,1.38688525
HSD17B7P2/chr10:38645307-38667433,HSD17B7P2,chr10,38645307,38667433,0.000115,0.486599073
SH2D3A/chr19:6752172-6767523,SH2D3A,chr19,6752172,6767523,0.000123,0.71185913
MCF2/chrX:138663929-138790381,MCF2,chrX,138663929,138790381,0.00013,0.326405824
C1orf127/chr1:11006529-11042094,C1orf127,chr1,11006529,11042094,0.00015,0.225298134
FTCD/chr21:47556175-47575481,FTCD,chr21,47556175,47575481,0.00015,0.282902191
TRA2A/chr7:23544400-23571656,TRA2A,chr7,23544400,23571656,2.00E-04,0.775076048
HIRIP3/chr16:30003641-30007417,HIRIP3,chr16,30003641,30007417,0.00021,1.39269726
SLCO5A1/chr8:70584567-70747299,SLCO5A1,chr8,70584567,70747299,0.00021,2.111323003
ACTL10/chr20:32254303-32256331,ACTL10,chr20,32254303,32256331,0.00022,0.472449092
OR6W1P/chr7:142759380-142760882,OR6W1P,chr7,142759380,142760882,0.00025,0.666983043
SFN/chr1:27189632-27190947,SFN,chr1,27189632,27190947,0.000255,0.201228993
ATP1A3/chr19:42470733-42498428,ATP1A3,chr19,42470733,42498428,0.00026,0.253914805
APC2/chr19:1450147-1473243,APC2,chr19,1450147,1473243,0.00027,0.397100294
DCP1A/chr3:53317444-53381654,DCP1A,chr3,53317444,53381654,0.00027,1.242145361
CARNS1/chr11:67183148-67193078,CARNS1,chr11,67183148,67193078,0.000275,0.501922335
SCARB1/chr12:125262173-125348519,SCARB1,chr12,125262173,125348519,0.00028,1.308075976
MAPK3/chr16:30125425-30134630,MAPK3,chr16,30125425,30134630,3.00E-04,1.480857863
TRAF3IP3/chr1:209929393-209955668,TRAF3IP3,chr1,209929393,209955668,0.00033,0.673652321
C9orf103/chr9:86238032-86259045,C9orf103,chr9,86238032,86259045,0.000366,0.705577394
ERICH1/chr8:614199-681226,ERICH1,chr8,614199,681226,0.00042,0.853142953
DNAH1/chr3:52350334-52434513,DNAH1,chr3,52350334,52434513,0.00045,0.639258359
NPTXR/chr22:39214455-39240017,NPTXR,chr22,39214455,39240017,0.00047,0.316564041
C17orf28/chr17:72946838-72968900,C17orf28,chr17,72946838,72968900,0.00048,0.367889844
ADAMTS17/chr15:100511642-100882183,ADAMTS17,chr15,100511642,100882183,0.00051,0.408153358
TRAF7/chr16:2205798-2228130,TRAF7,chr16,2205798,2228130,0.00055,1.233517983
STX3/chr11:59522531-59573355,STX3,chr11,59522531,59573355,0.00056,3.029841161
PTPN6/chr12:7055739-7070479,PTPN6,chr12,7055739,7070479,0.00057,0.764672981
NGRN/chr15:90808894-90815443,NGRN,chr15,90808894,90815443,0.000586,1.297738736
PION/chr7:76940067-77045717,PION,chr7,76940067,77045717,0.000588,0.4300544
LOC339166/chr17:5675553-5834016,LOC339166,chr17,5675553,5834016,0.00059,0.354844417
LAMA2/chr6:129204285-129837710,LAMA2,chr6,129204285,129837710,6.00E-04,0.524736149
ALDOA/chr16:30064410-30081741,ALDOA,chr16,30064410,30081741,0.00064,1.443635299
MAPK6/chr15:52311410-52358462,MAPK6,chr15,52311410,52358462,0.00069,1.693879751
GUSBP11/chr22:23980674-24059610,GUSBP11,chr22,23980674,24059610,0.00069,0.717558267
OCRL/chrX:128674251-128726530,OCRL,chrX,128674251,128726530,0.00069,1.594975924
LGALS14/chr19:40194945-40200088,LGALS14,chr19,40194945,40200088,0.00071,0.236345562
TPBG/chr6:83072922-83077133,TPBG,chr6,83072922,83077133,0.00072,0.177867619
C3orf20/chr3:14716605-14814543,C3orf20,chr3,14716605,14814543,0.00073,0.381291371
ZNF37BP/chr10:43008960-43048280,ZNF37BP,chr10,43008960,43048280,0.00075,0.756696305
LIPE/chr19:42905665-42931578,LIPE,chr19,42905665,42931578,0.00076,0.682582917
LOC388152/chr15:84867599-84898920,LOC388152,chr15,84867599,84898920,0.00079,1.667129299
SPTBN4/chr19:40973125-41082365,SPTBN4,chr19,40973125,41082365,0.00081,0.4493296
AGPAT3/chr21:45285115-45407475,AGPAT3,chr21,45285115,45407475,0.00081,1.237806558
SDHAP2/chr3:195384909-195415735,SDHAP2,chr3,195384909,195415735,0.00081,0.745525974
AHDC1/chr1:27860755-27930143,AHDC1,chr1,27860755,27930143,0.00082,1.522663467
RHOV/chr15:41164411-41166487,RHOV,chr15,41164411,41166487,0.00082,2.117624098
MCEE/chr2:71336805-71357394,MCEE,chr2,71336805,71357394,0.00082,0.758487495
SPNS1/chr16:28986095-28995869,SPNS1,chr16,28986095,28995869,9.00E-04,1.241010781
RNASEH2B/chr13:51483813-51544596,RNASEH2B,chr13,51483813,51544596,0.00092,0.693372524
PMFBP1/chr16:72152995-72206349,PMFBP1,chr16,72152995,72206349,0.00097,0.488471766
STAMBPL1/chr10:90639943-90683259,STAMBPL1,chr10,90639943,90683259,0.001,0.646573995
TRIB2/chr2:12856997-12882858,TRIB2,chr2,12856997,12882858,0.001,0.222050828
PABPC1L/chr20:43538702-43567962,PABPC1L,chr20,43538702,43567962,0.001087,0.749140527
KCTD2/chr17:73043278-73061981,KCTD2,chr17,73043278,73061981,0.00114,1.282445536
RHBDL1/chr16:726074-728267,RHBDL1,chr16,726074,728267,0.00119,0.477384682
PDE7A/chr8:66626568-66753969,PDE7A,chr8,66626568,66753969,0.00119,0.606320303
NEDD9/chr6:11183530-11382581,NEDD9,chr6,11183530,11382581,0.00132,2.151683293
C20orf30/chr20:5080483-5093733,C20orf30,chr20,5080483,5093733,0.00136,0.858318285
SIK2/chr11:111473169-111597632,SIK2,chr11,111473169,111597632,0.0014,1.360189264
C12orf61/chr12:62995530-62997214,C12orf61,chr12,62995530,62997214,0.0014,0.5451765
KIF22/chr16:29802033-29816706,KIF22,chr16,29802033,29816706,0.0014,1.325966001
DIP2B/chr12:50898767-51142450,DIP2B,chr12,50898767,51142450,0.00143,1.698350232
STRA6/chr15:74471807-74502046,STRA6,chr15,74471807,74502046,0.00145,0.272981574
ACOT13/chr6:24667262-24705295,ACOT13,chr6,24667262,24705295,0.00151,1.289493575
NFAM1/chr22:42776413-42828401,NFAM1,chr22,42776413,42828401,0.00154,2.325566276
HSH2D/chr19:16244837-16269377,HSH2D,chr19,16244837,16269377,0.00159,0.591485886
SPRED1/chr15:38545051-38649450,SPRED1,chr15,38545051,38649450,0.0016,1.939933141
CDKN2B-AS1/chr9:21994789-22121093,CDKN2B-AS1,chr9,21994789,22121093,0.00161,0.464536058
LCN12/chr9:139846767-139849949,LCN12,chr9,139846767,139849949,0.0017,0.489354791
LOC727849/chr15:82763612-83182930,LOC727849,chr15,82763612,83182930,0.00178,1.728968553
DENND1A/chr9:126141932-126692417,DENND1A,chr9,126141932,126692417,0.00179,1.467304582
CD82/chr11:44587140-44641315,CD82,chr11,44587140,44641315,0.0018,1.651657579
SERTAD2/chr2:64858754-64881046,SERTAD2,chr2,64858754,64881046,0.00181,1.234033867
CARD11/chr7:2945709-3083509,CARD11,chr7,2945709,3083509,0.00181,0.566012844
AGSK1/chr15:82764077-83182901,AGSK1,chr15,82764077,83182901,0.00182,1.783778861
USP17/chr4:9217130-9366447,USP17,chr4,9217130,9366447,0.00182,0.132307503
LOC645431/chr14:65877310-65879335,LOC645431,chr14,65877310,65879335,0.00192,0.512461463
PDZK1/chr1:145727665-145764206,PDZK1,chr1,145727665,145764206,0.00199,0.441817339
MPV17/chr2:27532359-27545969,MPV17,chr2,27532359,27545969,0.00199,0.825153517
GSTM3/chr1:110276553-110283660,GSTM3,chr1,110276553,110283660,0.002,0.363713144
TBC1D2B/chr15:78287326-78369994,TBC1D2B,chr15,78287326,78369994,0.002,1.286235423
FAM204A/chr10:120068571-120101839,FAM204A,chr10,120068571,120101839,0.0021,0.887171707
DYNLT1/chr6:159057506-159065804,DYNLT1,chr6,159057506,159065804,0.0021,1.385490105
WASL/chr7:123321996-123389116,WASL,chr7,123321996,123389116,0.00212,1.204386937
LOC100133612/chr1:3816967-3832011,LOC100133612,chr1,3816967,3832011,0.0022,0.61594769
FSCN2/chr17:79495416-79504156,FSCN2,chr17,79495416,79504156,0.00226,0.658262722
ARL11/chr13:50202434-50208008,ARL11,chr13,50202434,50208008,0.00228,0.589687301
PATL2/chr15:44957929-44969086,PATL2,chr15,44957929,44969086,0.0023,0.65881293
OGT/chrX:70752911-70795747,OGT,chrX,70752911,70795747,0.0023,0.756336186
PGBD1/chr6:28249313-28270326,PGBD1,chr6,28249313,28270326,0.00231,1.596236137
PNOC/chr8:28174648-28200868,PNOC,chr8,28174648,28200868,0.002338,0.587355322
LOC728393/chr4:9326890-9366447,LOC728393,chr4,9326890,9366447,0.00239,0.166430491
AP1G2/chr14:24028776-24037279,AP1G2,chr14,24028776,24037279,0.0024,0.760652477
MRFAP1/chr4:6642444-6644449,MRFAP1,chr4,6642444,6644449,0.00244,1.200743552
USP17L5/chr4:9326890-9366447,USP17L5,chr4,9326890,9366447,0.00244,0.166430491
TPRKB/chr2:73956956-73964517,TPRKB,chr2,73956956,73964517,0.0025,0.75172393
CCDC110/chr4:186366337-186392913,CCDC110,chr4,186366337,186392913,0.00254,0.256341779
NEFH/chr22:29876180-29887277,NEFH,chr22,29876180,29887277,0.00256,0.18527811
LRSAM1/chr9:130213764-130265780,LRSAM1,chr9,130213764,130265780,0.0026,0.77922588
LOC728373/chr4:9326890-9366447,LOC728373,chr4,9326890,9366447,0.00265,0.166430491
METRNL/chr17:81037566-81052591,METRNL,chr17,81037566,81052591,0.0027,0.356493305
NAPSB/chr19:50837056-50848005,NAPSB,chr19,50837056,50848005,0.0027,0.311981613
LOC728400/chr4:9326890-9366447,LOC728400,chr4,9326890,9366447,0.0027,0.166430491
ZNF138/chr7:64254770-64294025,ZNF138,chr7,64254770,64294025,0.0027,0.851949446
TNFRSF10B/chr8:22877647-22926700,TNFRSF10B,chr8,22877647,22926700,0.0027,1.317792284
LOC728379/chr4:9326890-9366447,LOC728379,chr4,9326890,9366447,0.00276,0.166430491
MTRF1/chr13:41790515-41837713,MTRF1,chr13,41790515,41837713,0.0028,0.825744121
LOC728369/chr4:9326890-9366447,LOC728369,chr4,9326890,9366447,0.0028,0.166430491
SYNJ2/chr6:158402887-158520207,SYNJ2,chr6,158402887,158520207,0.0028,2.059927868
TJP2/chr9:71736179-71870124,TJP2,chr9,71736179,71870124,0.0028,1.77035458
PRKAR1B/chr7:588833-767313,PRKAR1B,chr7,588833,767313,0.00283,0.690764711
LOC728405/chr4:9326890-9366447,LOC728405,chr4,9326890,9366447,0.00287,0.166430491
SSH1/chr12:109176465-109251359,SSH1,chr12,109176465,109251359,0.0029,1.636246898
CASP14/chr19:15160290-15169103,CASP14,chr19,15160290,15169103,0.0029,0.299999992
MCTP1/chr5:94042288-94620279,MCTP1,chr5,94042288,94620279,0.0029,2.705914361
RRAGC/chr1:39305014-39325340,RRAGC,chr1,39305014,39325340,0.00296,1.695157187
PTTG1IP/chr21:46269499-46293818,PTTG1IP,chr21,46269499,46293818,0.00297,1.250748311
LOC100133445/chr1:2487207-2488450,LOC100133445,chr1,2487207,2488450,0.003,0.69429703
RASGRP1/chr15:38780301-38857007,RASGRP1,chr15,38780301,38857007,0.003,2.034523535
LINC00152/chr2:87754973-87821030,LINC00152,chr2,87754973,87821030,0.003,0.46835311
DEPDC5/chr22:32149936-32303020,DEPDC5,chr22,32149936,32303020,0.003,0.81746815
DMTF1/chr7:86781676-86825648,DMTF1,chr7,86781676,86825648,0.003,0.780428829
LOC100132741/chrX:70917045-70923256,LOC100132741,chrX,70917045,70923256,0.003,0.436588957
RAB7L1/chr1:205737113-205744610,RAB7L1,chr1,205737113,205744610,0.0031,1.655512935
NR2C1/chr12:95414057-95467404,NR2C1,chr12,95414057,95467404,0.0031,0.756739567
LHFP/chr13:39917028-40177356,LHFP,chr13,39917028,40177356,0.0031,2.25272127
HIF1A/chr14:62162118-62214977,HIF1A,chr14,62162118,62214977,0.0031,1.269320728
TMEM80/chr11:695615-704129,TMEM80,chr11,695615,704129,0.0032,0.716653655
TBXA2R/chr19:3594503-3606831,TBXA2R,chr19,3594503,3606831,0.0032,1.569771174
CALCRL/chr2:188207848-188313021,CALCRL,chr2,188207848,188313021,0.0033,1.901669018
ISLR2/chr15:74421714-74429143,ISLR2,chr15,74421714,74429143,0.0034,0.274682749
ZNF710/chr15:90544751-90625432,ZNF710,chr15,90544751,90625432,0.0034,1.212285214
SERINC5/chr5:79407049-79551898,SERINC5,chr5,79407049,79551898,0.0034,2.073948051
C1orf54/chr1:150245182-150253335,C1orf54,chr1,150245182,150253335,0.0035,0.402081648
NUDT4/chr12:93771700-93797024,NUDT4,chr12,93771700,93797024,0.0036,0.745490069
KLHL26/chr19:18747837-18781302,KLHL26,chr19,18747837,18781302,0.0036,1.144629361
EFR3B/chr2:25264972-25382004,EFR3B,chr2,25264972,25382004,0.0036,0.185421734
CBWD2/chr2:114195267-114253781,CBWD2,chr2,114195267,114253781,0.0036,0.788199278
DNAJC5B/chr8:66933790-67012755,DNAJC5B,chr8,66933790,67012755,0.0036,0.229461807
ITGB3/chr17:45331207-45390077,ITGB3,chr17,45331207,45390077,0.0037,2.353892098
KIAA1875/chr8:145162628-145173218,KIAA1875,chr8,145162628,145173218,0.0037,0.593136722
TMEM198B/chr12:56223391-56230030,TMEM198B,chr12,56223391,56230030,0.0038,0.723240078
FAS/chr10:90750287-90775542,FAS,chr10,90750287,90775542,0.0039,1.569665246
