row,gene.up,gene.down
1,A2LD1,AACS
2,A2ML1,AAGAB
3,AASS,AARSD1
4,ABCA1,AASDHPPT
5,ABCB7,ABCC12
6,ABCC9,ABCG4
7,ABCD2,ABHD12B
8,ABCD4,ABHD16A
9,ABHD3,ABLIM2
10,ABHD4,ACAD9
11,ABHD5,ACAT2
12,ACAA2,ACE
13,ACACB,ACHE
14,ACAD11,ACLY
15,ACADL,ACOT7
16,ACADS,ACOT8
17,ACAP2,ACOX3
18,ACBD5,ACP2
19,ACBD7,ACSL4
20,ACO1,ACTA2
21,ACOT1,ACTC1
22,ACOT11,ACTL6B
23,ACOX2,ACTN1
24,ACP6,ACTN2
25,ACSBG1,ACTR10
26,ACSF2,ACTR1B
27,ACSL5,ACTR3B
28,ACSM5,ACVR1C
29,ACSS1,ADAM11
30,ACSS3,ADAM19
31,ACTL6A,ADAM23
32,ADA,ADAMTS19
33,ADAMTS17,ADAMTS3
34,ADAMTS4,ADAMTS5
35,ADAMTS9,ADAMTS8
36,ADARB2,ADARB1
37,ADCY4,ADC
38,ADCYAP1R1,ADCK2
39,ADD3,ADCK3
40,ADI1,ADCY1
41,ADORA2B,ADCY7
42,ADRA1A,ADCYAP1
43,AFF1,ADD2
44,AGAP9,ADO
45,AGPAT5,ADORA3
46,AGT,ADRA1D
47,AGTRAP,ADSS
48,AGXT2L1,AFF2
49,AHCYL1,AFG3L2
50,AHNAK,AGBL4
51,AHSA2,AGK
52,AK3,AGMAT
53,AK4,AGPHD1
54,AKAP12,AHNAK2
55,AKAP7,AHRR
56,AKR1C3,AIF1
57,ALDH1L1,AK5
58,ALDH2,AKAP11
59,ALDH3B1,AKAP5
60,ALDH4A1,AKR1A1
61,ALDH6A1,AKR1B1
62,ALDH7A1,AKR1C1
63,ALDH9A1,AKR1C2
64,ALMS1,AKR1E2
65,ALS2CR12,ALAS1
66,AMOT,ALDH1A2
67,ANGPTL4,ALDOA
68,ANKAR,ALKBH6
69,ANKHD1-EIF4EBP3,AMDHD2
70,ANKIB1,AMIGO1
71,ANKRD18A,AMIGO2
72,ANKRD20A9P,AMPH
73,ANKRD26,ANKMY1
74,ANKRD30BL,ANKMY2
75,ANKRD36,ANKRD33B
76,ANKRD36B,ANKRD34C
77,ANKRD40,ANKRD46
78,ANKRD44,ANO3
79,ANLN,ANXA11
80,ANO6,ANXA6
81,ANP32B,AOC3
82,ANTXR1,AP1S1
83,ANTXR2,AP2A2
84,ANXA5,AP2B1
85,ANXA9,AP2M1
86,AP3B1,AP2S1
87,APC,AP3B2
88,APCDD1,APBA2
