geneInfo,gene,Chr,Start,Stop,pvalsReciprocal,naturalLogBeta_Reciprocal,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Asphd1/chr7:126946007-126949581,Asphd1,chr7,126946007,126949581,4.27E-09,0.60314064,233879,16p11.2,253982,ASPHD1
Tbc1d10b/chr7:127197458-127208468,Tbc1d10b,chr7,127197458,127208468,1.68E-08,0.537689082,68449,16p11.2,26000,TBC1D10B
Maz/chr7:127022136-127026479,Maz,chr7,127022136,127026479,1.70E-08,0.589087163,17188,16p11.2,4150,MAZ
Fam57b/chr7:126816884-126830219,Fam57b,chr7,126816884,126830219,1.82E-08,0.549992522,68952,16p11.2,83723,FAM57B
Taok2/chr7:126865676-126884967,Taok2,chr7,126865676,126884967,3.14E-08,0.551905856,381921,16p11.2,9344,TAOK2
Hirip3/chr7:126861971-126865122,Hirip3,chr7,126861971,126865122,4.85E-08,0.571103123,233876,16p11.2,8479,HIRIP3
Ypel3/chr7:126776974-126780514,Ypel3,chr7,126776974,126780514,6.85E-08,0.57123352,66090,16p11.2,83719,YPEL3
Kctd13/chr7:126928878-126945609,Kctd13,chr7,126928878,126945609,6.87E-08,0.563137681,233877,16p11.2,253980,KCTD13
Ppp4c/chr7:126785867-126792471,Ppp4c,chr7,126785867,126792471,1.34E-07,0.531797323,56420,16p11.2,5531,PPP4C
2900092E17Rik/chr7:127015050-127017352,2900092E17Rik,chr7,127015050,127017352,1.44E-07,0.600335995,NA,NA,NA,NA
Cd2bp2/chr7:127191659-127196000,Cd2bp2,chr7,127191659,127196000,1.89E-07,0.576724736,70233,16p11.2,10421,CD2BP2
Sez6l2/chr7:126950534-126970606,Sez6l2,chr7,126950534,126970606,2.12E-07,0.59883181,233878,16p11.2,26470,SEZ6L2
Prrt2/chr7:127017541-127021211,Prrt2,chr7,127017541,127021211,2.56E-07,0.58422312,69017,16p11.2,112476,PRRT2
Doc2a/chr7:126847552-126852705,Doc2a,chr7,126847552,126852705,9.37E-07,0.506535951,13446,16p11.2,8448,DOC2A
Cdipt/chr7:126976348-126980501,Cdipt,chr7,126976348,126980501,1.01E-06,0.540811747,52858,16p11.2,10423,CDIPT
