geneInfo,gene,Chr,Start,Stop,pvalsDel,FoldChange,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Prrt2/chr7:127017541-127021211,Prrt2,chr7,127017541,127021211,1.39E-09,0.445299525,69017,16p11.2,112476,PRRT2
Cd2bp2/chr7:127191659-127196000,Cd2bp2,chr7,127191659,127196000,1.42E-09,0.456836005,70233,16p11.2,10421,CD2BP2
Tbc1d10b/chr7:127197458-127208468,Tbc1d10b,chr7,127197458,127208468,9.89E-09,0.512456759,68449,16p11.2,26000,TBC1D10B
Tyr/chr7:87427404-87493411,Tyr,chr7,87427404,87493411,1.73E-08,5.413108649,22173,11q14-q21,7299,TYR
Kctd13/chr7:126928878-126945609,Kctd13,chr7,126928878,126945609,3.38E-08,0.490783861,233877,16p11.2,253980,KCTD13
Doc2a/chr7:126847552-126852705,Doc2a,chr7,126847552,126852705,3.81E-08,0.483297022,13446,16p11.2,8448,DOC2A
Fam57b/chr7:126816884-126830219,Fam57b,chr7,126816884,126830219,3.90E-08,0.482084474,68952,16p11.2,83723,FAM57B
Sez6l2/chr7:126950534-126970606,Sez6l2,chr7,126950534,126970606,4.81E-08,0.448190962,233878,16p11.2,26470,SEZ6L2
Coro1a/chr7:126699773-126704754,Coro1a,chr7,126699773,126704754,5.81E-08,0.457737295,12721,16p11.2,11151,CORO1A
Ino80e/chr7:126852432-126861463,Ino80e,chr7,126852432,126861463,7.29E-08,0.462161616,233875,16p11.2,283899,INO80E
Aldoa/chr7:126795233-126800447,Aldoa,chr7,126795233,126800447,1.63E-07,0.455238556,11674,16p11.2,226,ALDOA
Cdipt/chr7:126976348-126980501,Cdipt,chr7,126976348,126980501,1.65E-07,0.473212143,52858,16p11.2,10423,CDIPT
Hirip3/chr7:126861971-126865122,Hirip3,chr7,126861971,126865122,1.74E-07,0.492707291,233876,16p11.2,8479,HIRIP3
2900092E17Rik/chr7:127015050-127017352,2900092E17Rik,chr7,127015050,127017352,4.28E-07,0.462005529,NA,NA,NA,NA
Ypel3/chr7:126776974-126780514,Ypel3,chr7,126776974,126780514,8.84E-07,0.480935394,66090,16p11.2,83719,YPEL3
Taok2/chr7:126865676-126884967,Taok2,chr7,126865676,126884967,1.42E-06,0.519508595,381921,16p11.2,9344,TAOK2
Slx1b/chr7:126688926-126695783,Slx1b,chr7,126688926,126695783,1.52E-06,0.567215027,75764,16p11.2,79008,SLX1B
Maz/chr7:127022136-127026479,Maz,chr7,127022136,127026479,1.83E-06,0.492289013,17188,16p11.2,4150,MAZ
Asphd1/chr7:126946007-126949581,Asphd1,chr7,126946007,126949581,1.94E-06,0.510330496,233879,16p11.2,253982,ASPHD1
Ppp4c/chr7:126785867-126792471,Ppp4c,chr7,126785867,126792471,3.55E-06,0.505947611,56420,16p11.2,5531,PPP4C
2510009E07Rik/chr16:21649044-21694665,2510009E07Rik,chr16,21649044,21694665,7.17E-06,1.15847436,72190,3q27.2,285382,C3orf70
Tmem219/chr7:126886218-126898278,Tmem219,chr7,126886218,126898278,8.43E-06,0.461778029,68742,16p11.2,124446,TMEM219
E030010A14Rik/chr19:24674007-24679661,E030010A14Rik,chr19,24674007,24679661,9.15E-06,0.485503433,NA,NA,NA,NA
Dcaf5/chr12:80335846-80436601,Dcaf5,chr12,80335846,80436601,1.23E-05,1.065033561,320808,14q23-q24.1,8816,DCAF5
Mylpf/chr7:127211607-127214287,Mylpf,chr7,127211607,127214287,3.06E-05,0.377708819,17907,16p11.2,29895,MYLPF
Rnf111/chr9:70425428-70503725,Rnf111,chr9,70425428,70503725,3.47E-05,1.181722558,93836,15q21,54778,RNF111
Xiap/chrX:42067835-42109664,Xiap,chrX,42067835,42109664,3.52E-05,1.229014532,11798,Xq25,331,XIAP
Mapk3/chr7:126759625-126765816,Mapk3,chr7,126759625,126765816,3.67E-05,0.515242632,26417,16p11.2,5595,MAPK3
Rhobtb3/chr13:75869536-75943824,Rhobtb3,chr13,75869536,75943824,4.12E-05,1.18137515,73296,5q15,22836,RHOBTB3
Rrm2b/chr15:37923952-37961055,Rrm2b,chr15,37923952,37961055,6.42E-05,1.153928531,382985,8q23.1,50484,RRM2B
Gm608/chr16:44173396-44227466,Gm608,chr16,44173396,44227466,8.64E-05,1.153091313,207806,3q13.2,205717,KIAA2018
Wdr44/chrX:23693116-23806001,Wdr44,chrX,23693116,23806001,8.85E-05,1.161239859,72404,Xq24,54521,WDR44
Fchsd2/chr7:101108774-101284405,Fchsd2,chr7,101108774,101284405,8.92E-05,1.160888539,207278,11q13.4,9873,FCHSD2
Wac/chr18:7868857-7929027,Wac,chr18,7868857,7929027,0.000108246,1.113240894,225131,10p12.1-p11.2,51322,WAC
Parp1/chr1:180568974-180601254,Parp1,chr1,180568974,180601254,0.0001125,0.891465046,11545,1q41-q42,142,PARP1
Adar/chr3:89715021-89753455,Adar,chr3,89715021,89753455,0.000112723,0.888355135,56417,1q21.3,103,ADAR
Tshz3/chr7:36698117-36773457,Tshz3,chr7,36698117,36773457,0.000112755,1.254022275,243931,19q12,57616,TSHZ3
Kalrn/chr16:33969072-34514027,Kalrn,chr16,33969072,34514027,0.000115252,0.870234618,545156,3q21.2,8997,KALRN
Qrich1/chr9:108517086-108560167,Qrich1,chr9,108517086,108560167,0.000116351,1.078985267,69232,3p21.31,54870,QRICH1
Jrkl/chr9:13242789-13245741,Jrkl,chr9,13242789,13245741,0.000117031,1.254969879,77532,11q21,8690,JRKL
Bola2/chr7:126695999-126696693,Bola2,chr7,126695999,126696693,0.000121372,0.517098873,66162,16p11.2,552900,BOLA2
