seqname,GeneSymbol,EntrezID,unigene,ProteinAccession,FCAbsolute,regulation,chrom,strand,txStart,txEnd,source
NM_052855,ANKRD40,91369,Hs.463426,NP_443087,2.37,Up in ASD,chr17,-,48770551,48785270,RefSeq_coding
NM_021025,TLX3,30012,Hs.249125,NP_066305,2.4,Up in ASD,chr5,+,170736287,170739137,RefSeq_coding
NM_032411,C2orf40,84417,Hs.43125,NP_115787,2.66,Up in ASD,chr2,+,106682112,106694601,RefSeq_coding
NM_015482,SLC22A23,63027,Hs.713588,NP_068764,3.8,Up in ASD,chr6,-,3269206,3456793,RefSeq_coding
NM_003848,SUCLG2,8801,Hs.644919,NP_003839,3.12,Up in ASD,chr3,-,67425141,67705038,RefSeq_coding
NM_001114090,NGEF,25791,Hs.97316,NP_062824,2.29,Up in ASD,chr2,-,233743395,233792861,RefSeq_coding
NM_003481,USP5,8078,Hs.631661,NP_003472,2.97,Up in ASD,chr12,+,6961290,6975793,RefSeq_coding
NM_002100,GYPB,2994,Hs.654368,NP_002091,2.87,Up in ASD,chr4,-,144917256,144940496,RefSeq_coding
NM_006572,GNA13,10672,Hs.515018,NP_006563,2.83,Up in ASD,chr17,-,63005408,63052920,RefSeq_coding
NM_015055,SWAP70,23075,Hs.153026,NP_055870,3.07,Up in ASD,chr11,+,9685627,9774505,RefSeq_coding
NM_177987,TUBB8,347688,Hs.532659,NP_817124,3.91,Up in ASD,chr10,-,92827,95178,RefSeq_coding
NM_001144918,FGFR2,2263,Hs.533683,NP_075259,2.06,Up in ASD,chr10,-,123237844,123357972,RefSeq_coding
NM_001736,C5AR1,728,Hs.2161,NP_001727,2.43,Up in ASD,chr19,+,47813103,47825327,RefSeq_coding
NM_212474,FN1,2335,Hs.203717,NP_997647,2.74,Up in ASD,chr2,-,216225180,216300791,RefSeq_coding
NM_182704,SELV,348303,Hs.319284,NP_874363,2.05,Up in ASD,chr19,+,40005752,40011326,RefSeq_coding
NM_016632,ARL17A,641522,Hs.720602,,2.48,Up in ASD,chr17,-,44376500,44439163,RefSeq_coding
NM_001065,TNFRSF1A,7132,Hs.279594,NP_001056,6.72,Up in ASD,chr12,-,6437923,6451261,RefSeq_coding
NM_000702,ATP1A2,477,Hs.34114,NP_000693,3.14,Up in ASD,chr1,+,160085519,160113372,RefSeq_coding
NM_014629,ARHGEF10,9639,Hs.98594,NP_055444,6.36,Up in ASD,chr8,+,1772148,1906806,RefSeq_coding
NM_018295,TMEM140,55281,Hs.729122,NP_060765,4.46,Up in ASD,chr7,+,134832765,134850966,RefSeq_coding
NM_001001694,IL17REL,400935,Hs.526712,NP_001001694,2.48,Up in ASD,chr22,-,50432941,50451055,RefSeq_coding
NM_001172665,RAB40C,57799,Hs.459630,NP_066991,2.27,Up in ASD,chr16,+,640076,679273,RefSeq_coding
NM_005634,SOX3,6658,Hs.157429,NP_005625,2.06,Up in ASD,chrX,-,139585151,139587225,RefSeq_coding
NM_000138,FBN1,2200,Hs.591133,NP_000129,2.91,Up in ASD,chr15,-,48700503,48937985,RefSeq_coding
NM_000676,ADORA2B,136,Hs.167046,NP_000667,2.23,Up in ASD,chr17,+,15848230,15879210,RefSeq_coding
NM_001166266,LTBP1,4052,Hs.619315,NP_996826,2.9,Up in ASD,chr2,+,33359663,33624573,RefSeq_coding
NM_007085,FSTL1,11167,Hs.269512,NP_009016,3.44,Up in ASD,chr3,-,120113061,120169918,RefSeq_coding
NM_006477,RASL10A,10633,Hs.73088,NP_006468,2.3,Up in ASD,chr22,-,29708922,29711748,RefSeq_coding
NM_001024660,KALRN,8997,Hs.8004,NP_008995,2.75,Up in ASD,chr3,+,123813557,124440035,RefSeq_coding
NM_002747,MAPK4,5596,Hs.433728,NP_002738,4.28,Up in ASD,chr18,+,48086483,48258195,RefSeq_coding
