Rank,GeneSymbol,Symbol from mm9,Entrez Gene ID,RefSeq ID,Description
1,BSN,Bsn,12217,NM_007567.2,bassoon (presynaptic cytomatrix protein)
2,KIF1A,Kif1a,16560,NM_008440.3,kinesin family member 1A
3,MAP1A,Mtap1a,17754,NM_032393.1,microtubule-associated protein 1A
4,APC,Apc,11789,NM_007462.3,adenomatous polyposis coli
5,MAP1B,Mtap1b,17755,NM_008634.2,microtubule-associated protein 1B
6,AGAP2,Centg1,216439,NM_001033263.4,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
7,ADCY1,Adcy1,432530,NM_009622.1,adenylate cyclase 1 (brain)
8,LPHN1,Lphn1,330814,NM_181039.2,latrophilin 1
9,CYFIP2,Cyfip2,76884,NM_133769.2,cytoplasmic FMR1 interacting protein 2
10,ATP2B2,Atp2b2,11941,NM_009723.2,"ATPase, Ca++ transporting, plasma membrane 2"
11,NISCH,Nisch,64652,NM_022656.2,nischarin
12,KIF1B,Kif1b,16561,NM_207682.2,kinesin family member 1B
13,PTPRS,Ptprs,19280,NM_011218.2,"protein tyrosine phosphatase, receptor type, S"
14,SHANK1,Shank1,243961,NM_001034115.1,SH3 and multiple ankyrin repeat domains 1
15,HUWE1,Huwe1,59026,NM_021523.4,"HECT, UBA and WWE domain containing 1"
16,KIF5A,Kif5a,16572,NM_001039000.3,kinesin family member 5A
17,BAI2,Bai2,230775,NM_173071.2,brain-specific angiogenesis inhibitor 2
18,SYNGAP1,Syngap1,240057,XM_985548.2,synaptic Ras GTPase activating protein 1 homolog (rat)
19,KIAA0100,2610507B11Rik,72503,NM_001002004.1,KIAA0100
20,ATP1A3,Atp1a3,232975,NM_144921.1,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
21,BAT2,Bat2,53761,NM_020027.2,HLA-B associated transcript 2
22,KIAA0284,AW555464,217882,NM_001024602.3,KIAA0284
23,BAT2L1,5830434P21Rik,227723,NM_172661.2,HLA-B associated transcript 2-like 1
24,FASN,Fasn,14104,NM_007988.3,fatty acid synthase
25,WDFY3,Wdfy3,72145,NM_172882.2,WD repeat and FYVE domain containing 3
26,PDE2A,Pde2a,207728,NM_001008548.2,"phosphodiesterase 2A, cGMP-stimulated"
27,CHD3,Chd3,216848,NM_146019.2,chromodomain helicase DNA binding protein 3
28,ANK2,Ank2,109676,NM_178655.3,"ankyrin 2, neuronal"
29,ITPR1,Itpr1,16438,NM_010585.3,"inositol 1,4,5-triphosphate receptor, type 1"
30,NCDN,Ncdn,26562,NM_011986.4,neurochondrin
31,HIVEP2,Hivep2,15273,NM_010437.2,human immunodeficiency virus type I enhancer binding protein 2
32,TTC3,Ttc3,22129,NM_009441.2,tetratricopeptide repeat domain 3
33,HTT,Htt,15194,NM_010414.1,huntingtin
34,AATK,Aatk,11302,NM_007377.3,apoptosis-associated tyrosine kinase
35,ARHGAP32,Grit,330914,NM_177379.2,Rho GTPase activating protein 32
36,LMTK2,Lmtk2,231876,NM_001081109.1,lemur tyrosine kinase 2
37,CELSR2,Celsr2,53883,NM_017392.3,"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)"
38,EPB41L1,Epb4.1l1,13821,NM_001003815.2,erythrocyte membrane protein band 4.1-like 1
39,CAMK2A,Camk2a,12322,NM_177407.4,calcium/calmodulin-dependent protein kinase II alpha
40,CTNND2,Ctnnd2,18163,NM_008729.2,"catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)"
41,EEF2,Eef2,13629,NM_007907.1,eukaryotic translation elongation factor 2
42,DNM1,Dnm1,13429,NM_010065.2,dynamin 1
43,NLGN2,Nlgn2,216856,NM_198862.2,neuroligin 2
44,SPTBN2,Spnb3,20743,NM_021287.1,"spectrin, beta, non-erythrocytic 2"
45,PCLO,Pclo,26875,NM_011995.4,piccolo (presynaptic cytomatrix protein)
46,GRIN2B,Grin2b,14812,NM_008171.3,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"
47,NAV3,Nav3,260315,NM_001081035.1,neuron navigator 3
48,LRP1,Lrp1,16971,NM_008512.2,low density lipoprotein receptor-related protein 1
49,PREX1,BC067047,277360,NM_177782.3,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1"
50,NRXN2,Nrxn2,18190,NM_020253.2,neurexin 2
51,APC2,Apc2,23805,NM_011789.2,adenomatosis polyposis coli 2
52,DLG4,Dlg4,13385,NM_007864.3,"discs, large homolog 4 (Drosophila)"
53,NF1,Nf1,18015,NM_010897.2,neurofibromin 1
54,CAMTA2,Camta2,216874,NM_178116.3,calmodulin binding transcription activator 2
55,ANK3,Ank3,11735,NM_146005.3,"ankyrin 3, node of Ranvier (ankyrin G)"
56,ABR,Abr,109934,NM_198018.1,active BCR-related gene
57,MTSS1L,BC060632,244654,NM_198625.1,metastasis suppressor 1-like
58,LINGO1,Lingo1,235402,NM_181074.4,leucine rich repeat and Ig domain containing 1
59,GRIK5,Grik5,14809,NM_008168.2,"glutamate receptor, ionotropic, kainate 5"
60,MYCBP2,Mycbp2,105689,NM_207215.2,MYC binding protein 2
61,FRY,Fry,320365,NM_172887.2,furry homolog (Drosophila)
62,MAP2,Mtap2,17756,NM_001039934.1,microtubule-associated protein 2
63,MLL2,Mll2,381022,NM_001033276.2,myeloid/lymphoid or mixed-lineage leukemia 2
64,NCOR2,Ncor2,20602,NM_011424.2,nuclear receptor co-repressor 2
65,ABCA2,Abca2,11305,NM_007379.2,"ATP-binding cassette, sub-family A (ABC1), member 2"
66,SBF1,Sbf1,77980,NM_001081030.1,SET binding factor 1
67,MADD,Madd,228355,NM_145527.3,MAP-kinase activating death domain
68,CACNA1I,Cacna1i,239556,NM_001044308.2,"calcium channel, voltage-dependent, T type, alpha 1I subunit"
69,PCNX,Pcnx,54604,NM_018814.3,pecanex homolog (Drosophila)
70,KIF5C,Kif5c,16574,NM_008449.2,kinesin family member 5C
71,MYO5A,Myo5a,17918,NM_010864.2,"myosin VA (heavy chain 12, myoxin)"
72,AKAP6,Akap6,238161,NM_198111.2,A kinase (PRKA) anchor protein 6
73,SLC17A7,Slc17a7,72961,NM_182993.1,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7"
74,DGKZ,Dgkz,104418,NM_138306.1,"diacylglycerol kinase, zeta 104kDa"
75,DENND5A,Dennd5a,19347,NM_021494.1,DENN/MADD domain containing 5A
76,HERC2,Herc2,15204,NM_010418.2,hect domain and RLD 2
77,DYNC1H1,Dync1h1,13424,NM_030238.2,"dynein, cytoplasmic 1, heavy chain 1"
78,PKP4,Pkp4,227937,NM_026361.2,plakophilin 4
79,DST,Dst,13518,NM_134448.2,dystonin
80,BAI1,Bai1,107831,NM_174991.3,brain-specific angiogenesis inhibitor 1
81,PITPNM2,Pitpnm2,19679,NM_011256.1,"phosphatidylinositol transfer protein, membrane-associated 2"
82,PI4KA,Pi4ka,224020,NM_001001983.1,"phosphatidylinositol 4-kinase, catalytic, alpha"
83,SPTAN1,Spna2,20740,NM_001076554.1,"spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
84,SRRM2,Srrm2,75956,NM_175229.3,serine/arginine repetitive matrix 2
85,CREBBP,Crebbp,12914,NM_001025432.1,CREB binding protein
86,NBEA,Nbea,26422,NM_030595.1,neurobeachin
87,ATP5B,Atp5b,11947,NM_016774.3,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
88,SRCIN1,RP23-157O10.7,56013,NM_018873.2,SRC kinase signaling inhibitor 1
89,OGDH,Ogdh,18293,NM_010956.3,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
