GeneId,Gene Symbol,Chromosome,C1,A,C2, %inc Difference
ENSG00000082397,EPB41L3,18,5400565-5400618,5397700-5397735,5396776-5396967,0.608665938
ENSG00000075711,DLG1,3,198280487-198280528,198279770-198279805,198277972-198278022,0.564956394
ENSG00000151690,MFSD6,2,191070639-191070690,191072803-191072827,191072986-191073287,0.553518628
ENSG00000187391,MAGI2,7,77546200-77546340,77532827-77532915,77486979-77487229,0.553261092
ENSG00000151690,MFSD6,2,191070500-191070690,191072803-191072827,191072986-191073677,0.513446885
ENSG00000173744,AGFG1,2,228109915-228109953,228123019-228123066,228124919-228125077,0.510484568
ENSG00000147799,AC084125.9,8,145741441-145742002,145733913-145734005,145730321-145730394,0.507051944
ENSG00000105341,ATP5SL,19,46631282-46631418,46631017-46631179,46630060-46630153,0.490788852
ENSG00000034053,APBA2,15,27172570-27172715,27173773-27173808,27177985-27178071,0.489776702
ENSG00000144674,GOLGA4,3,37371596-37371682,37377738-37377800,37382575-37383245,0.488103106
ENSG00000115255,REEP6,19,1447284-1447452,1447590-1447670,1448173-1448336,0.473373622
ENSG00000118705,RPN2,20,35298397-35298526,35300219-35300266,35303120-35303207,0.468292683
ENSG00000069849,ATP1B3,3,143078338-143078442,143103668-143103759,143105152-143105280,0.463799673
ENSG00000082397,EPB41L3,18,5396776-5396967,5388020-5388142,5387057-5387425,0.455847289
ENSG00000151474,FRMD4A,10,13736422-13736518,13733909-13733980,13725718-13729041,0.453902843
ENSG00000068796,KIF2A,5,61697998-61698065,61704022-61704135,61705271-61705421,0.444628099
ENSG00000186648,LRRC16B,14,23604220-23604322,23604671-23604799,23605447-23605513,0.444444444
ENSG00000186453,AC009228.1,2,24240572-24240708,24244000-24244056,24245729-24246010,0.439496966
ENSG00000186575,NF2,22,28407428-28407590,28409009-28409068,28420741-28422051,0.429292929
ENSG00000151914,DST,6,56438835-56438967,56437442-56437513,56436322-56436521,0.425189323
ENSG00000163618,CADPS,3,62452054-62452195,62442438-62442584,62438976-62439131,0.423093494
ENSG00000151150,ANK3,10,61492875-61493018,61489462-61489770,61489104-61489194,0.420958352
ENSG00000185046,ANKS1B,12,97747083-97747262,97725753-97725824,97718906-97719034,0.419066339
ENSG00000073060,SCARB1,12,123836856-123837002,123833182-123833310,123829041-123829085,0.410753301
ENSG00000153707,PTPRD,9,8439725-8439837,8427198-8427239,8426592-8426689,0.409022556
ENSG00000197555,SIPA1L1,14,71238851-71238975,71241191-71241253,71241692-71241810,0.408328514
ENSG00000151914,DST,6,56436322-56436521,56435803-56435913,56432888-56433011,0.407981056
ENSG00000133884,DPF2,11,64868038-64868116,64868627-64868668,64869713-64869850,0.404761905
ENSG00000147403,RPL10,23,153281338-153281476,153281999-153282161,153282237-153282379,0.404448793
ENSG00000103351,CLUAP1,16,3522787-3522842,3523100-3523156,3526123-3526560,0.404343046
ENSG00000093100,MICAL3,22,16671610-16671703,16666577-16666627,16653968-16654067,0.402515723
ENSG00000100266,ARFGAP3,22,41604998-41605119,41602838-41602960,41602087-41602283,0.399122982
ENSG00000115504,EHBP1,2,63059827-63059974,63068570-63068677,63071355-63071479,0.396061759
ENSG00000175634,RPS6KB2,11,66956999-66957089,66957173-66957263,66957387-66957494,0.393150685
