Symbol,GeneName,ProbeName,RefSeq,SAM rank
UBE3A,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)",A_24_P381803,NM_130839,1
RASL10B,"RAS-like, family 10, member B",A_24_P322229,NM_033315,2
UBE3A,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)",A_24_P207150,NM_130839,3
CYFIP1,cytoplasmic FMR1 interacting protein 1,A_23_P140648,NM_014608,4
CMKOR1,chemokine orphan receptor 1,A_23_P131676,NM_020311,5
GCET2,germinal center expressed transcript 2,A_24_P182947,NM_001008756,6
CIB4,calcium and integrin binding family member 4,A_23_P56913,NM_001029881,7
AK024516,,A_32_P218806,b,8
ARHGAP27,Rho GTPase activating protein 27,A_23_P141335,NM_199282,9
TNFRSF8,"tumor necrosis factor receptor superfamily, member 8",A_23_P500614,NM_001243,10
GRCA,"gene rich cluster, A gene",A_23_P99141,NM_019858,11
NDFIP1,Nedd4 family interacting protein 1,A_23_P81247,NM_030571,12
NDFIP1,Nedd4 family interacting protein 1,A_24_P209109,NM_030571,13
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,A_24_P234214,NM_138394,14
SAV1,salvador homolog 1 (Drosophila),A_24_P287473,NM_021818,15
FKSG44,FKSG44 gene,A_23_P13007,b,16
X57818,,A_24_P173566,b,17
X57802,,A_24_P519504,b,18
ENST00000242558,,A_24_P57889,ns,19
ENTPD7,ectonucleoside triphosphate diphosphohydrolase 7,A_23_P86623,NM_020354,20
CR620977,,A_32_P405942,b,21
PAQR8,progestin and adipoQ receptor family member VIII,A_24_P334640,NM_133367,22
CLDN23,claudin 23,A_23_P134854,NM_194284,23
TNFAIP8L1,"tumor necrosis factor, alpha-induced protein 8-like 1",A_23_P428875,NM_152362,24
SLC25A2,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 2,A_23_P92650,NM_031947,25
A_24_P187298,,A_24_P187298,0,26
LCP2,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa),A_23_P30547,NM_005565,27
BC043279,,A_32_P97385,b,28
NRGN,"neurogranin (protein kinase C substrate, RC3)",A_23_P116264,NM_006176,29
AK026647,,A_24_P835500,b,30
CCL17,chemokine (C-C motif) ligand 17,A_23_P26325,NM_002987,31
PRKCI,"protein kinase C, iota",A_23_P18392,NM_002740,32
A_23_P143676,,A_23_P143676,0,33
PRICKLE1,prickle-like 1 (Drosophila),A_23_P408285,NM_153026,34
