GeneInfo,GeneID,Chr,Start,Stop,permPval_Del,FoldChange
TAOK2/chr16:29985187-30003582,TAOK2,chr16,29985187,30003582,0,0.546630241
PPP4C/chr16:30087383-30096695,PPP4C,chr16,30087383,30096695,0,0.59474987
CDIPT/chr16:29869677-29874578,CDIPT,chr16,29869677,29874578,1.00E-06,0.588756661
HIRIP3/chr16:30003641-30007417,HIRIP3,chr16,30003641,30007417,1.00E-06,0.515433437
INO80E/chr16:30007530-30017112,INO80E,chr16,30007530,30017112,1.00E-06,0.499785172
KIF22/chr16:29802033-29816706,KIF22,chr16,29802033,29816706,6.00E-06,0.480922278
NFYB/chr12:104510857-104532040,NFYB,chr12,104510857,104532040,1.80E-05,0.759766155
C16orf53/chr16:29827527-29833816,C16orf53,chr16,29827527,29833816,2.00E-05,0.48893682
KCTD13/chr16:29917660-29937545,KCTD13,chr16,29917660,29937545,2.00E-05,0.593641963
CORO1A/chr16:30194730-30200397,CORO1A,chr16,30194730,30200397,3.50E-05,0.587197188
MAZ/chr16:29817854-29822504,MAZ,chr16,29817854,29822504,3.90E-05,0.499968317
DPY19L3/chr19:32896654-32976799,DPY19L3,chr19,32896654,32976799,0.000144,0.751108663
DBF4B/chr17:42785975-42829636,DBF4B,chr17,42785975,42829636,0.000149,0.730197905
SPN/chr16:29674299-29681823,SPN,chr16,29674299,29681823,0.000153,0.596459075
XRCC2/chr7:152343586-152373250,XRCC2,chr7,152343586,152373250,0.000184,0.608642429
MATL2963/chr12:7260903-7274447,MATL2963,chr12,7260903,7274447,0.000346,0.684060359
ZNF37BP/chr10:43008960-43048280,ZNF37BP,chr10,43008960,43048280,0.000381,0.657713601
MMS22L/chr6:97590036-97731052,MMS22L,chr6,97590036,97731052,0.000383,0.663343025
VPS18/chr15:41186627-41196173,VPS18,chr15,41186627,41196173,0.000384,1.348438083
PKD2/chr4:88928798-88998931,PKD2,chr4,88928798,88998931,0.000398,0.647182442
GTSE1/chr22:46692637-46726707,GTSE1,chr22,46692637,46726707,0.000453,0.688362861
NAA16/chr13:41885340-41951166,NAA16,chr13,41885340,41951166,0.000468,0.76305572
FANCD2/chr3:10068112-10143614,FANCD2,chr3,10068112,10143614,0.000533,0.725330799
POLE/chr12:133200347-133263945,POLE,chr12,133200347,133263945,0.000538,0.741709879
CENPJ/chr13:25456411-25497085,CENPJ,chr13,25456411,25497085,0.000538,0.64508243
LIG1/chr19:48618702-48673560,LIG1,chr19,48618702,48673560,0.000553,0.758011913
FAM111A/chr11:58910317-58922511,FAM111A,chr11,58910317,58922511,0.000566,0.655929394
SMC4/chr3:160117429-160152741,SMC4,chr3,160117429,160152741,0.00057,0.68288065
FAM122B/chrX:133903595-133931262,FAM122B,chrX,133903595,133931262,0.000636,0.816536962
FAM57B/chr16:30035747-30042186,FAM57B,chr16,30035747,30042186,0.00065,0.316853861
ACAD9/chr3:128598332-128631957,ACAD9,chr3,128598332,128631957,0.000659,0.73819008
PABPC1L/chr20:43538702-43567962,PABPC1L,chr20,43538702,43567962,0.000662,0.634583278
ILF3/chr19:10764936-10803095,ILF3,chr19,10764936,10803095,0.000676,0.847835124
MAPK3/chr16:30125425-30134630,MAPK3,chr16,30125425,30134630,0.00068,0.594936502
BRCA1/chr17:41196311-41277468,BRCA1,chr17,41196311,41277468,0.00073,0.616278524
ORC3/chr6:88299784-88377172,ORC3,chr6,88299784,88377172,0.00078,0.812276439
CENPF/chr1:214776531-214837914,CENPF,chr1,214776531,214837914,0.000783,0.68006354
LOC100129083/chr19:51919159-51920679,LOC100129083,chr19,51919159,51920679,0.00091,0.458304966
UBTD1/chr10:99258767-99330960,UBTD1,chr10,99258767,99330960,0.00092,1.72822181
NSUN6/chr10:18834263-18940550,NSUN6,chr10,18834263,18940550,0.00095,0.73017911
KIF14/chr1:200520624-200589862,KIF14,chr1,200520624,200589862,0.001008,0.657777028
ALDOA/chr16:30064410-30081741,ALDOA,chr16,30064410,30081741,0.001023,0.608557327
CCDC18/chr1:93646280-93744287,CCDC18,chr1,93646280,93744287,0.00104,0.627584802
SASS6/chr1:100549101-100598511,SASS6,chr1,100549101,100598511,0.001058,0.657721758
FAM120C/chrX:54094756-54209714,FAM120C,chrX,54094756,54209714,0.00118,0.702548681
C9orf100/chr9:35659340-35665278,C9orf100,chr9,35659340,35665278,0.00119,0.650962876
KIF24/chr9:34252377-34329198,KIF24,chr9,34252377,34329198,0.0012,0.665202002
C21orf58/chr21:47721046-47743785,C21orf58,chr21,47721046,47743785,0.001203,0.632530634
HNRNPA2B1/chr7:26229555-26240413,HNRNPA2B1,chr7,26229555,26240413,0.00124,0.768554403
HERC2P3/chr15:20613649-20711433,HERC2P3,chr15,20613649,20711433,0.001245,0.627742778
KIAA1731/chr11:93394815-93463522,KIAA1731,chr11,93394815,93463522,0.001302,0.702801828
WHSC1/chr4:1873122-1983934,WHSC1,chr4,1873122,1983934,0.001319,0.748169161
MYO19/chr17:34851598-34891305,MYO19,chr17,34851598,34891305,0.001405,0.719398392
LINC00204B/chrX:153799478-153861448,LINC00204B,chrX,153799478,153861448,0.00141,0.48185622
SRSF10/chr1:36272-24306953,SRSF10,chr1,36272,24306953,0.00143,0.822550583
LINC00204A/chrX:153799478-153861448,LINC00204A,chrX,153799478,153861448,0.00148,0.48185622
POLQ/chr3:121150272-121264853,POLQ,chr3,121150272,121264853,0.00162,0.614454537
METTL3/chr14:21966281-21979457,METTL3,chr14,21966281,21979457,0.001644,0.779298024
STX7/chr6:132778662-132834337,STX7,chr6,132778662,132834337,0.00178,0.760026229
CLK2P/chr7:23624334-23626146,CLK2P,chr7,23624334,23626146,0.00179,0.543327049
HNRNPH1/chr5:179041178-179050722,HNRNPH1,chr5,179041178,179050722,0.0018,0.779248399
RPLP1/chr15:69745158-69747884,RPLP1,chr15,69745158,69747884,0.001806,1.408478974
TCHP/chr12:110338078-110355874,TCHP,chr12,110338078,110355874,0.00184,0.780092707
FANCA/chr16:89803958-89883065,FANCA,chr16,89803958,89883065,0.00186,0.700652293
TAF1L/chr9:32629451-32635667,TAF1L,chr9,32629451,32635667,0.00186,0.617795586
C2orf63/chr2:55399686-55459699,C2orf63,chr2,55399686,55459699,0.00188,0.552519691
RBM10/chrX:47004616-47046214,RBM10,chrX,47004616,47046214,0.001905,0.85653016
KNTC1/chr12:123011808-123110947,KNTC1,chr12,123011808,123110947,0.00193,0.695114966
RBM41/chrX:106305117-106362057,RBM41,chrX,106305117,106362057,0.00194,0.743964408
HNRNPUL2/chr11:62480096-62494857,HNRNPUL2,chr11,62480096,62494857,0.00198,0.841418247
INVS/chr9:102861510-103063426,INVS,chr9,102861510,103063426,0.00198,0.773793462
EDA2R/chrX:65815481-65859140,EDA2R,chrX,65815481,65859140,0.00198,0.685574025
OMA1/chr1:58946390-59012446,OMA1,chr1,58946390,59012446,0.00208,0.730612654
CARD8/chr19:48711342-48759203,CARD8,chr19,48711342,48759203,0.00211,0.730690072
ZNF761/chr19:53935226-53961515,ZNF761,chr19,53935226,53961515,0.00217,0.74736052
CHCHD6/chr3:126423117-126679244,CHCHD6,chr3,126423117,126679244,0.00225,1.447262057
FOXM1/chr12:2966846-2986321,FOXM1,chr12,2966846,2986321,0.0023,0.707294927
KIF15/chr3:44803208-44894748,KIF15,chr3,44803208,44894748,0.00232,0.643842941
TMEM79/chr1:156252703-156262234,TMEM79,chr1,156252703,156262234,0.00234,0.741300701
ALG8/chr11:77811987-77850699,ALG8,chr11,77811987,77850699,0.00242,0.805012496
C12orf32/chr12:2986364-2998626,C12orf32,chr12,2986364,2998626,0.00242,0.841959899
TTC13/chr1:231041986-231114618,TTC13,chr1,231041986,231114618,0.00244,0.795208249
FANCM/chr14:45605135-45670093,FANCM,chr14,45605135,45670093,0.0025,0.731693931
CNTRL/chr9:123850573-123939886,CNTRL,chr9,123850573,123939886,0.002554,0.718104179
KHDC1/chr6:73951037-74019938,KHDC1,chr6,73951037,74019938,0.00258,0.668657977
FAM120A/chr9:96214172-96328397,FAM120A,chr9,96214172,96328397,0.002612,0.761520106
TRA2A/chr7:23544400-23571656,TRA2A,chr7,23544400,23571656,0.00264,0.827968037
C17orf57/chr17:45401326-45518677,C17orf57,chr17,45401326,45518677,0.00268,0.601852299
ACIN1/chr14:23527773-23564823,ACIN1,chr14,23527773,23564823,0.00274,0.856619219
THOC1/chr18:214519-268059,THOC1,chr18,214519,268059,0.00274,0.761624061
CLK2/chr1:155232658-155243281,CLK2,chr1,155232658,155243281,0.00275,0.716674261
TFAP4/chr16:4307186-4323001,TFAP4,chr16,4307186,4323001,0.00278,0.691950426
OTUD3/chr1:20208887-20239437,OTUD3,chr1,20208887,20239437,0.0028,0.793084313
LOC100192204/chr10:15196720-15197346,LOC100192204,chr10,15196720,15197346,0.00281,0.474839805
L2HGDH/chr14:50709151-50778947,L2HGDH,chr14,50709151,50778947,0.00281,0.79128494
