GeneInfo,GeneID,Chr,Start,Stop,permutedPval_Reciprocal,NaturalLogBeta_Reciprocal
BOLA2B/chr16:29464913-30205627,BOLA2B,chr16,29464913,30205627,0,0.351027749
SPN/chr16:29674299-29681823,SPN,chr16,29674299,29681823,0,0.476253482
QPRT/chr16:29690440-29709314,QPRT,chr16,29690440,29709314,0,0.562670229
KIF22/chr16:29802033-29816706,KIF22,chr16,29802033,29816706,0,0.520466003
C16orf53/chr16:29827527-29833816,C16orf53,chr16,29827527,29833816,0,0.540650278
CDIPT/chr16:29869677-29874578,CDIPT,chr16,29869677,29874578,0,0.484878
KCTD13/chr16:29917660-29937545,KCTD13,chr16,29917660,29937545,0,0.408526428
TMEM219/chr16:29973350-29984373,TMEM219,chr16,29973350,29984373,0,0.426344091
TAOK2/chr16:29985187-30003582,TAOK2,chr16,29985187,30003582,0,0.508450163
HIRIP3/chr16:30003641-30007417,HIRIP3,chr16,30003641,30007417,0,0.544448533
ALDOA/chr16:30064410-30081741,ALDOA,chr16,30064410,30081741,0,0.461070112
PPP4C/chr16:30087383-30096695,PPP4C,chr16,30087383,30096695,0,0.497849216
MAPK3/chr16:30125425-30134630,MAPK3,chr16,30125425,30134630,0,0.468577873
CORO1A/chr16:30194730-30200397,CORO1A,chr16,30194730,30200397,0,0.447285598
BOLA2/chr16:29464913-30205627,BOLA2,chr16,29464913,30205627,1.00E-06,0.351027749
MVP/chr16:29831714-29859360,MVP,chr16,29831714,29859360,1.00E-06,0.433317237
MAZ/chr16:29817854-29822504,MAZ,chr16,29817854,29822504,3.00E-06,0.433779759
LOC606724/chr16:29460665-30200575,LOC606724,chr16,29460665,30200575,2.10E-05,0.428371081
FTCD/chr21:47556175-47575481,FTCD,chr21,47556175,47575481,3.60E-05,-0.828228502
SH2D3A/chr19:6752172-6767523,SH2D3A,chr19,6752172,6767523,0.00022,-0.189736379
OR6W1P/chr7:142759380-142760882,OR6W1P,chr7,142759380,142760882,0.000261,-0.247019439
C1orf216/chr1:36179476-36184790,C1orf216,chr1,36179476,36184790,0.000279,0.136283873
GUSBP11/chr22:23980674-24059610,GUSBP11,chr22,23980674,24059610,0.000455,-0.19649656
SLFN11/chr17:33677328-33700720,SLFN11,chr17,33677328,33700720,0.000595,0.508985984
