ID,log2 fold change,Average Expression,moderated t-statistic,nominal p-value,Benjamini-Hochberg adjusted p-value,Gene Symbol,Gene Title,Chromosomal Location,Alignments
201253_s_at,0.720,9.177,35.703,1.23E-56,2.89E-52,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,chr16p11.2,chr16:29869682-29874511 (-) // 90.07 // p11.2
208932_at,0.913,7.310,28.707,1.92E-48,2.26E-44,PPP4C,"protein phosphatase 4, catalytic subunit",chr16p11.2,chr16:30087347-30096673 (+) // 94.74 // p11.2
224981_at,0.865,7.549,25.189,1.07E-43,8.45E-40,TMEM219,transmembrane protein 219,chr16p11.2,chr16:29973365-29984369 (+) // 89.18 // p11.2
227286_at,0.781,5.920,24.702,5.34E-43,3.15E-39,INO80E,INO80 complex subunit E,chr16p11.2,chr16:30016390-30017111 (+) // 95.99 // p11.2
231878_at,0.906,5.229,22.735,4.42E-40,2.09E-36,C16orf53,chromosome 16 open reading frame 53,chr16p11.2,chr16:29831190-29833943 (+) // 89.32 // p11.2
238142_at,0.869,5.995,21.863,9.91E-39,3.90E-35,---,---,---,chr16:29924464-29924876 (-) // 9.52 // p11.2
209836_x_at,0.628,9.808,21.108,1.57E-37,5.28E-34,BOLA2 /// BOLA2B,bolA homolog 2 (E. coli) /// bolA homolog 2B (E. coli),chr16p11.2,chr16:30204254-30205015 (-) // 72.51 // p11.2 /// chr16:29464912-29465673 (-) // 72.51 // p11.2
214687_x_at,0.574,11.698,20.339,2.79E-36,8.23E-33,ALDOA,"aldolase A, fructose-bisphosphate",chr16p11.2,chr16:30077096-30081734 (+) // 96.9 // p11.2
200966_x_at,0.563,11.672,20.197,4.79E-36,1.26E-32,ALDOA,"aldolase A, fructose-bisphosphate",chr16p11.2,chr16:30075505-30081734 (+) // 99.93 // p11.2
45653_at,0.714,4.896,19.472,7.82E-35,1.85E-31,KCTD13,potassium channel tetramerisation domain containing 13,chr16p11.2,chr16:29917659-29918159 (-) // 88.54 // p11.2
209083_at,0.750,10.172,18.953,5.97E-34,1.28E-30,CORO1A,"coronin, actin binding protein, 1A",chr16p11.2,chr16:30194955-30200396 (+) // 96.98 // p11.2
204504_s_at,0.809,6.452,18.162,1.42E-32,2.79E-29,HIRIP3,HIRA interacting protein 3,chr16p11.2,chr16:30004316-30007316 (-) // 96.88 // p11.2
218300_at,0.844,6.605,16.961,2.03E-30,3.68E-27,C16orf53,chromosome 16 open reading frame 53,chr16p11.2,chr16:29827831-29831434 (+) // 97.1 // p11.2
238996_x_at,0.715,7.509,16.734,5.28E-30,8.90E-27,ALDOA,"aldolase A, fructose-bisphosphate",chr16p11.2,chr16:30081267-30081688 (+) // 72.15 // p11.2
212064_x_at,0.565,4.608,16.424,1.98E-29,3.12E-26,MAZ,MYC-associated zinc finger protein (purine-binding transcription factor),chr16p11.2,chr16:29817857-29822485 (+) // 80.34 // p11.2
202180_s_at,0.758,6.936,16.058,9.54E-29,1.41E-25,MVP,major vault protein,chr16p11.2,chr16:29831787-29859342 (+) // 99.19 // p11.2
204044_at,0.812,7.982,15.950,1.52E-28,2.12E-25,QPRT,quinolinate phosphoribosyltransferase,chr16p11.2,chr16:29690474-29708956 (+) // 85.36 // p11.2
202183_s_at,0.828,5.504,15.437,1.43E-27,1.88E-24,KIF22,kinesin family member 22,chr16p11.2,chr16:29802057-29816706 (+) // 99.86 // p11.2
223179_at,0.806,6.507,14.275,2.59E-25,3.22E-22,YPEL3,yippee-like 3 (Drosophila),chr16p11.2,chr16:30103635-30106757 (-) // 87.83 // p11.2
221889_at,0.470,4.161,14.163,4.29E-25,5.06E-22,KCTD13,potassium channel tetramerisation domain containing 13,chr16p11.2,chr16:29917659-29937536 (-) // 96.18 // p11.2
242414_at,0.771,8.113,12.944,1.21E-22,1.36E-19,QPRT,quinolinate phosphoribosyltransferase,chr16p11.2,chr16:29709255-29710020 (+) // 28.84 // p11.2
204986_s_at,0.346,3.598,12.583,6.61E-22,7.10E-19,TAOK2,TAO kinase 2,chr16p11.2,chr16:29985259-29999719 (+) // 97.04 // p11.2
218317_x_at,0.478,7.536,12.375,1.78E-21,1.82E-18,SLX1A /// SLX1B,SLX1 structure-specific endonuclease subunit homolog A (S. cerevisiae) /// SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae),chr16p11.2,chr16:29465874-29469538 (+) // 97.45 // p11.2 /// chr16:30205216-30208880 (+) // 97.45 // p11.2
1568964_x_at,0.932,6.439,11.637,6.07E-20,5.97E-17,SPN,sialophorin,chr16p11.2,chr16:29679334-29681756 (+) // 20.64 // p11.2
1559584_a_at,0.614,8.814,11.445,1.53E-19,1.44E-16,C16orf54,chromosome 16 open reading frame 54,chr16p11.2,chr16:29488505-29756274 (-) // 62.93 // p11.2
216969_s_at,0.445,3.606,11.222,4.51E-19,4.09E-16,KIF22,kinesin family member 22,chr16p11.2,chr16:29802056-29810116 (+) // 100.0 // p11.2
233334_x_at,0.434,5.971,10.599,9.32E-18,8.14E-15,SLX1A /// SLX1B /// SULT1A3 /// SULT1A4,"SLX1 structure-specific endonuclease subunit homolog A (S. cerevisiae) /// SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae) /// sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 /// sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",chr16p11.2,chr16:29465875-29469538 (+) // 96.33 // p11.2 /// chr16:30205217-30208880 (+) // 96.33 // p11.2
212046_x_at,0.364,5.257,10.588,9.87E-18,8.32E-15,MAPK3,mitogen-activated protein kinase 3,chr16p11.2,chr16:30124947-30134557 (-) // 94.16 // p11.2
210580_x_at,0.458,7.618,10.209,6.28E-17,5.11E-14,SULT1A3 /// SULT1A4,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 /// sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",chr16p11.2,chr16:29471246-29476234 (+) // 80.0 // p11.2 /// chr16:30210588-30215579 (+) // 80.0 // p11.2
228513_at,0.372,3.502,10.188,6.96E-17,5.48E-14,TMEM219,transmembrane protein 219,chr16p11.2,chr16:29983250-29984369 (+) // 73.39 // p11.2
244766_at,0.454,6.391,9.583,1.35E-15,1.03E-12,LOC100271836 /// LOC440354 /// LOC595101 /// LOC641298 /// SMG1,"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase pseudogene /// PI-3-kinase-related kinase SMG-1 pseudogene /// PI-3-kinase-related kinase SMG-1 pseudogene /// SMG1 homolog, phosphatidylinositol 3-kinase-related kinase pseudogene /// SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)",chr16p11.2 /// chr16p12.2 /// chr16p12.3,chr16:22496040-22496882 (+) // 85.91 // p12.2 /// chr16:29546601-29547445 (-) // 73.34 // p11.2 /// chr16:30286586-30287430 (-) // 80.68 // p11.2 /// chr16:29444834-29445679 (-) // 73.34 // p11.2 /// chr16:21896905-21897747 (-) // 86.03 // p12.2 /// chr16:21464662-21465504 (-) // 85.91 // p12.2 /// chr16:70262891-70263737 (-) // 79.39 // q22.1 /// chr16:18877200-18878039 (-) // 79.05 // p12.3
209607_x_at,0.523,5.512,9.560,1.52E-15,1.12E-12,SULT1A3 /// SULT1A4,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 /// sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",chr16p11.2,chr16:29472700-29475973 (+) // 100.0 // p11.2 /// chr16:30212043-30215318 (+) // 100.0 // p11.2 /// chr16:28617064-28620182 (-) // 92.89 // p11.2 /// chr16:28603271-28607257 (-) // 91.56 // p11.2
229697_at,0.349,4.014,9.241,7.27E-15,5.20E-12,HIRIP3,HIRA interacting protein 3,chr16p11.2,chr16:29592814-30004393 (-) // 70.65 // p11.2
1559125_at,0.433,3.166,8.805,6.15E-14,4.27E-11,C16orf53,Chromosome 16 open reading frame 53,chr16p11.2,chr16:29829303-29833057 (-) // 69.0 // p11.2
1564154_at,0.705,5.893,8.664,1.23E-13,8.29E-11,---,---,---,---
1564155_x_at,0.615,6.227,8.538,2.27E-13,1.49E-10,---,---,---,---
219722_s_at,0.241,3.320,8.430,3.86E-13,2.46E-10,GDPD3,glycerophosphodiester phosphodiesterase domain containing 3,chr16p11.2,chr16:30116131-30124858 (-) // 89.52 // p11.2
203615_x_at,0.339,6.522,8.390,4.68E-13,2.90E-10,SULT1A1,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1",chr16p12.1,chr16:28616917-28620649 (-) // 75.71 // p11.2 /// chr16:28603274-28607735 (-) // 70.47 // p11.2
208118_x_at,0.309,6.507,8.344,5.85E-13,3.54E-10,LOC100271836 /// LOC440354 /// LOC595101 /// LOC641298 /// SLC7A5P1 /// SLC7A5P2,"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase pseudogene /// PI-3-kinase-related kinase SMG-1 pseudogene /// PI-3-kinase-related kinase SMG-1 pseudogene /// SMG1 homolog, phosphatidylinositol 3-kinase-related kinase pseudogene /// solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 pseudogene 1 /// solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 pseudogene 2",chr16p11.2 /// chr16p12.2,chr16:22462940-22486358 (+) // 69.35 // p12.2 /// chr16:21475225-21531765 (-) // 98.49 // p12.2 /// chr16:29556682-29625040 (-) // 97.11 // p11.2 /// chr16:30296689-30317283 (-) // 68.92 // p11.2 /// chr16:21907024-21930424 (-) // 69.25 // p12.2 /// chr16:18887626-18908287 (-) // 68.02 // p12.3
243166_at,-0.316,6.670,-8.284,7.85E-13,4.55E-10,SLC30A5,"solute carrier family 30 (zinc transporter), member 5",chr5q12.1,chr5:68426360-68426892 (+) // 94.49 // q13.2
