Sequence Name,Sequence Symbol,Source,Fold Change (Absolute),Directional Change in ASD,RNAlength (nt),Chromosome,Strand,Tx Start,Tx End,Genomic Orientation
NR_027273,C21orf121,RefSeq_NR,81.10,down,1073,chr21,+,43442112,43445060,intergenic
uc003wpf.1,AK128400,UCSC_knowngene,49.04,down,3993,chr8,-,590407,594400,intergenic
ENST00000433573,AC026166.2,Ensembl,41.84,up,344,chr3,-,12206798,12207142,intronic antisense
AF146695,,misc_RNA,14.20,down,975,chr10,-,43246638,43247593,intergenic
NR_002201,FTHL3,RefSeq_NR,14.09,down,954,chr2,-,27615489,27616443,intron sense-overlapping
uc001pen.1,AF086184,UCSC_knowngene,9.60,down,707,chr11,-,93800139,93862566,natural antisense
AY927476,,RNAdb,9.20,down,963,chr19,+,39308110,39330817,natural antisense
AF222858,,misc_RNA,8.45,down,501,chr5,-,93979043,93989090,natural antisense
ENST00000418945,RP11-98I9.4,Ensembl,8.11,down,1638,chr6,+,99872797,99879249,natural antisense
AK021572,,misc_RNA,7.80,up,1546,chr2,-,37547592,37549138,intergenic
uc001vvq.1,BC016035,UCSC_knowngene,7.32,down,1169,chr14,-,19856360,19925333,intergenic
uc003thg.2,CR606158,UCSC_knowngene,7.28,down,1572,chr7,-,39893287,39894859,intergenic
ENST00000356912,RP11-509M23.1,Ensembl,7.28,down,486,chr5,-,84295632,84296130,intergenic
AF086549,,misc_RNA,6.91,down,436,chr2,-,203741838,203742246,intergenic
ENST00000422631,AC013269.4,Ensembl,6.85,down,727,chr2,+,131287847,131294755,intergenic
ENST00000514120,RP11-96J15.2,Ensembl,6.51,down,227,chr9,-,46786248,46787634,intergenic
AK127715,,misc_RNA,6.11,down,1926,chr9,+,129281118,129283052,intergenic
NR_033667,GYG2P1,RefSeq_NR,5.96,down,824,chrY,-,14517915,14533389,intergenic
uc004bxy.1,AK024177,UCSC_knowngene,5.49,down,1670,chr9,+,132251385,132275963,intergenic
ENST00000473625,RP11-553L6.3,Ensembl,5.48,up,1624,chr3,-,113950244,113951868,intergenic
AF318328,,misc_RNA,5.28,up,1179,chr12,-,58211996,58213155,intergenic
DB068418,lincRNA-SERP2-4,lincRNA,5.13,up,534,chr13,+,44482804,44596796,intergenic
uc003jcj.1,BC034612,UCSC_knowngene,5.06,up,1616,chr5,-,1363696,1380182,intergenic
ENST00000305671,RP11-374M1.7,Ensembl,5.05,down,201,chr9,-,44997999,44998719,intergenic
ENST00000447550,AC018500.3,Ensembl,4.98,down,631,chr3,-,12595266,12602519,intronic antisense
ENST00000424162,RP1-60O19.2,Ensembl,4.96,down,419,chr6,+,107143409,107147869,intergenic
AK055262,,misc_RNA,4.93,down,2443,chr2,-,202140470,202145950,intronic antisense
uc003uoj.2,AK095764,UCSC_knowngene,4.91,up,2077,chr7,-,96594885,96596962,intergenic
ENST00000448540,RP11-111E2.1,Ensembl,4.78,down,384,chr9,+,80195160,80195544,intronic antisense
AY927498,,RNAdb,4.77,down,209,chr7,+,150759027,150759235,exon sense-overlapping
ENST00000417418,RP11-216M21.6,Ensembl,4.65,up,308,chr9,+,42312409,42316345,intergenic
NR_027082,SFTA1P,RefSeq_NR,4.60,up,693,chr10,-,10826401,10836877,intergenic
ENST00000451146,GHc-362H12.2,Ensembl,4.59,down,483,chrX,-,103216381,103216864,bidirectional
ENST00000502928,RP11-811J10.1,Ensembl,4.59,up,141,chr5,+,21196828,21196969,intergenic
uc002cuo.1,FLJ39639,UCSC_knowngene,4.56,down,2213,chr16,+,3313801,3317371,intergenic
NR_026714,FAM182B,RefSeq_NR,4.43,down,5481,chr20,-,25750234,25781927,intergenic
uc002qna.1,BC040939,UCSC_knowngene,4.41,down,1276,chr19,+,56905086,56910539,bidirectional
AW361687,lincRNA-LNX2,lincRNA,4.29,down,601,chr13,+,28003341,28423867,exon sense-overlapping
BQ222987,lincRNA-SLC16A7-7,lincRNA,4.24,up,921,chr12,-,60408665,60409569,intergenic
uc002kes.2,AF075112,UCSC_knowngene,4.22,down,302,chr17,-,80338988,80340511,intergenic
uc010mnh.1,AK309896,UCSC_knowngene,4.22,up,1068,chr9,-,66513679,66553531,intergenic
ENST00000421246,RP11-800K23.2,Ensembl,4.21,down,576,chr4,-,22728997,22729573,intronic antisense
ENST00000448149,RP11-392E22.2,Ensembl,4.13,down,1036,chr9,-,38504443,38505479,intergenic
ENST00000433885,RP11-255J3.3,Ensembl,4.09,down,485,chr9,-,2900319,2900804,intergenic
ENST00000446207,RP11-184L18.1,Ensembl,4.09,down,792,chr13,+,71497795,71498587,intergenic
ENST00000433433,AC018730.3,Ensembl,3.93,up,3103,chr2,-,105481954,105488910,intergenic
ENST00000448359,AC112229.7,Ensembl,3.90,up,2443,chr2,-,111132732,111140810,intergenic
uc001dso.1,BC112312,UCSC_knowngene,3.90,down,577,chr1,-,100434000,100435404,bidirectional
AY927503,,RNAdb,3.87,up,906,chr7,-,148910130,148911035,natural antisense
uc002lir.1,DKFZp451A185,UCSC_knowngene,3.87,down,2376,chr18,+,60249037,60253962,intergenic
CR590216,,RNAdb,3.80,down,1670,chr17,+,47008741,47010411,natural antisense
uc003ene.2,LOC729375,UCSC_knowngene,3.79,up,1886,chr3,-,129816624,129822720,natural antisense
ENST00000415024,RP11-313E4.1,Ensembl,3.74,up,392,chr9,+,75085289,75085992,intergenic
CR611332,,misc_RNA,3.73,down,2122,chr5,+,139496842,139498964,exon sense-overlapping
BC043176,,misc_RNA,3.70,up,2224,chr1,-,53345755,53347967,natural antisense
uc003flq.1,AK057000,UCSC_knowngene,3.67,down,1623,chr3,+,183165438,183173795,intergenic
NR_003667,SUGT1P1,RefSeq_NR,3.64,down,699,chr9,-,33219069,33511047,intron sense-overlapping
uc002qnk.1,BX647249,UCSC_knowngene,3.57,down,2045,chr19,-,57056934,57078780,bidirectional
ENST00000504393,RP11-1319K7.2,Ensembl,3.54,down,298,chr5,+,69428500,69428798,intergenic
uc002cuc.2,BC013599,UCSC_knowngene,3.54,down,1114,chr16,-,3178836,3182043,intergenic
exon2436+,lincRNA-PTPN1-2,lincRNA,3.52,up,264,chr20,+,49047223,49047486,intergenic
BC100296,,RNAdb,3.51,down,1118,chr15,+,43700594,43701694,natural antisense
NR_024533,ALG3,RefSeq_NR,3.47,up,1450,chr3,-,183960116,183966759,bidirectional
ENST00000448043,RP11-97N5.2,Ensembl,3.44,down,1134,chrX,-,135024636,135029298,intergenic
AK130095,,misc_RNA,3.41,up,2288,chr6,+,100035486,100037774,intergenic
uc001wlf.2,DHRS4L2,UCSC_knowngene,3.40,down,2221,chr14,+,24439147,24453530,exon sense-overlapping
ENST00000432614,RP11-395E19.5,Ensembl,3.39,up,1988,chr9,-,40704467,40713709,natural antisense
ENST00000416008,AC068535.2,Ensembl,3.37,up,471,chr2,+,105027658,105032070,intergenic
ENST00000440687,RPL13P2,Ensembl,3.33,up,659,chr20,+,44728156,44728815,intergenic
NR_001317,HCG4P6,RefSeq_NR,3.33,up,1060,chr6,-,29892368,29893428,intergenic
uc.308-,uc.308,UCR,3.30,up,277,chr10,-,103245811,103246088,intronic antisense
