PROBE,GENE NAME,SYMBOL,UniGene,Entrez,AUT,CTRL,ALR,Pair pVal,Group pVal,Rank PVal,,,,
213418_at,heat shock 70kDa protein 6 (HSP70B'),HSPA6,Hs.3268,3310,7.71,4.02,3.69,0.032233,0.039015,0.028834,,,,
207714_s_at,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)",SERPINH1,Hs.241579,871,7.10,3.62,3.48,0.029875,0.013204,0.011522,,,,
217911_s_at,BCL2-associated athanogene 3,BAG3,Hs.15259,9531,9.62,6.54,3.08,0.026337,0.016132,0.009539,,,,
202912_at,adrenomedullin,ADM,Hs.394,133,7.73,4.78,2.94,0.012136,0.006915,0.005707,,,,
209396_s_at,chitinase 3-like 1 (cartilage glycoprotein-39),CHI3L1,Hs.75184,1116,9.01,6.15,2.86,0.047953,0.033899,0.027448,,,,
204472_at,GTP binding protein overexpressed in skeletal muscle,GEM,Hs.79022,2669,6.50,3.74,2.76,0.032749,0.023408,0.037921,,,,
209305_s_at,"growth arrest and DNA-damage-inducible, beta",GADD45B,Hs.110571,4616,7.78,5.28,2.50,0.035071,0.025324,0.022250,,,,
201841_s_at,"heat shock 27kDa protein 1 /// Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)",HSPB1 /// MEIS3,Hs.76067,3315 /// 56917,11.32,8.85,2.47,0.017082,0.015921,0.038125,,,,
227062_at,trophoblast-derived noncoding RNA,TncRNA,Hs.79706,283131,8.94,6.51,2.43,0.018775,0.018996,0.020207,,,,
207574_s_at,"growth arrest and DNA-damage-inducible, beta",GADD45B,Hs.110571,4616,10.17,7.81,2.36,0.019905,0.022537,0.031039,,,,
201695_s_at,nucleoside phosphorylase,NP,Hs.75514,4860,5.69,3.36,2.33,0.040960,0.023749,0.022834,,,,
209191_at,"tubulin, beta 6",TUBB6,Hs.274398,84617,7.35,5.08,2.27,0.011928,0.013659,0.011485,,,,
201666_at,TIMP metallopeptidase inhibitor 1,TIMP1,Hs.5831,7076,8.38,6.11,2.27,0.042132,0.026461,0.030579,,,,
203313_s_at,TGFB-induced factor (TALE family homeobox),TGIF,Hs.90077,7050,5.11,2.93,2.17,0.005217,0.001247,0.001322,,,,
201160_s_at,cold shock domain protein A,CSDA,Hs.1139,8531,8.98,6.83,2.16,0.006140,0.015708,0.019298,,,,
209732_at,"C-type lectin domain family 2, member B",CLEC2B,Hs.85201,9976,6.59,4.47,2.12,0.011128,0.005921,0.007384,,,,
210764_s_at,"cysteine-rich, angiogenic inducer, 61",CYR61,Hs.8867,3491,6.71,4.65,2.07,0.011236,0.038984,0.032667,,,,
209304_x_at,"growth arrest and DNA-damage-inducible, beta",GADD45B,Hs.110571,4616,9.15,7.09,2.06,0.045118,0.031095,0.032948,,,,
211981_at,"collagen, type IV, alpha 1",COL4A1,Hs.119129,1282,6.00,3.98,2.02,0.028792,0.034518,0.032822,,,,
219584_at,phospholipase A1 member A,PLA1A,Hs.17752,51365,4.65,2.65,2.00,0.034788,0.011160,0.007154,,,,
224895_at,"Yes-associated protein 1, 65kDa",YAP1,Hs.84520,10413,7.47,5.48,1.99,0.039547,0.039930,0.037634,,,,
225239_at,"CDNA FLJ26120 fis, clone SYN00419",---,Hs.285814,---,9.98,7.99,1.98,0.004446,0.003723,0.002826,,,,
212723_at,phosphatidylserine receptor,PTDSR,Hs.72660,23210,7.47,5.50,1.97,0.018267,0.006511,0.005863,,,,
209283_at,"crystallin, alpha B",CRYAB,Hs.1940,1410,12.34,10.46,1.87,0.036248,0.022346,0.035132,,,,
210511_s_at,"inhibin, beta A (activin A, activin AB alpha polypeptide)",INHBA,Hs.727,3624,5.00,3.15,1.85,0.030644,0.014882,0.013871,,,,
213051_at,"zinc finger CCCH-type, antiviral 1",ZC3HAV1,Hs.35254,56829,7.30,5.50,1.80,0.022154,0.007360,0.010185,,,,
208659_at,chloride intracellular channel 1,CLIC1,Hs.74276,1192,8.30,6.50,1.80,0.037569,0.026166,0.030606,,,,
212154_at,"syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)",SDC2,Hs.1501,6383,7.35,5.57,1.78,0.022002,0.030966,0.027707,,,,
234989_at,trophoblast-derived noncoding RNA,TncRNA,Hs.250594,283131,10.66,8.92,1.74,0.003061,0.009317,0.022335,,,,
224894_at,"Yes-associated protein 1, 65kDa",YAP1,Hs.84520,10413,7.65,5.91,1.73,0.028098,0.036493,0.031766,,,,
226621_at,---,---,---,---,5.52,3.88,1.64,0.024985,0.008282,0.008524,,,,
227140_at,"CDNA FLJ11041 fis, clone PLACE1004405",---,Hs.28792,---,5.41,3.78,1.64,0.032396,0.036665,0.039306,,,,
201761_at,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",MTHFD2,Hs.154672,10797,6.11,4.49,1.62,0.030926,0.045033,0.041150,,,,
223842_s_at,"scavenger receptor class A, member 3",SCARA3,Hs.128856,51435,7.31,5.70,1.61,0.040854,0.017791,0.020868,,,,
230503_at,Sterile alpha motif domain containing 4A,SAMD4A,Hs.23457,23034,6.18,4.58,1.60,0.018215,0.003571,0.004447,,,,
204780_s_at,"Fas (TNF receptor superfamily, member 6)",FAS,Hs.82359,355,5.21,3.61,1.60,0.039243,0.024144,0.021926,,,,
217867_x_at,beta-site APP-cleaving enzyme 2,BACE2,Hs.271411,25825,4.88,3.28,1.60,0.026611,0.012755,0.017457,,,,
225878_at,Kinesin family member 1B,KIF1B,Hs.14434,23095,6.72,5.13,1.60,0.034435,0.005096,0.006265,,,,
203704_s_at,---,---,---,---,5.05,3.48,1.57,0.026989,0.007058,0.004492,,,,
243010_at,"family with sequence similarity 55, member C",MSI2,Hs.258208,91775,5.70,4.14,1.56,0.042043,0.021676,0.022870,,,,
209398_at,"histone 1, H1c",HIST1H1C,Hs.7644,3006,4.68,3.12,1.56,0.017913,0.006773,0.007194,,,,
225634_at,"zinc finger CCCH-type, antiviral 1",ZC3HAV1,Hs.325568,56829,7.04,5.48,1.55,0.025184,0.007965,0.009994,,,,
212158_at,"syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)",SDC2,Hs.1501,6383,7.49,5.96,1.53,0.015090,0.023337,0.020022,,,,
210719_s_at,high-mobility group 20B,HMG20B,Hs.32317,10362,6.01,4.49,1.52,0.004413,0.001765,0.002116,,,,
212203_x_at,interferon induced transmembrane protein 3 (1-8U),IFITM3,Hs.182241,10410,11.36,9.85,1.51,0.022069,0.013365,0.020366,,,,
220532_s_at,LR8 protein,LR8,Hs.190161,28959,7.08,5.58,1.50,0.012221,0.006199,0.007598,,,,
202734_at,thyroid hormone receptor interactor 10,TRIP10,Hs.73999,9322,4.96,3.47,1.49,0.015406,0.008537,0.005542,,,,
201315_x_at,interferon induced transmembrane protein 2 (1-8D),IFITM2,Hs.174195,10581,9.89,8.40,1.49,0.039107,0.016941,0.032059,,,,
201012_at,annexin A1,ANXA1,Hs.78225,301,8.11,6.63,1.48,0.036273,0.021883,0.018595,,,,
214097_at,ribosomal protein S21,RPS21,Hs.1948,6227,6.72,5.25,1.48,0.034345,0.017610,0.024654,,,,
204421_s_at,fibroblast growth factor 2 (basic),FGF2,Hs.284244,2247,4.43,2.95,1.48,0.036562,0.013614,0.007146,,,,
