Gene,Locus,Log2 Fold Change,p value,q value
PTX3,chr3:156977531-157221415,-2.5579,0.00005,0.00102997
SYTL2,chr11:85405264-85522178,-2.49119,0.00005,0.00102997
ABCA1,chr9:107543283-107690527,-2.42525,0.00005,0.00102997
SULT1B1,chr4:70592685-70626430,-2.29717,0.00005,0.00102997
CYP26B1,chr2:72356366-72374963,-2.25625,0.00005,0.00102997
HSPB3,chr5:53751430-53752214,-2.24303,0.00095,0.011435
IGFBP3,chr7:45951843-45960871,-2.21979,0.00005,0.00102997
CYBRD1,chr2:172378756-172414643,-2.20789,0.00005,0.00102997
IGF2,chr11:2150341-2182439,-2.07762,0.00005,0.00102997
ANGPT2,chr8:6264112-6501140,-2.06463,0.00005,0.00102997
ASCL1,chr12:103351451-103354294,-2.02124,0.00005,0.00102997
TGM2,chr20:36756863-36793700,-1.96246,0.00005,0.00102997
FAM198B,chr4:159045731-159094202,-1.94763,0.00005,0.00102997
TMEM171,chr5:72416387-72427644,-1.91999,0.0002,0.00334015
SGCD,chr5:155753766-156194798,-1.824,0.00005,0.00102997
ITGA10,chr1:145524989-145543868,-1.7908,0.00005,0.00102997
MGP,chr12:15034114-15038853,-1.74166,0.00005,0.00102997
IFITM1,chr11:313990-315272,-1.73627,0.00015,0.002612
SEMA3D,chr7:84624871-84751247,-1.7218,0.00005,0.00102997
SEMA3C,chr7:80371853-80548667,-1.72144,0.00005,0.00102997
ITGB4,chr17:73717515-73753899,-1.71948,0.00005,0.00102997
GRAMD3,chr5:125695787-125829853,-1.69368,0.00005,0.00102997
KLF2,chr19:16435650-16438339,-1.69172,0.00005,0.00102997
KIRREL,chr1:157963062-158065844,-1.68971,0.00005,0.00102997
SOD3,chr4:24797084-24802467,-1.65186,0.00005,0.00102997
GRP,chr18:56887399-56898002,-1.62116,0.0023,0.0227561
ASPN,chr9:95059639-95432547,-1.57874,0.0008,0.0100173
KCNK2,chr1:215178884-215410436,-1.57335,0.00005,0.00102997
GJA1,chr6:121756744-121770873,-1.56812,0.00005,0.00102997
COL8A2,chr1:36560843-36565850,-1.53944,0.00005,0.00102997
PPL,chr16:4932507-4987136,-1.53931,0.00005,0.00102997
CAV1,chr7:116164838-116201239,-1.48852,0.00005,0.00102997
CBLN4,chr20:54572412-54580528,-1.47885,0.00005,0.00102997
FAM177B,chr1:222910557-222924002,-1.44351,0.00005,0.00102997
MMP10,chr11:102641232-102651359,-1.43524,0.0012,0.0137958
DCN,chr12:91539034-91576806,-1.42709,0.00005,0.00102997
SNTB1,chr8:121547984-121824309,-1.42424,0.00005,0.00102997
HAS2,chr8:122625270-122657564,-1.42031,0.00005,0.00102997
OSR1,chr2:19551245-19558372,-1.42006,0.00015,0.002612
SLC16A4,chr1:110905472-110933704,-1.40519,0.00005,0.00102997
DPT,chr1:168664694-168698442,-1.40495,0.00005,0.00102997
IL13RA2,chrX:114238537-114252207,-1.40123,0.00075,0.00960294
OLFML2B,chr1:161952981-161993644,-1.40084,0.00005,0.00102997
LBH,chr2:30454396-30482899,-1.39906,0.00005,0.00102997
IL1R1,chr2:102770401-102796334,-1.38164,0.00005,0.00102997
MAMLD1,chrX:149531550-149682448,-1.35912,0.00005,0.00102997
CFI,chr4:110661847-110723335,-1.35268,0.00005,0.00102997
LIFR,chr5:38475064-38595507,-1.33993,0.00005,0.00102997
SH3RF3,chr2:109743783-110262207,-1.33861,0.00005,0.00102997
PNMA3,chrX:152224765-152228827,-1.33218,0.0001,0.00188184
GAS1,chr9:89559276-89562104,-1.33115,0.00005,0.00102997
ITGA2,chr5:52285155-52390609,-1.32088,0.00005,0.00102997
KLF5,chr13:73633141-73651676,-1.30035,0.00005,0.00102997
TMEM200A,chr6:130687425-130764210,-1.29929,0.00005,0.00102997
F2R,chr5:76011867-76031595,-1.29766,0.00005,0.00102997
TIMP3,chr22:32908539-33454377,-1.29554,0.00005,0.00102997
C1S,chr12:7167979-7178335,-1.29213,0.00005,0.00102997
NPAS2,chr2:101436612-101613287,-1.29203,0.00005,0.00102997
PALLD,chr4:169418216-169849608,-1.29042,0.00005,0.00102997
COL10A1,chr6:116421998-116566853,-1.28944,0.00005,0.00102997
COLEC12,chr18:319354-500729,-1.28704,0.00005,0.00102997
IFI6,chr1:27992571-27998724,-1.28255,0.00005,0.00102997
KIAA1199,chr15:81071711-81243999,-1.28235,0.00005,0.00102997
CHD8,chr14:21853352-21905457,-1.27204,0.00005,0.00102997
ZBTB7C,chr18:45553638-45663680,-1.26401,0.00005,0.00102997
ADAM9,chr8:38854504-38962779,-1.24581,0.00005,0.00102997
