Gene,Description,Locus,RPKM_ctrl,RPKM_case,p_value,Fold change
PLGLB1,plasminogen-like B2,chr2:86988586-87102486,18.4871,0.599577,0,-30.83
NPAS4,neuronal PAS domain protein 4,chr11:65945050-65950753,225.179,11.915,0,-18.90
PDSS1,"""prenyl (decaprenyl) diphosphate synthase, subunit 1""",chr10:27026600-27189965,0.130361,0.0214585,0,-6.08
MESTP1,mesoderm specific transcript homolog (mouse) pseudogene 1,chr6:129245978-129879401,4.42291,0.740528,0,-5.97
NPBWR2,neuropeptides B/W receptor 2,chr20:62181931-62215047,6.29004,1.23396,0,-5.10
DEPDC4,DEP domain containing 4,chr12:99117995-99184988,2.74534,0.693359,0,-3.96
EGR4,early growth response 4,chr2:73371565-73374181,285.131,75.2832,0,-3.79
FAM200A,"""family with sequence similarity 200, member A""",chr7:98981866-98987693,0.0647942,0.017761,4.93798E-07,-3.65
MTCP1,mature T-cell proliferation 1,chrX:153943090-154037972,3.1789,0.89778,0,-3.54
PTGS2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),chr1:184907591-184916179,40.02,12.0165,0.000254771,-3.33
CYR61,"""cysteine-rich, angiogenic inducer, 61""",chr1:85819040-85821974,151.613,49.0633,6.46683E-12,-3.09
BET1L,blocked early in transport 1 homolog (S. cerevisiae)-like,chr11:157783-197428,14.1816,4.61612,0,-3.07
JUNB,jun B proto-oncogene,chr19:12763309-12765124,669.24,219.795,0,-3.04
FOS,FBJ murine osteosarcoma viral oncogene homolog,chr14:74815283-74818685,403.471,132.927,0,-3.04
NR4A1,"""nuclear receptor subfamily 4, group A, member 1""",chr12:50718760-50739558,397.872,131.528,0,-3.02
ARC,activity-regulated cytoskeleton-associated protein,chr8:143689411-143692835,407.758,149.617,0,-2.73
PLGLB2,plasminogen-like B2,chr2:87828720-87906586,7.63987,2.93792,0.00205727,-2.60
C20orf201,chromosome 20 open reading frame 201,chr20:62181931-62215047,59.4818,23.2574,0,-2.56
LBH,limb bud and heart development homolog (mouse),chr2:30307898-30400100,0.250058,0.0988843,0,-2.53
UTS2,urotensin 2,chr1:7753915-7836159,0.426548,0.169167,0,-2.52
SPHAR,S-phase response (cyclin related),chr1:227473293-227508261,0.0402661,0.0164431,0,-2.45
GADD45G,"""growth arrest and DNA-damage-inducible, gamma""",chr9:91409747-91411283,192.128,82.7526,1.49623E-10,-2.32
CLDN22,claudin 22,chr4:184257439-184478924,0.0256532,0.0113786,1.27368E-09,-2.25
DUSP1,dual specificity phosphatase 1,chr5:172127706-172130809,346.713,155.511,0,-2.23
MSMP,"""microseminoprotein, prostate associated""",chr9:35739339-35747908,0.0239173,0.0107939,0,-2.22
TSSK1B,testis-specific serine kinase 1B,chr5:112385694-112852010,0.514304,0.23291,0.000908506,-2.21
SIK1,salt-inducible kinase 1,chr21:43658829-43671436,44.5581,20.2661,0.00327681,-2.20
FOSB,FBJ murine osteosarcoma viral oncogene homolog B,chr19:50663092-50670254,104.193,48.7329,1.19401E-05,-2.14
CKS2,CDC28 protein kinase regulatory subunit 2,chr9:91115932-91121437,88.1725,41.4576,6.14287E-05,-2.13
ANGPTL6,angiopoietin-like 6,chr19:10053361-10074472,3.09147,1.46199,2.35367E-14,-2.11
PRKG1,"""protein kinase, cGMP-dependent, type I""",chr10:52421123-53728116,18.0929,8.658,8.01121E-05,-2.09
C10orf91,chromosome 10 open reading frame 91,chr10:133995647-134112902,0.782255,0.386811,5.15143E-14,-2.02
BTG2,"""BTG family, member 2""",chr1:201541286-201545348,97.2294,48.3356,0.000071512,-2.01
GP1BB,"""glycoprotein Ib (platelet), beta polypeptide""",chr22:18081986-18092297,182.456,91.8314,0,-1.99
C11orf96,chromosome 11 open reading frame 96,chr11:43920715-43922008,169.285,86.3668,3.59305E-07,-1.96
KIAA1328,KIAA1328,chr18:32630032-33059285,16.153,8.48803,9.39825E-07,-1.90
PIGC,"""phosphatidylinositol glycan anchor biosynthesis, class C""",chr1:170077260-170704590,106.521,56.6598,0,-1.88
CDNF,cerebral dopamine neurotrophic factor,chr10:14901254-14953744,5.02331,2.67384,0.000052934,-1.88
DUSP5,dual specificity phosphatase 5,chr10:112247614-112261291,70.6251,37.7828,0.00191274,-1.87
A2LD1,AIG2-like domain 1,chr13:99539337-100039047,6.54953,3.59443,5.54646E-05,-1.82
C9orf50,chromosome 9 open reading frame 50,chr9:131410983-131444265,4.29682,2.41213,4.44089E-16,-1.78
MIR1307,microRNA 1307,chr10:105117713-105146213,0.0218399,0.0125406,0,-1.74
GPX3,glutathione peroxidase 3 (plasma),chr5:150380408-150387884,211.713,122.351,1.3756E-06,-1.73
CHAC2,"""ChaC, cation transport regulator homolog 2 (E. coli)""",chr2:53613313-53940801,9.32906,5.40574,0,-1.73
CCDC152,coiled-coil domain containing 152,chr5:42792686-42844212,117.575,70.2144,1.36349E-06,-1.67
PCSK1,proprotein convertase subtilisin/kexin type 1,chr5:95751874-95794708,144.043,86.8254,0.000194708,-1.66
