Gene,Locus,Log2 Fold Change,p value,q value
RNU6ATAC,chr9:137029561-137029686,-1.74336,0.00035,0.00530278
MGC16121,chrX:133677406-133680741,-1.65902,0.00005,0.00102997
H19,chr11:2016405-2019065,-1.60876,0.00005,0.00102997
SNORA34,chr12:49046994-49076035,-1.38783,0.00005,0.00102997
SNORA76,chr17:62223698-62223831,-1.34333,0.00605,0.0472849
SNORD104,chr17:62223437-62223517,-1.06341,0.00005,0.00102997
SNORA8,chr11:93465526-93465665,-1.05175,0.00005,0.00102997
SNORD50A,chr6:86386724-86388451,-1.03602,0.0017,0.0181241
SNORA18,chr11:93466631-93466763,-0.973608,0.00005,0.00102997
SNORD114-12,chr14:101435284-101435358,-0.970515,0.0003,0.00466429
SNORD17,chr20:17922243-17949490,-0.953406,0.0003,0.00466429
SNORD89,chr2:101889397-101889511,-0.88296,0.00585,0.0463317
ZNF204P,chr6:27325601-27343153,-0.791639,0.0064,0.049225
SNORD99,chr1:28879528-28908366,-0.781966,0.00315,0.02891
NUDT4P1,chr12:93771700-93797024,-0.754456,0.00005,0.00102997
PKI55,chr2:217081611-217084915,-0.696122,0.00005,0.00102997
SNORD60,chr16:2205023-2205106,-0.68201,0.0019,0.0198353
SNORD5,chr11:93466393-93466466,-0.668073,0.00085,0.0105223
LOC401397,chr7:112756772-112758637,-0.636203,0.00005,0.00102997
ANKRD36BP1,chr1:168214818-168216668,-0.535621,0.00005,0.00102997
TERC,chr3:169482397-169482848,-0.5151,0.00015,0.002612
LOC100506548,chr5:40825364-40829244,-0.482782,0.00015,0.002612
ZNF37BP,chr10:43008960-43048280,-0.481988,0.00005,0.00102997
TUG1,chr22:31365633-31375380,-0.329363,0.0037,0.0326721
LINC00674,chr17:66097695-66132070,0.339947,0.0031,0.0285716
LOC730101,chr6:52529198-52533951,0.401449,0.0029,0.0272083
SNHG8,chr4:119199916-119200978,0.418698,0.0063,0.0485702
TEKT4P2,chr21:9907188-9968593,0.439325,0.0002,0.00334015
LOC253039,chr9:123605319-123616651,0.439392,0.0037,0.0326721
LOC646719,chr5:36871462-36876796,0.465106,0.0001,0.00188184
LOC100132352,chr9:68726540-68748372,0.500687,0.0027,0.0257575
RNF216P1,chr7:5013615-5037800,0.506955,0.0005,0.00693943
DNM3OS,chr1:171810620-172381857,0.515956,0.0009,0.010985
NBLA00301,chr4:174451608-174462981,0.548223,0.00015,0.002612
FAM86DP,chr3:75470702-75484266,0.568401,0.0033,0.0299084
LOC100505738,chr5:8457799-8463209,0.594596,0.00335,0.0301939
GATA3-AS1,chr10:8092412-8095447,0.609768,0.00125,0.0142328
ZNF674-AS1,chrX:46404924-46407910,0.636733,0.00325,0.0296197
CRNDE,chr16:54952776-54963101,0.639107,0.00005,0.00102997
LOC100131564,chr1:93775665-93811368,0.63987,0.00015,0.002612
LOC728431,chr1:37920479-37940044,0.679619,0.0059,0.0464461
LOC100506714,chr22:45529638-45559662,0.698025,0.0029,0.0272083
WASH5P,chr19:60950-70966,0.712981,0.00025,0.00400613
LOC646903,chr3:149689065-149691029,0.717567,0.0021,0.0213266
LOC375295,chr2:177494308-177502302,0.740187,0.00005,0.00102997
MIR100HG,chr11:121959810-122073770,0.741167,0.00005,0.00102997
AMZ2P1,chr17:62962667-62971703,0.767086,0.0001,0.00188184
LOC400027,chr12:46119502-46121704,0.795176,0.0002,0.00334015
LOC392232,chr8:73117533-73163869,0.802661,0.00005,0.00102997
LOC550112,chr4:68566995-68588222,0.805681,0.00005,0.00102997
DKFZp686D0853,chrX:110754889-110765627,0.849893,0.00005,0.00102997
MIR3648,chr21:9825831-9826011,0.880444,0.0003,0.00466429
LOC284751,chr20:48909256-48931456,0.898471,0.00005,0.00102997
LOC645166,chr1:148928285-148953054,0.935435,0.00085,0.0105223
LOC100128822,chr7:152161208-152162630,0.948626,0.00005,0.00102997
LOC150568,chr2:105050804-105129215,0.965408,0.0002,0.00334015
LOC401320,chr7:30587972-30617395,0.977688,0.00005,0.00102997
KLRAP1,chr12:10741076-10752434,1.01102,0.00135,0.015173
DKFZP434I0714,chr4:153457415-153460415,1.02637,0.00005,0.00102997
MIR22HG,chr17:1614797-1619566,1.05621,0.00005,0.00102997
DKFZP686I15217,chr6:2988200-2991405,1.21144,0.0005,0.00693943
LOC100270746,chr6:26924771-26991753,1.28615,0.00285,0.026855
LOC100272217,chr9:133452736-133454881,1.36807,0.00015,0.002612
LINC00622,chr1:120140324-120141914,1.51604,0.00265,0.0253918
ZRANB2-AS2,chr1:71547006-71703406,1.59507,0.00645,0.0494059
CN5H6.4,chr22:46691039-46692557,1.71117,0.001,0.0119378
LOC643401,chr5:27472398-27496508,2.75511,0.0018,0.019004
LINC00473,chr6:166337535-166403103,2.84084,0.00555,0.0444136
MIRLET7I,chr12:62997465-62997549,inf,0.00005,0.00102997
SNAR-G2,chr19:49534925-49535044,inf,0.0024,0.0234963
