Symbol,GeneName,ProbeName,RefSeq,Gene locus,P-value
FMR1,fragile X mental retardation 1,A_24_P40417,NM_002024,"chrX (146,698,988-146,738,193)",4.11E-15
FMR1,fragile X mental retardation 1,A_24_P93967,NM_002024,"chrX (146,699,244-146,719,842)",2.34E-12
CYFIP1,cytoplasmic FMR1 interacting protein 1,A_23_P140648,NM_014608,"chr15 (20,444,102-20,555,052)",1.1E-09
UBE3A,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)",A_24_P381803,NM_130839,"chr15 (23,133,489-23,235,221)",1.57E-09
MBTPS1,"membrane-bound transcription factor protease, site 1",A_23_P14948,NM_003791,"chr16 (82,644,863-82,708,018)",1.66E-09
SRPR,signal recognition particle receptor ('docking protein'),A_23_P86943,NM_003139,"chr11 (125,638,050-125,643,993)",4.69E-09
GCET2,germinal center expressed transcript 2,A_24_P182947,NM_001008756,"chr3 (113,324,992-113,334,763)",5.83E-09
AK024516,,A_32_P218806,b,,8.77E-09
BF241212,,A_32_P120726,hc,"chr17 (30,448,801-30,448,999)",8.98E-09
CST3,cystatin C (amyloid angiopathy and cerebral hemorrhage),A_24_P216294,NM_000099,"chr20 (23,562,553-23,566,499)",1.07E-08
RASL10B,"RAS-like, family 10, member B",A_24_P322229,NM_033315,"chr17 (31,082,792-31,094,661)",1.18E-08
TNFRSF8,"tumor necrosis factor receptor superfamily, member 8",A_23_P500614,NM_001243,"chr1 (12,057,700-12,138,532)",1.47E-08
NDFIP1,Nedd4 family interacting protein 1,A_23_P81247,NM_030571,"chr5 (141,468,724-141,504,423)",1.66E-08
FLJ10980,hypothetical protein FLJ10980,A_24_P357576,NM_019600,"chr15 (50,660,822-50,757,603)",1.95E-08
HIG2,hypoxia-inducible protein 2,A_23_P20022,NM_013332,"chr7 (127,689,803-127,692,431)",2.94E-08
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_32_P31945,NM_001609,,3.03E-08
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_24_P731648,NM_004694,"chr17 (63,775,940-63,799,001)",3.66E-08
UBE3A,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)",A_24_P207150,NM_130839,"chr15 (23,133,489-23,235,221)",4.48E-08
LGP1,homolog of mouse LGP1,A_23_P207387,NM_032484,"chr17 (37,594,623-37,600,076)",4.98E-08
CMKOR1,chemokine orphan receptor 1,A_23_P131676,NM_020311,"chr2 (237,260,400-237,273,000)",6.46E-08
YEATS2,YEATS domain containing 2,A_23_P69437,NM_018023,"chr3 (184,898,308-185,013,110)",0.00000007
AF086442,,A_23_P156996,b,"chr7 (149,535,438-149,547,205)",7.07E-08
NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,A_24_P338971,NM_030922,"chr15 (20,556,790-20,585,849)",9.66E-08
SLC20A1,"solute carrier family 20 (phosphate transporter), member 1",A_23_P165657,NM_005415,"chr2 (113,119,694-113,137,644)",0.0000001
FTL,"ferritin, light polypeptide",A_23_P50498,NM_000146,"chr19 (54,160,374-54,161,947)",0.000000103
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_23_P152791,NM_004694,"chr17 (63,775,940-63,799,001)",0.000000138
FLJ21069,restin-like 2,A_23_P417363,b,"chr2 (29,268,255-29,294,883)",0.000000141
BC020899,,A_24_P384979,b,"chr9 (4,847,951-4,849,269)",0.000000145
IL21R,interleukin 21 receptor,A_24_P227927,NM_181078,"chr16 (27,346,080-27,369,618)",0.000000146
PHACTR1,phosphatase and actin regulator 1,A_32_P52018,NM_030948,,0.000000148
GENX-3414,genethonin 1,A_23_P254079,NM_003943,"chr4 (77,584,942-77,589,469)",0.000000153
DKFZP564B167,brain protein 44,A_23_P114929,NM_015415,"chr1 (164,617,632-164,637,037)",0.000000156
SAV1,salvador homolog 1 (Drosophila),A_24_P287473,NM_021818,"chr14 (50,170,060-50,204,858)",0.000000157
C6orf33,progestin and adipoQ receptor family member VIII,A_24_P334640,NM_133367,"chr6 (52,334,897-52,379,043)",0.000000164
FLJ35119,hypothetical protein FLJ35119,A_23_P353085,NM_175871,"chr19 (11,346,320-11,348,354)",0.000000168
SEL1L,sel-1 suppressor of lin-12-like (C. elegans),A_24_P219114,NM_005065,"chr14 (81,012,047-81,069,952)",0.000000179
CHST12,carbohydrate (chondroitin 4) sulfotransferase 12,A_23_P310421,NM_018641,"chr7 (2,216,438-2,247,461)",0.000000181
IL4R,interleukin 4 receptor,A_23_P129556,NM_000418,"chr16 (27,232,753-27,283,633)",0.000000184
DHX8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,A_23_P124224,NM_004941,"chr17 (38,916,853-38,957,218)",0.00000019
GRCA,"gene rich cluster, A gene",A_23_P99141,NM_019858,"chr12 (6,801,224-6,806,852)",0.000000194
TPARL,TPA regulated locus,A_24_P43391,NM_018475,"chr4 (56,103,005-56,133,270)",0.000000219
SV2B,synaptic vesicle glycoprotein 2B,A_23_P100022,NM_014848,"chr15 (89,444,544-89,639,652)",0.000000231
CLDN23,claudin 23,A_23_P134854,NM_194284,"chr8 (8,597,145-8,598,795)",0.000000231
AK075364,hypothetical protein DKFZp566M114,A_23_P213085,b,"chr4 (147,532,736-147,721,581)",0.00000025
FLJ32934,DC-STAMP domain containing 2,A_23_P314798,NM_144622,"chr1 (151,804,062-151,819,330)",0.000000266
A_24_P780319,,A_24_P780319,,,0.000000271
A_24_P493100,,A_24_P493100,,,0.000000281
NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",A_24_P214754,NM_000176,"chr5 (142,639,203-142,763,394)",0.000000282
CCL21,chemokine (C-C motif) ligand 21,A_23_P112470,NM_002989,"chr9 (34,698,995-34,700,166)",0.000000304
PRICKLE1,prickle-like 1 (Drosophila),A_23_P408285,NM_153026,"chr12 (41,139,330-41,269,814)",0.000000333
LCP2,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa),A_23_P30547,NM_005565,"chr5 (169,607,658-169,657,400)",0.000000342
TRIT1,tRNA isopentenyltransferase 1,A_23_P12062,NM_017646,,0.000000356
MBTPS1,"membrane-bound transcription factor protease, site 1",A_23_P14946,NM_003791,"chr16 (82,644,863-82,708,018)",0.000000364
CST5,cystatin D,A_23_P170453,NM_001900,"chr20 (23,804,572-23,808,388)",0.000000367
EFTUD1,elongation factor Tu GTP binding domain containing 1,A_23_P152055,NM_024580,"chr15 (80,209,550-80,342,136)",0.000000371
WDR7,WD repeat domain 7,A_23_P164528,NM_015285,"chr18 (52,490,745-52,845,436)",0.000000375
PC4,activated RNA polymerase II transcription cofactor 4,A_23_P59921,NM_006713,"chr5 (32,621,429-32,637,821)",0.000000381
TPARL,TPA regulated locus,A_23_P133174,NM_018475,"chr4 (56,103,005-56,133,270)",0.000000398
AF435956,"family with sequence similarity 82, member A",A_23_P102160,b,"chr2 (38,089,253-38,156,336)",0.000000407
ARHGAP23,Rho GTPase activating protein 23,A_24_P920207,hc,"chr17 (33,881,700-33,922,356)",0.000000415
A_32_P233049,,A_32_P233049,b,,0.000000428
ACTN1,"actinin, alpha 1",A_24_P107695,NM_001102,"chr14 (68,411,329-68,515,526)",0.000000434
ACTN1,"actinin, alpha 1",A_23_P105957,NM_001102,"chr14 (68,411,329-68,515,526)",0.000000441
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P225616,NM_001034,"chr2 (10,213,109-10,222,306)",0.000000444
DOLPP1,dolichyl pyrophosphate phosphatase 1,A_23_P386764,NM_020438,"chr9 (128,922,917-128,932,279)",0.000000452
KIAA0649,KIAA0649,A_23_P146497,NM_014811,,0.000000477
MTX2,metaxin 2,A_23_P120335,NM_001006635,"chr2 (176,959,645-177,028,258)",0.00000048
