Probe,Symbol,Gene Name,Chromo-some,Log Ratio,P-Value,Brain Expressed
ILMN_1789627,SEPT5*, septin 5 ,22,-0.884,<0.000001,_
ILMN_1750636,RPS26L,PREDICTED:  40S ribosomal protein S26-like,,-0.655,0.00076,
ILMN_1789492,ZDHHC8*," zinc finger, DHHC-type containing 8 ",22,-0.63,<0.000001,
ILMN_2109156,RANBP1*, RAN binding protein 1 ,22,-0.604,<0.000001,
ILMN_1690122,CRKL*, v-crk sarcoma virus CT10 oncogene homolog ,22,-0.601,<0.000001,_
ILMN_1705390,KLHL22*, kelch-like 22,22,-0.601,<0.000001,_
ILMN_1677697,LOC441377,PREDICTED:  similar to 40S ribosomal protein S26 ,,-0.591,0.00037,
ILMN_1791396,DGCR6*, DiGeorge syndrome critical region gene 6,22,-0.579,<0.000001,
ILMN_1805161,LZTR1*, leucine-zipper-like transcription regulator 1,22,-0.573,<0.000001,_
ILMN_2310703,RPS26L, 40S ribosomal protein S26-like ,13,-0.555,0.0016,
ILMN_1730084,COMT*, catechol-O-methyltransferase,22,-0.535,<0.000001,_
ILMN_2404850,RPL14, ribosomal protein L14 ,3,-0.523,0.00219,_
ILMN_1726647,LOC650646,PREDICTED:  similar to 40S ribosomal protein S26 ,,-0.522,0.00222,
ILMN_1655177,PIK4CA*," phosphatidylinositol 4-kinase, catalytic, alpha polypeptide ",22,-0.511,<0.000001,
ILMN_1767281,PPBP, pro-platelet basic protein ,4,-0.504,0.00065,_
ILMN_2180866,RPS26P11, ribosomal protein S26 pseudogene 11 ,X,-0.491,0.0045,
ILMN_1663685,DGCR6*, DiGeorge syndrome critical region gene 6 ,22,-0.488,<0.000001,
ILMN_1678522,LOC644934,PREDICTED:  similar to 40S ribosomal protein S26,15,-0.475,0.00401,
ILMN_1721457,RANBP1*, RAN binding protein 1 ,22,-0.472,<0.000001,
ILMN_1659857,SNAP29*," synaptosomal-associated protein, 29kDa ",22,-0.427,<0.000001,_
ILMN_1713301,DGCR2*, DiGeorge syndrome critical region gene 2,22,-0.418,<0.000001,_
ILMN_1657893,TXNRD2*, thioredoxin reductase 2 ,22,-0.402,<0.000001,_
ILMN_1658950,LOC400890*,PREDICTED:  hypothetical LOC400890 ,22,-0.4,<0.000001,
ILMN_1916256,,full-length cDNA clone CS0CAP005YH21 ,14,-0.373,0.00004,
ILMN_1789405,C22orf25*, chromosome 22 open reading frame 25 ,22,-0.368,0.00005,_
ILMN_1728197,CLDN5*, claudin 5 ,22,-0.35,<0.000001,_
ILMN_1813671,SLC25A1*, solute carrier family 25 ,22,-0.35,<0.000001,_
ILMN_1773650,LRRN3, leucine rich repeat neuronal 3 ,7,-0.348,0.00242,_
ILMN_1737991,LOC650298,PREDICTED:  similar to 40S ribosomal protein S26 ,,-0.343,0.00182,
ILMN_1715991,SDPR, serum deprivation response ,2,-0.341,0.00106,_
ILMN_2213136,LEF1, lymphoid enhancer-binding factor 1 ,4,-0.328,0.00008,_
ILMN_2302757,FCGBP, Fc fragment of IgG binding protein ,19,-0.324,0.00039,_
ILMN_1759595,C22orf29*, chromosome 22 open reading frame 29 ,22,-0.317,<0.000001,_
ILMN_1709237,EPHX2," epoxide hydrolase 2, cytoplasmic ",8,-0.3,0.00001,_
ILMN_1668748,MED15*, mediator complex subunit 15 ,22,-0.287,<0.000001,_
ILMN_1726460,RPL14, ribosomal protein L14 ,3,-0.281,0.00206,_
ILMN_1679185,LEF1, lymphoid enhancer-binding factor 1 ,4,-0.28,0.00179,_
ILMN_1657950,RPS26P10,PREDICTED:  ribosomal protein S26 pseudogene 10 ,8,-0.28,0.00104,
ILMN_2383871,ZNF74*, zinc finger protein 74 ,22,-0.277,<0.000001,_
ILMN_1719232,DGCR14*, DiGeorge syndrome critical region gene 14 ,22,-0.266,<0.000001,_
ILMN_1694432,CRIP2, cysteine-rich protein 2 ,14,-0.265,0.00012,_
ILMN_2048591,LRRN3, leucine rich repeat neuronal 3 ,7,-0.253,0.00223,_
ILMN_1655595,SERPINE2," serpin peptidase inhibitor, clade E, member 2 ",2,-0.252,0.00004,
ILMN_2122103,ETS1, v-ets erythroblastosis virus E26 oncogene homolog 1 ,11,-0.248,0.00067,_
ILMN_2327860,MAL," mal, T-cell differentiation protein ",2,-0.248,0.00103,_
ILMN_1661346,LOC648210,PREDICTED:  similar to Heterogeneous nuclear ribonucleoprotein A1,,-0.244,0.00058,
ILMN_1810941,COMT*, catechol-O-methyltransferase ,22,-0.241,<0.000001,_
ILMN_1873034,," T cell receptor alpha locus, mRNA",14,-0.235,0.00038,
ILMN_2175131,TMEM14C, transmembrane protein 14C,6,-0.234,0.00138,_
ILMN_1719986,PIK3IP1, phosphoinositide-3-kinase interacting protein 1 ,22,-0.23,0.00081,_
ILMN_1724480,AXIN2, axin 2,17,-0.229,0.00034,_
ILMN_1812191,C12orf57, chromosome 12 open reading frame 57 ,12,-0.225,0.00453,_
ILMN_1652486,THAP7*, THAP domain containing 7,22,-0.224,<0.000001,
ILMN_1656184,PI4KAP1*," phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1",22,-0.221,<0.000001,
ILMN_1655126,PI4KAP2," phosphatidylinositol 4-kinase, catalytic, alpha polypeptide pseudogene 2",,-0.22,0.00002,
ILMN_1809040,LDLRAP1, low density lipoprotein receptor adaptor protein 1 ,1,-0.215,0.0008,_
ILMN_1685538,LOC158345,PREDICTED:  similar to ribosomal protein L4 ,9,-0.215,0.00095,
ILMN_1674768,LOC220686*, hypothetical protein LOC220686,22,-0.214,<0.000001,
ILMN_1849013,," primary neuroblastoma cDNA, clone:Nbla10111",5,-0.211,0.00348,
ILMN_1810577,RPS4X," ribosomal protein S4, X-linked ",X,-0.207,0.00128,
ILMN_2342579,IL7R, interleukin 7 receptor,5,-0.206,0.00354,_
ILMN_2387952,FAM134B," family with sequence similarity 134, member B ",5,-0.201,0.00061,_
ILMN_1761044,GNB1L*," guanine nucleotide binding protein, beta polypeptide 1-like ",22,-0.201,0.00001,
ILMN_1752591,LEPROTL1, leptin receptor overlapping transcript-like 1 ,8,-0.201,0.00079,_
ILMN_1715947,LOC648210,PREDICTED:  similar to Heterogeneous nuclear ribonucleoprotein A1,,-0.201,0.00235,
ILMN_1757186,GIMAP1," GTPase, IMAP family member 1",7,-0.196,0.00068,_
ILMN_1804884,C22orf39*, chromosome 22 open reading frame 39 ,22,-0.191,<0.000001,_
ILMN_2370091,NGFRAP1, nerve growth factor receptor ,X,-0.191,0.00382,_
ILMN_1718128,PABPC3," poly(A) binding protein, cytoplasmic 3 ",13,-0.191,0.00129,_
ILMN_1814526,ADD3, adducin 3,10,-0.19,0.00336,_
ILMN_2125675,LOC728643, heterogeneous nuclear ribonucleoprotein A1 pseudogene ,10,-0.189,0.00187,
ILMN_1767322,EDAR, ectodysplasin A receptor,2,-0.188,<0.000001,
ILMN_1665761,BCL11B, B-cell CLL/lymphoma 11B,14,-0.185,0.00252,_
,HNRPDL, heterogeneous nuclear ribo-nucleoprotein-like,4,-0.185,0.00001,_
ILMN_1730572,,,,,,
ILMN_1726928,TCEA3," transcription elongation factor A (SII), 3",1,-0.184,0.0026,_
ILMN_1657857,TMEM14C, transmembrane protein 14C ,6,-0.184,0.00028,_
ILMN_2405628,TOP1MT, topoisomerase (DNA) I,8,-0.184,0.0013,_
ILMN_2166831,RPS4X," ribosomal protein S4, X-linked ",X,-0.18,0.00467,
ILMN_1785570,SUSD3, sushi domain containing 3,9,-0.18,0.00092,_
ILMN_1687266,TMEM191B*,PREDICTED:  transmembrane protein 191B,22,-0.18,<0.000001,
ILMN_1785095,ATP6V0E2," ATPase, H+ transporting V0 subunit e2 ",7,-0.179,0.00393,_
ILMN_1757872,DKFZp761P0423,PREDICTED:  hypothetical protein DKFZp761P0423 ,8,-0.177,0.00081,
ILMN_1787378,ADD3, adducin 3 ,10,-0.176,0.00008,_
