seqname,GeneSymbol,unigene,ProteinAccession,EntrezID,FCAbsolute,regulation,chrom,strand,txStart,txEnd,source
NM_015146,40794,Hs.522057,NP_055961,23176,2.84,up in ASD,chr5,-,132091696,132113067,RefSeq_coding
NM_001163438,LOC644538,Hs.42239,NP_001156910,644538,2.57,up in ASD,chrX,+,134124967,134126500,RefSeq_coding
NM_001135740,PNCK,Hs.436667,NP_001129212,139728,11.54,up in ASD,chrX,-,152935189,152938743,RefSeq_coding
NM_005089,ZRSR2,Hs.171909,NP_005080,8233,2.40,up in ASD,chrX,+,15808573,15841380,RefSeq_coding
NM_001395,DUSP9,Hs.144879,NP_001386,1852,2.57,up in ASD,chrX,+,152907896,152916780,RefSeq_coding
NM_173518,C8orf45,Hs.437006,NP_775789,157777,2.37,up in ASD,chr8,+,67782983,67834282,RefSeq_coding
NM_015272,RPGRIP1L,Hs.298382,NP_056087,23322,3.31,up in ASD,chr16,-,53633822,53737771,RefSeq_coding
NM_001127453,DFNA5,Hs.520708,NP_004394,1687,15.30,up in ASD,chr7,-,24737973,24797083,RefSeq_coding
NM_001105206,LAMA4,Hs.654572,NP_002281,3910,2.10,up in ASD,chr6,-,112429133,112575828,RefSeq_coding
NM_182584,C20orf203,Hs.353262,NP_872390,284805,2.42,up in ASD,chr20,-,31219427,31239783,RefSeq_coding
NM_201559,FOXO3,Hs.220950,NP_963853,2309,16.45,up in ASD,chr6,+,108881025,109005971,RefSeq_coding
NM_001001683,MED11,Hs.725355,NP_001001683,400569,2.84,up in ASD,chr17,+,4634722,4636894,RefSeq_coding
NM_001178029,DCI,Hs.403436,NP_001910,1632,3.23,up in ASD,chr16,-,2289872,2301602,RefSeq_coding
NM_006528,TFPI2,Hs.438231,NP_006519,7980,7.27,up in ASD,chr7,-,93515744,93520065,RefSeq_coding
NM_001103146,GIGYF2,Hs.565319,NP_056390,26058,2.13,up in ASD,chr2,+,233562014,233725285,RefSeq_coding
NM_013402,FADS1,Hs.503546,NP_037534,3992,2.16,up in ASD,chr11,-,61567102,61584529,RefSeq_coding
NM_031439,SOX7,Hs.709543,NP_113627,83595,2.01,up in ASD,chr8,-,10581278,10588022,RefSeq_coding
NM_138350,THAP3,Hs.689006,NP_612359,90326,2.91,up in ASD,chr1,+,6685251,6695645,RefSeq_coding
NM_015873,VILL,Hs.103665,NP_056957,50853,2.98,up in ASD,chr3,+,38035077,38048675,RefSeq_coding
NM_000258,MYL3,Hs.517939,NP_000249,4634,3.01,up in ASD,chr3,-,46899356,46904973,RefSeq_coding
NM_178868,CMTM8,Hs.154986,NP_849199,152189,2.42,up in ASD,chr3,+,32280170,32411811,RefSeq_coding
NM_001014279,C5orf39,Hs.529385,NP_001014301,389289,2.47,up in ASD,chr5,-,43039182,43040447,RefSeq_coding
NM_001037343,CDKL5,Hs.659851,NP_003150,6792,2.15,up in ASD,chrX,+,18460343,18671747,RefSeq_coding
NM_001103176,CNPY1,Hs.146751,NP_001096646,285888,4.51,up in ASD,chr7,-,155293952,155326539,RefSeq_coding
NM_004532,MUC4,Hs.369646,NP_612154,4585,2.08,up in ASD,chr3,-,195473639,195539148,RefSeq_coding
NM_015352,POFUT1,Hs.472409,NP_758436,23509,2.02,up in ASD,chr20,+,30795695,30826466,RefSeq_coding
NM_024861,C2orf54,Hs.193745,NP_079137,79919,4.83,up in ASD,chr2,-,241825465,241831452,RefSeq_coding
NM_020433,JPH2,Hs.441737,NP_787109,57158,3.75,up in ASD,chr20,-,42740336,42816218,RefSeq_coding
NM_170742,KCNJ16,Hs.463985,NP_733938,3773,3.10,up in ASD,chr17,+,68100994,68131744,RefSeq_coding
NM_001177388,LGALS3,Hs.531081,NP_002297,3958,2.54,up in ASD,chr14,+,55595934,55612147,RefSeq_coding
NM_032483,PPAPDC1B,Hs.567619,NP_115872,84513,2.10,up in ASD,chr8,-,38122259,38126738,RefSeq_coding
NM_001130025,FAM115C,Hs.729402,NP_775949,285966,2.91,up in ASD,chr7,+,143318044,143422175,RefSeq_coding
NM_031941,USHBP1,Hs.512773,NP_114147,83878,20.17,up in ASD,chr19,-,17360848,17375544,RefSeq_coding
NM_181715,CRTC2,Hs.406392,NP_859066,200186,2.17,up in ASD,chr1,-,153920153,153931043,RefSeq_coding
NM_182487,OLFML2A,Hs.357004,NP_872293,169611,2.07,up in ASD,chr9,+,127539436,127577157,RefSeq_coding
NM_178497,C4orf26,Hs.24510,NP_848592,152816,2.52,up in ASD,chr4,+,76481257,76489927,RefSeq_coding
NM_017828,COMMD4,Hs.351327,NP_060298,54939,2.13,up in ASD,chr15,+,75628373,75632612,RefSeq_coding
NM_013268,LGALS13,Hs.23671,NP_037400,29124,2.10,up in ASD,chr19,+,40093168,40098113,RefSeq_coding
NM_002616,PER1,Hs.445534,NP_002607,5187,2.63,up in ASD,chr17,-,8043788,8055753,RefSeq_coding
NM_001042680,C19orf28,Hs.656901,NP_778148,126321,2.13,up in ASD,chr19,-,3538264,3557571,RefSeq_coding
NM_213618,ST5,Hs.117715,NP_998783,6764,2.43,up in ASD,chr11,-,8714899,8832224,RefSeq_coding
NM_018421,TBC1D2,Hs.371016,NP_060891,55357,2.39,up in ASD,chr9,-,100961280,101018003,RefSeq_coding
NM_183009,KIAA1429,Hs.202238,NP_892121,25962,2.47,up in ASD,chr8,-,95523206,95565688,RefSeq_coding
NM_016499,TMEM216,Hs.26745,NP_057583,51259,2.37,up in ASD,chr11,+,61159831,61166323,RefSeq_coding
NM_001409,MEGF6,Hs.593645,NP_001400,1953,2.04,up in ASD,chr1,-,3404512,3528059,RefSeq_coding
NM_012113,CA14,Hs.528988,NP_036245,23632,2.19,up in ASD,chr1,+,150230217,150237476,RefSeq_coding
NM_144506,KLK8,Hs.104570,NP_653090,11202,2.42,up in ASD,chr19,-,51499263,51504958,RefSeq_coding
NM_012429,SEC14L2,Hs.335614,NP_203740,23541,3.59,up in ASD,chr22,+,30792932,30821277,RefSeq_coding
NM_004452,ESRRB,Hs.435845,NP_004443,2103,4.13,up in ASD,chr14,+,76837689,76968178,RefSeq_coding
NM_023944,CYP4F12,Hs.131459,NP_076433,66002,2.38,up in ASD,chr19,+,15783885,15807984,RefSeq_coding
NM_001137601,ZBTB42,Hs.170853,NP_001131073,100128927,2.66,up in ASD,chr14,+,105266932,105271046,RefSeq_coding
NM_019069,WDR5B,Hs.567513,NP_061942,54554,10.01,up in ASD,chr3,-,122130699,122134882,RefSeq_coding
NM_001031715,IQCH,Hs.657894,NP_073621,64799,6.13,up in ASD,chr15,+,67547137,67794141,RefSeq_coding
NM_001172775,ZNF555,Hs.47712,NP_690004,148254,2.46,up in ASD,chr19,+,2841432,2860472,RefSeq_coding
NM_153608,ZNF114,Hs.511883,NP_705836,163071,2.31,up in ASD,chr19,+,48774653,48790863,RefSeq_coding
NM_020170,NCLN,Hs.657032,NP_064555,56926,4.56,up in ASD,chr19,+,3185874,3209572,RefSeq_coding
NM_001105568,KIF13A,Hs.189915,NP_071396,63971,2.52,up in ASD,chr6,-,17760584,17987799,RefSeq_coding
NM_001166240,CGREF1,Hs.159525,NP_006560,10669,2.09,up in ASD,chr2,-,27322221,27341995,RefSeq_coding
NM_001004320,TMEM195,Hs.670634,NP_001004320,392636,2.40,up in ASD,chr7,-,15239942,15601640,RefSeq_coding
NM_057176,BSND,Hs.151291,NP_476517,7809,3.04,up in ASD,chr1,+,55464616,55474464,RefSeq_coding
NM_001135218,TAF12,Hs.530251,NP_005635,6883,2.01,up in ASD,chr1,-,28929610,28969604,RefSeq_coding
NM_001040098,MOSPD3,Hs.521086,NP_076438,64598,3.94,up in ASD,chr7,+,100210052,100212998,RefSeq_coding
NM_033068,ACPT,Hs.293394,NP_149059,93650,4.61,up in ASD,chr19,+,51293671,51298481,RefSeq_coding
NM_181889,UBE2D3,Hs.518773,NP_871622,7323,2.45,Down in ASD,chr4,-,103717133,103749307,RefSeq_coding
NM_014488,RAB30,Hs.40758,NP_055303,27314,5.76,Down in ASD,chr11,-,82692478,82782884,RefSeq_coding
NM_004235,KLF4,Hs.376206,NP_004226,9314,4.57,Down in ASD,chr9,-,110247134,110252047,RefSeq_coding
NM_001037808,EIF3C,Hs.567374,NP_003743,8663,5.20,Down in ASD,chr16,-,28390904,28415165,RefSeq_coding
