geneInfo,gene,Chr,Start,Stop,pvalsDup,FoldChange,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Cd2bp2/chr7:127191659-127196000,Cd2bp2,chr7,127191659,127196000,5.14E-08,1.534673934,70233,16p11.2,10421,CD2BP2
Prrt2/chr7:127017541-127021211,Prrt2,chr7,127017541,127021211,1.16E-07,1.559975124,69017,16p11.2,112476,PRRT2
Tbc1d10b/chr7:127197458-127208468,Tbc1d10b,chr7,127197458,127208468,1.44E-07,1.52972154,68449,16p11.2,26000,TBC1D10B
Fam57b/chr7:126816884-126830219,Fam57b,chr7,126816884,126830219,2.32E-07,1.728834867,68952,16p11.2,83723,FAM57B
Doc2a/chr7:126847552-126852705,Doc2a,chr7,126847552,126852705,7.48E-07,1.568486579,13446,16p11.2,8448,DOC2A
Asphd1/chr7:126946007-126949581,Asphd1,chr7,126946007,126949581,8.06E-07,1.860180096,233879,16p11.2,253982,ASPHD1
Kctd13/chr7:126928878-126945609,Kctd13,chr7,126928878,126945609,8.89E-07,1.566096409,233877,16p11.2,253980,KCTD13
Hirip3/chr7:126861971-126865122,Hirip3,chr7,126861971,126865122,1.77E-06,1.529081731,233876,16p11.2,8479,HIRIP3
Ino80e/chr7:126852432-126861463,Ino80e,chr7,126852432,126861463,2.42E-06,1.452606115,233875,16p11.2,283899,INO80E
Sez6l2/chr7:126950534-126970606,Sez6l2,chr7,126950534,126970606,3.20E-06,1.588612211,233878,16p11.2,26470,SEZ6L2
Ctr9/chr7:111028950-111056377,Ctr9,chr7,111028950,111056377,9.57E-06,0.890551381,22083,11p15.3,9646,CTR9
Maz/chr7:127022136-127026479,Maz,chr7,127022136,127026479,9.95E-06,1.747781069,17188,16p11.2,4150,MAZ
Gata2/chr6:88198663-88207032,Gata2,chr6,88198663,88207032,1.08E-05,1.431375713,14461,3q21.3,2624,GATA2
Cpeb4/chr11:31872210-31931577,Cpeb4,chr11,31872210,31931577,1.14E-05,0.827841709,67579,5q21,80315,CPEB4
Ypel3/chr7:126776974-126780514,Ypel3,chr7,126776974,126780514,1.19E-05,1.673744388,66090,16p11.2,83719,YPEL3
Cdipt/chr7:126976348-126980501,Cdipt,chr7,126976348,126980501,1.60E-05,1.494531597,52858,16p11.2,10423,CDIPT
2900092E17Rik/chr7:127015050-127017352,2900092E17Rik,chr7,127015050,127017352,1.63E-05,1.585659875,NA,NA,NA,NA
Taok2/chr7:126865676-126884967,Taok2,chr7,126865676,126884967,2.63E-05,1.543927131,381921,16p11.2,9344,TAOK2
Aldoa/chr7:126795233-126800447,Aldoa,chr7,126795233,126800447,2.77E-05,1.491714055,11674,16p11.2,226,ALDOA
Dnahc7b/chr1:46066737-46373550,Dnahc7b,chr1,46066737,46373550,3.40E-05,1.81272276,NA,NA,NA,NA
Coro1a/chr7:126699773-126704754,Coro1a,chr7,126699773,126704754,3.50E-05,1.377947795,12721,16p11.2,11151,CORO1A
Ppp4c/chr7:126785867-126792471,Ppp4c,chr7,126785867,126792471,4.06E-05,1.581702219,56420,16p11.2,5531,PPP4C
Mxd4/chr5:34176579-34187710,Mxd4,chr5,34176579,34187710,5.74E-05,1.269271279,17122,4p16.3,10608,MXD4
Jund/chr8:70697738-70700616,Jund,chr8,70697738,70700616,6.47E-05,1.369768592,16478,19p13.2,3727,JUND
Tmem219/chr7:126886218-126898278,Tmem219,chr7,126886218,126898278,9.11E-05,1.58792308,68742,16p11.2,124446,TMEM219
Mylpf/chr7:127211607-127214287,Mylpf,chr7,127211607,127214287,0.000105915,1.619069437,17907,16p11.2,29895,MYLPF
Camk2n1/chr4:138455147-138460126,Camk2n1,chr4,138455147,138460126,0.000118659,1.227763496,66259,1p36.12,55450,CAMK2N1
Ttc39b/chr4:83220300-83324189,Ttc39b,chr4,83220300,83324189,0.000118997,0.846427222,69863,9p22.3,158219,TTC39B
Gm19757/chr6:105481265-105492668,Gm19757,chr6,105481265,105492668,0.000123428,0.875170483,NA,NA,NA,NA
Foxg1/chr12:49382882-49386867,Foxg1,chr12,49382882,49386867,0.000134305,1.128964934,15228,14q13,2290,FOXG1
Tpr/chr1:150392837-150449935,Tpr,chr1,150392837,150449935,0.000135001,0.875061195,108989,1q25,7175,TPR
D630037F22Rik/chr10:56014293-56228689,D630037F22Rik,chr10,56014293,56228689,0.000136083,0.85863658,544696,6q22.31,221322,C6orf170
Fas/chr19:34290658-34327770,Fas,chr19,34290658,34327770,0.000180447,2.047388699,14102,10q24.1,355,FAS
Mbd5/chr2:48949507-49317069,Mbd5,chr2,48949507,49317069,0.000189496,0.851769046,109241,2q23.1,55777,MBD5
